session,response,WCPM,Accuracy,words
54329,818769,155.5,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
54338,818805,164.6,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
54339,818808,160.4,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
54340,818811,167.3,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
54342,818817,165.4,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
54344,818823,165.8,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
54345,818826,144.0,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
54346,818829,196.2,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
54348,818836,190.0,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
54350,818857,157.5,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
54360,818952,174.2,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
54361,818955,179.3,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
