session,response,sframe,nframes,word
30908,544691,0,96,<eps>
30908,544691,96,23,how
30908,544691,119,30,do
30908,544691,149,43,<eps>
30908,544691,192,29,plants
30908,544691,221,31,find
30908,544691,252,45,homes
30908,544691,297,48,<eps>
30908,544691,345,18,i
30908,544691,363,39,<backoff1>
30908,544691,402,56,<eps>
30908,544691,458,15,i
30908,544691,473,24,saw
30908,544691,497,4,a
30908,544691,501,36,flower
30908,544691,537,32,growing
30908,544691,569,28,<eps>
30908,544691,597,19,in
30908,544691,616,7,a
30908,544691,623,46,sidewalk
30908,544691,669,80,<eps>
30908,544691,749,3,<backoff1>
30908,544691,752,58,sidewalk
30908,544691,810,20,<eps>
30908,544691,830,14,i
30908,544691,844,49,wondered
30908,544691,893,20,<eps>
30908,544691,913,33,how
30908,544691,946,27,the
30908,544691,973,41,plant
30908,544691,1014,22,got
30908,544691,1036,23,<eps>
30908,544691,1059,43,there
30908,544691,1102,33,<eps>
30908,544691,1135,56,seeds
30908,544691,1191,38,travel
30908,544691,1229,12,in
30908,544691,1241,42,different
30908,544691,1283,48,ways
30908,544691,1331,87,<eps>
30908,544691,1418,34,some
30908,544691,1452,44,seeds
30908,544691,1496,42,just
30908,544691,1538,28,drop
30908,544691,1566,75,to
30908,544691,1641,46,<eps>
30908,544691,1687,14,the
30908,544691,1701,49,ground
30908,544691,1750,86,<eps>
30908,544691,1836,51,the
30908,544691,1887,3,<eps>
30908,544691,1890,51,wind
30908,544691,1941,3,<eps>
30908,544691,1944,37,or
30908,544691,1981,33,<eps>
30908,544691,2014,33,birds
30908,544691,2047,78,<eps>
30908,544691,2125,78,carry
30908,544691,2203,65,<eps>
30908,544691,2268,72,seeds
30908,544691,2340,23,to
30908,544691,2363,30,new
30908,544691,2393,58,places
30908,544691,2451,52,<eps>
30908,544691,2503,38,nearby
30908,544691,2541,122,<eps>
30908,544691,2663,29,or
30908,544691,2692,35,far
30908,544691,2727,49,away
30908,544691,2776,56,<eps>
30908,544691,2832,16,water
30908,544691,2848,15,can
30908,544691,2863,39,take
30908,544691,2902,105,<eps>
30908,544691,3007,3,<backoff1>
30908,544691,3010,77,<eps>
30908,544691,3087,36,can
30908,544691,3123,52,take
30908,544691,3175,14,<eps>
30908,544691,3189,51,seeds
30908,544691,3240,5,<eps>
30908,544691,3245,20,on
30908,544691,3265,23,a
30908,544691,3288,15,<eps>
30908,544691,3303,51,journey
30908,544691,3354,25,some
30908,544691,3379,48,animals
30908,544691,3427,40,hide
30908,544691,3467,73,<eps>
30908,544691,3540,44,seeds
30908,544691,3584,60,in
30908,544691,3644,11,<eps>
30908,544691,3655,19,the
30908,544691,3674,36,<eps>
30908,544691,3710,35,ground
30908,544691,3745,31,seeds
30908,544691,3776,28,can
30908,544691,3804,42,stick
30908,544691,3846,47,<eps>
30908,544691,3893,14,to
30908,544691,3907,19,an
30908,544691,3926,3,<backoff1>
30908,544691,3929,34,stick
30908,544691,3963,25,to
30908,544691,3988,15,an
30908,544691,4003,49,animal's
30908,544691,4052,25,<eps>
30908,544691,4077,61,fur
30908,544691,4138,3,<eps>
30908,544691,4141,19,or
30908,544691,4160,20,to
30908,544691,4180,3,<eps>
30908,544691,4183,11,a
30908,544691,4194,82,person's
