session,response,value
30908,544691,"127	101	113	137	111	92	80	75	69	87	117	103	120	78	87	155"
30915,544810,"42	57	50	51	40	57				60	51	57	50	45	74	147"
31525,553406,"85	49	52	67	62	65	62	56	45	54	79	61	49	33	38	"
31788,557537,"84	60	69	79	81	74	75	69	60		66			47	80	102"
31930,560128,"45	110	105	74	70	94	84	54	61	94	59			64	70	112"
31942,560334,"128	111	67	71	110	102	105	71	68	82	89	108	109	81	64	82"
32192,564806,"40	26	31	28	25	36				35						"
32205,565040,"115	117	100	90	102	117	81	53	58	89	97	69	75	95	100	97"
32210,565131,"109		34	43	61	74	18	18	68	73	63	49				"
32213,565189,"89	75	101	122	127	119	76	84	138	129	118	90	90			"
32239,565656,"124	114	112	108	93	81	71	65				97	90	75	92	135"
32258,566012,"44	20	20	25	24	39										"
32714,573911,"38	33	39	45	29	29	39	42	35							"
32922,577295,"63	44	43	45	45	75	74	21	21	45	53	57				"
35171,611801,"90	60	54	50	38				33	35	41	35	42			"
37230,646370,"86	71	97	130	124	53	48	52	43	75	69	27	26	55	92	133"
38071,655111,"93	85	101	127	109	120	117	101	20	19	114	69	60	54	52	137"
40760,679531,"79	63	91	118	112	71	68	71	55	76	104	118	144	115	92	137"
40865,680977,"			23	19	24	42									"
40887,681367,"40	70	36	35	77	103	51	41	55	41	44	66	48			"
40964,682702,"90	114	91	81	102	116	107	98	103	120	97	93	88	74		"
41091,684835,"120	82	79	128	115	102	83	57	58	96	107	71	59	63	88	147"
41105,685081,"116	113	133	104	82	88	103	111	94	90	93	122	116	88	88	118"
41120,685373,"96	86	93	97	88	67	66	92	83	77	76	57	50	48	70	126"
41664,693673,"61	29	23	36	53	66	41	23	26	43						"
42279,701452,"113	87	71	62	70	67	67	40	34	64	70	66			66	82"
42307,701803,"63	34	38	82	74	69	78	38	33	64	76	67	31			"
42972,708879,"34	31	48	33	31	46	49									"
44086,718450,"118	43	43	78	54	54	73	79	66	75	72	56	60	41	47	114"
44169,719358,"96	103	141	115	125	101	63	49	52	66	72	95	114	87	98	"
44867,725917,"			54						49			104	71	73	112"
45071,727930,"45	44	130	117	75	64	90	97	68	85	98	61	73	105	111	207"
46117,738013,"126	62	41	60	114	113	120	145	95	84	94	82	85	102	127	136"
46836,744734,"90	99	74	76	93	83				76	89	92	103	124	130	147"
46990,746495,"84	26	28	109	97	30	30	102	73	60	61	65	65	69	75	"
47002,746643,"136	105	103	118	115	113	78	71	91	95	70	50	59	73	81	105"
47041,747118,"70	75	140	167	171	124	123	181	152	102	70	90	160	132	105	116"
47043,747140,"		183	182	135	94	104	124	78	84	132	127	137	83	57	79"
47092,747756,"112	110	158	164	138	140	155	142	157	117	66			134	190	195"
47152,748435,"145	141	179	110	89	123	155	154	139	133	135	173	119	104	170	214"
47361,750392,"157	140	157	153	128	143	163	142	122	125	131	147	149	126	155	252"
47363,750430,"112	147	195	155	136	137	132	126	119	85	91	143	124	90	106	168"
47388,750671,"134	168	199	182	142	112	125	139	134	139	115	122	171	155	155	207"
47421,751005,"151	172	240	189	140	152	195	174	154	162	165	168	179	194	250	309"
47464,751444,"158	167	195	183	155	195	244	185	156	163	153	157	168	122	144	302"
47502,751932,"130	143	192	180	165	150	141	130	133	147	140	182	202	143	145	195"
47767,754877,"83	77	77	84	65	68	135	112	64	66	90	93	96	54	61	135"
47824,755432,"130	189	205	170	133	154	180	157	168	169	150	176	238	219	192	234"
47894,756108,"90	134	109	113	110	123	150	147	126	123	136	162	190	107	93	156"
47912,756277,"62	54	76	91	54	63	38	19	27	65	93	103	61	54	98	"
48155,758452,"100	76	79	75			73	56	41	53	94	42	35	47	61	103"
48268,759439,"63				44	42				23	59				65	"
48359,760149,"109	107	189	181	137	140	152	143	96	90	116	136	122	124	204	224"
48410,760700,"99	91	135	105	85	90	102	117	90	99	121	121	115	70	79	132"
48418,760774,"105	68	66	95	69	68	80	72	69	54	54	67	62	51	65	61"
48539,761914,"80	44	45	53	35	34	24	27	49	59	81	72				"
48821,764258,"76	73	109	110	97	93	88	88	75	80	102	69	36	39	86	99"
48927,765397,"52	55	99	88	96	113	129	118	46	43	64	78	146	111	101	102"
48972,765852,"122	105	110	136	124	140	160	138	107	101	106	135	169	111	118	147"
48978,765936,"			82	127	93	89	120	147	126	101	112	80		70	119"
49169,767975,"82	62	27	32	80	89	61	53	59	69	71	69	61	51	63	97"
49197,768332,"129	175	203	167	162	132	121	117	108	113	117	112	94	88	87	123"
49373,770432,"128	115	117	104	97	142	128	107	116	119	117	95	108	127	146	188"
49541,772052,"38	30	28													"
49581,772457,"117	108	117	114	103	106	108	114	91	71	60	63	73	68	77	99"
49599,772604,"90	62	61	76	71	64	67	65	63	75	73	76	71	60	70	85"
49607,772665,"60	47		40	64	67										"
49661,773099,"133	134	106	124	149	109	84	90	91	90	100	81	86	74	76	148"
49698,773426,"135	136	183	121	84	97	146	132	111	117	134	161	175	142	149	219"
49703,773475,"113	107	134	131	103	99	106	85	83	102	88	87	98	94	101	128"
49841,774702,"100	130	169	88	73	99	113	108	109	123	126	131	100	70	97	237"
49998,776213,"150	127	175	160	141	149	159	180	147	136	139	143	174	135	120	161"
50020,776447,"97	125	142	118	83	100	91	64	59	73	79	83	74	66	65	74"
50030,776548,"121	112	88	93	127	112	121	117	100	109	123	111	105	103	115	128"
50031,776566,"115	62	70	140	124	101	97	96	91	101	101	83	81	80	78	66"
50061,776904,"75	86	89	80	67	60	76	94			100	103	97	85	108	171"
50103,777296,"112	119	138	122	124	111	117	138	127	98	96	163	155	122	140	146"
50118,777462,"169	171	194	164	160	204	194	153	159	183	139	113	134	169	190	247"
