session,response,sframe,nframes,word
54329,818770,0,130,<eps>
54329,818770,130,29,how
54329,818770,159,14,do
54329,818770,173,54,plants
54329,818770,227,34,find
54329,818770,261,71,homes
54329,818770,332,112,<eps>
54329,818770,444,26,i
54329,818770,470,42,saw
54329,818770,512,5,a
54329,818770,517,52,flower
54329,818770,569,48,growing
54329,818770,617,7,in
54329,818770,624,6,a
54329,818770,630,90,sidewalk
54329,818770,720,25,<eps>
54329,818770,745,12,i
54329,818770,757,46,wondered
54329,818770,803,37,how
54329,818770,840,11,the
54329,818770,851,40,plant
54329,818770,891,8,<eps>
54329,818770,899,33,got
54329,818770,932,37,there
54329,818770,969,76,<eps>
54329,818770,1045,55,seeds
54329,818770,1100,45,travel
54329,818770,1145,11,in
54329,818770,1156,44,different
54329,818770,1200,60,ways
54329,818770,1260,14,<eps>
54329,818770,1274,33,some
54329,818770,1307,51,seeds
54329,818770,1358,35,just
54329,818770,1393,36,drop
54329,818770,1429,10,to
54329,818770,1439,9,the
54329,818770,1448,63,ground
54329,818770,1511,65,<eps>
54329,818770,1576,8,the
54329,818770,1584,53,wind
54329,818770,1637,11,or
54329,818770,1648,52,birds
54329,818770,1700,55,carry
54329,818770,1755,47,seeds
54329,818770,1802,12,to
54329,818770,1814,20,new
54329,818770,1834,58,places
54329,818770,1892,65,nearby
54329,818770,1957,30,or
54329,818770,1987,37,far
54329,818770,2024,48,away
54329,818770,2072,79,<eps>
54329,818770,2151,33,water
54329,818770,2184,15,can
54329,818770,2199,30,take
54329,818770,2229,48,seeds
54329,818770,2277,11,on
54329,818770,2288,9,a
54329,818770,2297,61,journey
54329,818770,2358,72,<eps>
54329,818770,2430,39,some
54329,818770,2469,60,animals
54329,818770,2529,3,<eps>
54329,818770,2532,48,hide
54329,818770,2580,54,seeds
54329,818770,2634,14,in
54329,818770,2648,8,the
54329,818770,2656,70,ground
54329,818770,2726,12,<eps>
54329,818770,2738,47,seeds
54329,818770,2785,23,can
54329,818770,2808,51,stick
54329,818770,2859,14,to
54329,818770,2873,11,an
54329,818770,2884,42,animal's
54329,818770,2926,58,fur
54329,818770,2984,28,or
54329,818770,3012,19,to
54329,818770,3031,4,a
54329,818770,3035,53,person's
54329,818770,3088,90,socks
54329,818770,3178,81,<eps>
54329,818770,3259,21,when
54329,818770,3280,7,the
54329,818770,3287,37,seeds
54329,818770,3324,25,fall
54329,818770,3349,15,on
54329,818770,3364,7,the
54329,818770,3371,65,ground
54329,818770,3436,48,<eps>
54329,818770,3484,14,they
54329,818770,3498,30,wait
54329,818770,3528,18,for
54329,818770,3546,66,sun
54329,818770,3612,8,<eps>
54329,818770,3620,30,and
54329,818770,3650,47,water
54329,818770,3697,11,<eps>
54329,818770,3708,10,to
54329,818770,3718,54,grow
54329,818770,3772,266,<eps>
54339,818809,0,568,<eps>
54339,818809,568,23,how
54339,818809,591,14,do
54339,818809,605,40,plants
54339,818809,645,40,find
54339,818809,685,66,homes
54339,818809,751,60,<eps>
54339,818809,811,13,i
54339,818809,824,30,saw
54339,818809,854,4,a
54339,818809,858,46,flower
54339,818809,904,42,growing
54339,818809,946,9,in
54339,818809,955,5,a
54339,818809,960,79,sidewalk
54339,818809,1039,21,<eps>
54339,818809,1060,10,i
54339,818809,1070,42,wondered
54339,818809,1112,19,how
54339,818809,1131,9,the
54339,818809,1140,37,plant
54339,818809,1177,31,got
54339,818809,1208,39,there
54339,818809,1247,58,<eps>
54339,818809,1305,43,seeds
54339,818809,1348,48,travel
54339,818809,1396,10,in
54339,818809,1406,34,different
54339,818809,1440,66,ways
54339,818809,1506,42,<eps>
54339,818809,1548,30,some
54339,818809,1578,43,seeds
54339,818809,1621,31,just
54339,818809,1652,29,drop
54339,818809,1681,12,to
54339,818809,1693,10,the
54339,818809,1703,63,ground
54339,818809,1766,48,<eps>
54339,818809,1814,11,the
54339,818809,1825,28,wind
54339,818809,1853,17,or
54339,818809,1870,57,birds
54339,818809,1927,38,carry
54339,818809,1965,42,seeds
54339,818809,2007,13,to
54339,818809,2020,23,new
54339,818809,2043,52,places
54339,818809,2095,64,nearby
54339,818809,2159,3,<eps>
54339,818809,2162,17,or
54339,818809,2179,37,far
54339,818809,2216,49,away
54339,818809,2265,75,<eps>
54339,818809,2340,32,water
54339,818809,2372,15,can
54339,818809,2387,25,take
54339,818809,2412,40,seeds
54339,818809,2452,12,on
54339,818809,2464,6,a
54339,818809,2470,57,journey
54339,818809,2527,69,<eps>
54339,818809,2596,32,some
54339,818809,2628,42,animals
54339,818809,2670,31,hide
54339,818809,2701,36,seeds
54339,818809,2737,11,in
54339,818809,2748,8,the
54339,818809,2756,66,ground
54339,818809,2822,54,<eps>
54339,818809,2876,40,seeds
54339,818809,2916,18,can
54339,818809,2934,36,stick
54339,818809,2970,15,to
54339,818809,2985,12,an
54339,818809,2997,41,animal's
54339,818809,3038,53,fur
54339,818809,3091,3,<eps>
54339,818809,3094,16,or
54339,818809,3110,19,to
54339,818809,3129,5,a
54339,818809,3134,51,person's
54339,818809,3185,70,socks
54339,818809,3255,56,<eps>
54339,818809,3311,17,when
54339,818809,3328,9,the
54339,818809,3337,37,seeds
54339,818809,3374,53,fall
54339,818809,3427,4,<eps>
54339,818809,3431,21,on
54339,818809,3452,7,the
54339,818809,3459,64,ground
54339,818809,3523,37,<eps>
54339,818809,3560,13,they
54339,818809,3573,26,wait
54339,818809,3599,16,for
54339,818809,3615,33,sun
54339,818809,3648,15,and
54339,818809,3663,35,water
54339,818809,3698,17,to
54339,818809,3715,52,grow
54339,818809,3767,199,<eps>
54340,818812,0,110,<eps>
54340,818812,110,22,how
54340,818812,132,22,do
54340,818812,154,39,plants
54340,818812,193,26,find
54340,818812,219,51,homes
54340,818812,270,60,<eps>
54340,818812,330,15,i
54340,818812,345,29,saw
54340,818812,374,5,a
54340,818812,379,46,flower
54340,818812,425,45,growing
54340,818812,470,16,in
54340,818812,486,6,a
54340,818812,492,66,sidewalk
54340,818812,558,70,<eps>
54340,818812,628,9,i
54340,818812,637,48,wondered
54340,818812,685,21,how
54340,818812,706,13,the
54340,818812,719,36,plant
54340,818812,755,30,got
54340,818812,785,29,there
54340,818812,814,62,<eps>
54340,818812,876,55,seeds
54340,818812,931,49,travel
54340,818812,980,19,in
54340,818812,999,33,different
54340,818812,1032,50,ways
54340,818812,1082,49,<eps>
54340,818812,1131,33,some
54340,818812,1164,36,seeds
54340,818812,1200,31,just
54340,818812,1231,27,drop
54340,818812,1258,11,to
54340,818812,1269,9,the
54340,818812,1278,52,ground
54340,818812,1330,60,<eps>
54340,818812,1390,11,the
54340,818812,1401,31,wind
54340,818812,1432,23,or
54340,818812,1455,36,birds
54340,818812,1491,39,carry
54340,818812,1530,43,seeds
54340,818812,1573,12,to
54340,818812,1585,22,new
54340,818812,1607,64,places
54340,818812,1671,5,<eps>
54340,818812,1676,61,nearby
54340,818812,1737,3,<eps>
54340,818812,1740,21,or
54340,818812,1761,28,far
54340,818812,1789,39,away
54340,818812,1828,74,<eps>
54340,818812,1902,39,water
54340,818812,1941,20,can
54340,818812,1961,26,take
54340,818812,1987,28,seeds
54340,818812,2015,18,on
54340,818812,2033,7,a
54340,818812,2040,49,journey
54340,818812,2089,59,<eps>
54340,818812,2148,19,some
54340,818812,2167,53,animals
54340,818812,2220,29,hide
54340,818812,2249,32,seeds
54340,818812,2281,18,in
54340,818812,2299,8,the
54340,818812,2307,51,ground
54340,818812,2358,67,<eps>
54340,818812,2425,35,seeds
54340,818812,2460,20,can
54340,818812,2480,30,stick
54340,818812,2510,10,to
54340,818812,2520,10,an
54340,818812,2530,51,animal's
54340,818812,2581,41,fur
54340,818812,2622,17,<eps>
54340,818812,2639,24,or
54340,818812,2663,20,to
54340,818812,2683,18,a
54340,818812,2701,3,<eps>
54340,818812,2704,45,person's
54340,818812,2749,54,socks
54340,818812,2803,70,<eps>
54340,818812,2873,13,when
54340,818812,2886,9,the
54340,818812,2895,36,seeds
54340,818812,2931,26,fall
54340,818812,2957,10,on
54340,818812,2967,7,the
54340,818812,2974,52,ground
54340,818812,3026,29,<eps>
54340,818812,3055,13,they
54340,818812,3068,31,wait
54340,818812,3099,24,for
54340,818812,3123,38,sun
54340,818812,3161,18,and
54340,818812,3179,48,water
54340,818812,3227,7,<eps>
54340,818812,3234,11,to
54340,818812,3245,46,grow
54340,818812,3291,197,<eps>
54342,818818,0,920,<eps>
54342,818818,920,774,<backoff1>
54342,818818,1694,1120,<eps>
54342,818818,2814,16,how
54342,818818,2830,17,do
54342,818818,2847,42,plants
54342,818818,2889,32,find
54342,818818,2921,42,homes
54342,818818,2963,96,<eps>
54342,818818,3059,11,i
54342,818818,3070,21,saw
54342,818818,3091,4,a
54342,818818,3095,48,flower
54342,818818,3143,40,growing
54342,818818,3183,8,in
54342,818818,3191,6,a
54342,818818,3197,72,sidewalk
54342,818818,3269,59,<eps>
54342,818818,3328,3,i
54342,818818,3331,32,wondered
54342,818818,3363,17,how
54342,818818,3380,10,the
54342,818818,3390,31,plant
54342,818818,3421,26,got
54342,818818,3447,30,there
54342,818818,3477,109,<eps>
54342,818818,3586,53,seeds
54342,818818,3639,8,<eps>
54342,818818,3647,42,travel
54342,818818,3689,9,in
54342,818818,3698,31,different
54342,818818,3729,56,ways
54342,818818,3785,42,<eps>
54342,818818,3827,25,some
54342,818818,3852,47,seeds
54342,818818,3899,10,<eps>
54342,818818,3909,24,just
54342,818818,3933,24,drop
54342,818818,3957,9,to
54342,818818,3966,8,the
54342,818818,3974,47,ground
54342,818818,4021,65,<eps>
54342,818818,4086,9,the
54342,818818,4095,47,wind
54342,818818,4142,3,<eps>
54342,818818,4145,16,or
54342,818818,4161,50,birds
54342,818818,4211,5,<eps>
54342,818818,4216,29,carry
54342,818818,4245,44,seeds
54342,818818,4289,10,to
54342,818818,4299,22,new
54342,818818,4321,55,places
54342,818818,4376,59,nearby
54342,818818,4435,3,<eps>
54342,818818,4438,11,or
54342,818818,4449,26,far
54342,818818,4475,44,away
54342,818818,4519,113,<eps>
54342,818818,4632,39,water
54342,818818,4671,14,can
54342,818818,4685,26,take
54342,818818,4711,30,seeds
54342,818818,4741,12,on
54342,818818,4753,7,a
54342,818818,4760,51,journey
54342,818818,4811,60,<eps>
54342,818818,4871,32,some
54342,818818,4903,56,animals
54342,818818,4959,12,<eps>
54342,818818,4971,31,hide
54342,818818,5002,40,seeds
54342,818818,5042,9,in
54342,818818,5051,7,the
54342,818818,5058,51,ground
54342,818818,5109,68,<eps>
54342,818818,5177,42,seeds
54342,818818,5219,18,can
54342,818818,5237,32,stick
54342,818818,5269,14,to
54342,818818,5283,11,an
54342,818818,5294,42,animal's
54342,818818,5336,53,fur
54342,818818,5389,17,<eps>
54342,818818,5406,14,or
54342,818818,5420,16,to
54342,818818,5436,5,a
54342,818818,5441,45,person's
54342,818818,5486,62,socks
