session,response,value
54329,818770,"130:how:0	0:do:1	0:plants:2	0:find:3	0:homes:4	112:i:5	0:saw:6	0:a:7	0:flower:8	0:growing:9	0:in:10	0:a:11	0:sidewalk:12	25:i:13	0:wondered:14	0:how:15	0:the:16	0:plant:17	8:got:18	0:there:19	76:seeds:20	0:travel:21	0:in:22	0:different:23	0:ways:24	14:some:25	0:seeds:26	0:just:27	0:drop:28	0:to:29	0:the:30	0:ground:31	65:the:32	0:wind:33	0:or:34	0:birds:35	0:carry:36	0:seeds:37	0:to:38	0:new:39	0:places:40	0:nearby:41	0:or:42	0:far:43	0:away:44	79:water:45	0:can:46	0:take:47	0:seeds:48	0:on:49	0:a:50	0:journey:51	72:some:52	0:animals:53	3:hide:54	0:seeds:55	0:in:56	0:the:57	0:ground:58	12:seeds:59	0:can:60	0:stick:61	0:to:62	0:an:63	0:animal's:64	0:fur:65	0:or:66	0:to:67	0:a:68	0:person's:69	0:socks:70	81:when:71	0:the:72	0:seeds:73	0:fall:74	0:on:75	0:the:76	0:ground:77	48:they:78	0:wait:79	0:for:80	0:sun:81	8:and:82	0:water:83	11:to:84	0:grow:85"
54339,818809,"568:how:0	0:do:1	0:plants:2	0:find:3	0:homes:4	60:i:5	0:saw:6	0:a:7	0:flower:8	0:growing:9	0:in:10	0:a:11	0:sidewalk:12	21:i:13	0:wondered:14	0:how:15	0:the:16	0:plant:17	0:got:18	0:there:19	58:seeds:20	0:travel:21	0:in:22	0:different:23	0:ways:24	42:some:25	0:seeds:26	0:just:27	0:drop:28	0:to:29	0:the:30	0:ground:31	48:the:32	0:wind:33	0:or:34	0:birds:35	0:carry:36	0:seeds:37	0:to:38	0:new:39	0:places:40	0:nearby:41	3:or:42	0:far:43	0:away:44	75:water:45	0:can:46	0:take:47	0:seeds:48	0:on:49	0:a:50	0:journey:51	69:some:52	0:animals:53	0:hide:54	0:seeds:55	0:in:56	0:the:57	0:ground:58	54:seeds:59	0:can:60	0:stick:61	0:to:62	0:an:63	0:animal's:64	0:fur:65	3:or:66	0:to:67	0:a:68	0:person's:69	0:socks:70	56:when:71	0:the:72	0:seeds:73	0:fall:74	4:on:75	0:the:76	0:ground:77	37:they:78	0:wait:79	0:for:80	0:sun:81	0:and:82	0:water:83	0:to:84	0:grow:85"
54340,818812,"110:how:0	0:do:1	0:plants:2	0:find:3	0:homes:4	60:i:5	0:saw:6	0:a:7	0:flower:8	0:growing:9	0:in:10	0:a:11	0:sidewalk:12	70:i:13	0:wondered:14	0:how:15	0:the:16	0:plant:17	0:got:18	0:there:19	62:seeds:20	0:travel:21	0:in:22	0:different:23	0:ways:24	49:some:25	0:seeds:26	0:just:27	0:drop:28	0:to:29	0:the:30	0:ground:31	60:the:32	0:wind:33	0:or:34	0:birds:35	0:carry:36	0:seeds:37	0:to:38	0:new:39	0:places:40	5:nearby:41	3:or:42	0:far:43	0:away:44	74:water:45	0:can:46	0:take:47	0:seeds:48	0:on:49	0:a:50	0:journey:51	59:some:52	0:animals:53	0:hide:54	0:seeds:55	0:in:56	0:the:57	0:ground:58	67:seeds:59	0:can:60	0:stick:61	0:to:62	0:an:63	0:animal's:64	0:fur:65	17:or:66	0:to:67	0:a:68	3:person's:69	0:socks:70	70:when:71	0:the:72	0:seeds:73	0:fall:74	0:on:75	0:the:76	0:ground:77	29:they:78	0:wait:79	0:for:80	0:sun:81	0:and:82	0:water:83	7:to:84	0:grow:85"
54342,818818,"2814:how:0	0:do:1	0:plants:2	0:find:3	0:homes:4	96:i:5	0:saw:6	0:a:7	0:flower:8	0:growing:9	0:in:10	0:a:11	0:sidewalk:12	59:i:13	0:wondered:14	0:how:15	0:the:16	0:plant:17	0:got:18	0:there:19	109:seeds:20	8:travel:21	0:in:22	0:different:23	0:ways:24	42:some:25	0:seeds:26	10:just:27	0:drop:28	0:to:29	0:the:30	0:ground:31	65:the:32	0:wind:33	3:or:34	0:birds:35	5:carry:36	0:seeds:37	0:to:38	0:new:39	0:places:40	0:nearby:41	3:or:42	0:far:43	0:away:44	113:water:45	0:can:46	0:take:47	0:seeds:48	0:on:49	0:a:50	0:journey:51	60:some:52	0:animals:53	12:hide:54	0:seeds:55	0:in:56	0:the:57	0:ground:58	68:seeds:59	0:can:60	0:stick:61	0:to:62	0:an:63	0:animal's:64	0:fur:65	17:or:66	0:to:67	0:a:68	0:person's:69	0:socks:70	118:when:71	0:the:72	0:seeds:73	0:fall:74	0:on:75	0:the:76	0:ground:77	46:they:78	0:wait:79	0:for:80	0:sun:81	0:and:82	0:water:83	3:to:84	0:grow:85"
54344,818824,"105:how:0	0:do:1	0:plants:2	0:find:3	0:homes:4	95:i:5	0:saw:6	0:a:7	0:flower:8	0:growing:9	0:in:10	0:a:11	0:sidewalk:12	55:i:13	0:wondered:14	0:how:15	0:the:16	0:plant:17	0:got:18	0:there:19	86:seeds:20	18:travel:21	0:in:22	0:different:23	0:ways:24	68:some:25	0:seeds:26	18:just:27	0:drop:28	0:to:29	0:the:30	0:ground:31	73:the:32	0:wind:33	7:or:34	0:birds:35	17:carry:36	0:seeds:37	0:to:38	0:new:39	0:places:40	5:nearby:41	3:or:42	0:far:43	0:away:44	102:water:45	9:can:46	0:take:47	0:seeds:48	0:on:49	0:a:50	0:journey:51	81:some:52	0:animals:53	0:hide:54	0:seeds:55	0:in:56	0:the:57	0:ground:58	77:seeds:59	0:can:60	0:stick:61	0:to:62	0:an:63	0:animal's:64	0:fur:65	40:or:66	0:to:67	0:a:68	0:person's:69	0:socks:70	93:when:71	0:the:72	0:seeds:73	0:fall:74	0:on:75	0:the:76	0:ground:77	40:they:78	0:wait:79	0:for:80	0:sun:81	0:and:82	0:water:83	0:to:84	0:grow:85"
54345,818827,"310:how:0	0:do:1	0:plants:2	0:find:3	0:homes:4	63:i:5	0:saw:6	0:a:7	0:flower:8	0:growing:9	0:in:10	0:a:11	0:sidewalk:12	35:i:13	0:wondered:14	0:how:15	0:the:16	0:plant:17	0:got:18	0:there:19	75:seeds:20	0:travel:21	0:in:22	0:different:23	0:ways:24	22:some:25	0:seeds:26	0:just:27	0:drop:28	0:to:29	0:the:30	0:ground:31	64:the:32	0:wind:33	0:or:34	0:birds:35	0:carry:36	0:seeds:37	0:to:38	0:new:39	0:places:40	0:nearby:41	25:or:42	0:far:43	0:away:44	89:water:45	3:can:46	0:take:47	0:seeds:48	0:on:49	0:a:50	0:journey:51	89:some:52	0:animals:53	0:hide:54	0:seeds:55	4:in:56	0:the:57	0:ground:58	72:seeds:59	0:can:60	0:stick:61	0:to:62	0:an:63	0:animal's:64	0:fur:65	16:or:66	0:to:67	0:a:68	0:person's:69	3:socks:70	87:when:71	0:the:72	0:seeds:73	18:fall:74	0:on:75	0:the:76	0:ground:77	25:they:78	0:wait:79	0:for:80	0:sun:81	5:and:82	0:water:83	0:to:84	0:grow:85"
54346,818830,"618:how:0	0:do:1	0:plants:2	0:find:3	0:homes:4	46:i:5	0:saw:6	0:a:7	0:flower:8	0:growing:9	0:in:10	0:a:11	0:sidewalk:12	31:i:13	0:wondered:14	0:how:15	0:the:16	0:plant:17	0:got:18	0:there:19	53:seeds:20	0:travel:21	0:in:22	0:different:23	0:ways:24	30:some:25	0:seeds:26	0:just:27	0:drop:28	0:to:29	0:the:30	0:ground:31	35:the:32	0:wind:33	0:or:34	0:birds:35	0:carry:36	43:seeds:37	0:to:38	0:new:39	0:places:40	0:nearby:41	0:or:42	0:far:43	0:away:44	78:water:45	0:can:46	0:take:47	0:seeds:48	0:on:49	0:a:50	0:journey:51	29:some:52	0:animals:53	0:hide:54	0:seeds:55	0:in:56	0:the:57	0:ground:58	35:seeds:59	0:can:60	0:stick:61	0:to:62	0:an:63	0:animal's:64	0:fur:65	4:or:66	0:to:67	0:a:68	0:person's:69	0:socks:70	70:when:71	0:the:72	0:seeds:73	0:fall:74	0:on:75	0:the:76	0:ground:77	3:they:78	0:wait:79	0:for:80	0:sun:81	0:and:82	0:water:83	0:to:84	0:grow:85"
54348,818837,"1014:how:0	761:do:1	0:plants:2	0:find:3	0:homes:4	29:i:5	0:saw:6	0:a:7	0:flower:8	0:growing:9	0:in:10	0:a:11	0:sidewalk:12	9:i:13	0:wondered:14	0:how:15	0:the:16	0:plant:17	0:got:18	0:there:19	29:seeds:20	0:travel:21	0:in:22	0:different:23	0:ways:24	20:some:25	0:seeds:26	0:just:27	0:drop:28	0:to:29	0:the:30	0:ground:31	20:the:32	0:wind:33	0:or:34	0:birds:35	0:carry:36	0:seeds:37	0:to:38	0:new:39	0:places:40	0:nearby:41	0:or:42	0:far:43	0:away:44	60:water:45	0:can:46	0:take:47	0:seeds:48	0:on:49	0:a:50	0:journey:51	25:some:52	0:animals:53	0:hide:54	0:seeds:55	0:in:56	0:the:57	0:ground:58	23:seeds:59	0:can:60	0:stick:61	0:to:62	0:an:63	0:animal's:64	0:fur:65	3:or:66	0:to:67	0:a:68	0:person's:69	0:socks:70	32:when:71	0:the:72	0:seeds:73	0:fall:74	0:on:75	0:the:76	0:ground:77	5:they:78	0:wait:79	0:for:80	0:sun:81	13:and:82	0:water:83	3:to:84	0:grow:85"
54350,818858,"1888:how:0	0:do:1	0:plants:2	0:find:3	0:homes:4	112:i:5	0:saw:6	0:a:7	0:flower:8	0:growing:9	0:in:10	0:a:11	0:sidewalk:12	33:i:13	0:wondered:14	0:how:15	3:the:16	0:plant:17	0:got:18	0:there:19	127:seeds:20	0:travel:21	0:in:22	0:different:23	0:ways:24	94:some:25	0:seeds:26	0:just:27	0:drop:28	0:to:29	0:the:30	0:ground:31	70:the:32	0:wind:33	3:or:34	0:birds:35	0:carry:36	0:seeds:37	0:to:38	0:new:39	0:places:40	0:nearby:41	3:or:42	0:far:43	0:away:44	85:water:45	3:can:46	0:take:47	0:seeds:48	0:on:49	0:a:50	0:journey:51	94:some:52	0:animals:53	0:hide:54	0:seeds:55	0:in:56	0:the:57	0:ground:58	61:seeds:59	0:can:60	0:stick:61	0:to:62	0:an:63	0:animal's:64	0:fur:65	11:or:66	0:to:67	0:a:68	0:person's:69	0:socks:70	78:when:71	0:the:72	0:seeds:73	0:fall:74	0:on:75	0:the:76	0:ground:77	19:they:78	0:wait:79	0:for:80	0:sun:81	7:and:82	0:water:83	0:to:84	0:grow:85"
54360,818953,"230:how:0	0:do:1	0:plants:2	0:find:3	0:homes:4	71:i:5	0:saw:6	0:a:7	0:flower:8	0:growing:9	0:in:10	0:a:11	0:sidewalk:12	43:i:13	0:wondered:14	0:how:15	0:the:16	0:plant:17	0:got:18	0:there:19	60:seeds:20	0:travel:21	0:in:22	0:different:23	0:ways:24	35:some:25	0:seeds:26	0:just:27	0:drop:28	0:to:29	0:the:30	0:ground:31	57:the:32	0:wind:33	0:or:34	0:birds:35	0:carry:36	0:seeds:37	0:to:38	0:new:39	0:places:40	0:nearby:41	0:or:42	0:far:43	0:away:44	72:water:45	0:can:46	0:take:47	0:seeds:48	0:on:49	0:a:50	0:journey:51	66:some:52	0:animals:53	0:hide:54	0:seeds:55	0:in:56	0:the:57	0:ground:58	76:seeds:59	0:can:60	0:stick:61	0:to:62	0:an:63	0:animal's:64	0:fur:65	27:or:66	0:to:67	0:a:68	0:person's:69	0:socks:70	73:when:71	0:the:72	0:seeds:73	0:fall:74	0:on:75	0:the:76	0:ground:77	28:they:78	0:wait:79	0:for:80	0:sun:81	22:and:82	0:water:83	0:to:84	0:grow:85"
