session,response,value
54329,818770,"123	127	170	131	128	155	152	142	132	118	121	173	198	142	136	163"
54339,818809,"159	166	199	152	135	165	171	152	143	138	133	178	223	154	145	208"
54340,818812,"167	145	174	151	132	161	178	161	141	143	141	181	208	160	171	208"
54342,818818,"163	150	204	142	123	160	169	168	139	124	129	180	225	144	142	205"
54344,818824,"162	150	191	148	122	142	160	161	133	124	134	189	215	146	156	239"
54345,818827,"139	147	176	144	130	165	170	143	118	110	111	145	185	120	127	196"
54346,818830,"180	180	214	180	161	188	158	145	153	144	153	203	228	170	186	269"
54348,818837,"54	193	210	170	164	211	197	161	155	157	156	199	235	194	195	195"
54350,818858,"152	147	186	142	115	132	160	159	135	119	123	167	194	147	155	214"
54360,818953,"169	169	205	166	148	174	180	173	156	144	136	185	217	152	163	195"
54361,818956,"179	184	211	167	146	163	176	183	159	156	158	203	253	170	164	243"
54365,819002,"200	200	203	145	130	186	183	162	155	159	179	225	246	186	198	268"
54366,819005,"164	169	190	151	139	156	167	159	143	148	145	180	201	150	153	214"
54367,819008,"150	143	170	142	124	144	160	157	128	106	92	129	190	117	127	187"
54370,819033,"170	163	215	162	133	173	204	162	135	136	134	175	225	157	162	245"
