session,response,value
30908,544695,"86	88	144	189	159	137	108	102	165	305	190	101	87"
30915,544814,"17	49	102	84	44			31	51				"
31525,553410,"131		53	75	62	66	81	54	51	84	96	83	76"
31788,557541,"132	106	94	82	71	71	96	61	58	101	94	103	96"
31930,560132,"200	221	191	101	78	85	103	106	115	97	86	110	135"
31942,560338,"142	126	127	91	81	79	78	62	69	108	88	82	69"
32192,564810,"52	49	43	57	50	36			38	36	43		"
32205,565044,"146	161	158	147	130	129	158	138	167	163	147	190	155"
32210,565135,"	104	124	71	54	79	64	40	58	141	73	69	73"
32213,565193,"124	97	103	122	96	92	144	77	77	141	103	86	110"
32239,565660,"121	101	108	153	114	105	132	140	137	149	116	104	96"
32258,566017,"37	36	42	35	34	27	32	43	45	55	55		"
32714,573915,"37	35	36	46			43	40	42	60			"
32922,577299,"59	70	72	51	38	40	29	26	43	44	49	75	56"
35171,611806,"80	89	78	60	54	58	66	46	62	169	89	65	62"
37230,646374,"111	115			59	94	107	106	116	128	116	70	"
38071,655115,"146	121	96	100	108	110	114	70	86	116	81	62	57"
40760,679535,"137	120	138	113	90	83		59	90	86	65	79	"
40865,680981,"	18	21	52	32	33	57						"
40887,681371,"64	74	54	57	66	47	43			135	83	65	67"
40964,682706,"		113	109	122	121			103	135	89	109	118"
41091,684840,"107	89	57	38	37	46	50			160	108	77	82"
41105,685085,"221	157	90	82	82	93	98	78	80	82	93	110	126"
41120,685377,"106	136	110	92	94	93	107	93	94	112	100	65	60"
41664,693677,"57	75	56	37	37	47	50	58	75	41	35		"
42279,701456,"91	106	74	73	97	89	115	65	78	166	98	66	69"
42307,701807,"97	105	113	70	51	35	36	56	61	79	75	43	43"
42972,708883,"54	60	56	50			40	33	49	68	42	33	"
44086,718454,"125	128	160	110	75	69	90	107	115	132	120	138	112"
44169,719362,"100	117	64	57	75	88	115	56	71	262	37	33	55"
44867,725921,"136	138	176	163	157	132	105	103	78				"
45071,727934,"96	72	77	164	191	161	142	138	197	259	155	74	70"
46117,738017,"106	125	173	79	60	74	81	100	143	155	96	81	113"
46836,744738,"118	115	119	118	116	118	130	124	91	95	130	123	112"
46990,746499,"66	53	66	78	46	51			95	134	159	113	114"
47002,746647,"126	82	81	97	52	55	101	88				109	138"
47041,747122,"134	118	137	121	107	123	132	117	129	106	111	136	103"
47043,747144,"		127	132	110	77			157	153			"
47092,747760,"115	114	192	78							90	169	157"
47152,748439,"160	171	213	183	125	118	175	134	135	209	158	144	173"
47361,750396,"143	162	185	150	130	140	189	144	168	218	152	146	131"
47363,750434,"182	172	159	146	165	164	170	157	160	185	155	127	121"
47388,750676,"148	174	142	122	172	159	140	119	138	199	146	128	126"
47421,751009,"161	188	267	213	171	189	203	195	253	212	150	168	205"
47464,751448,"135	174	273	253	172	167	227	176	199	319	203	160	139"
