session,response,WCPM,Accuracy,wc,nRefWords,words
30908,544695,126.1,1.000,71,73,"has a plant and a pot the kids will learn to take care of the houseplants is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals care of as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
30915,544814,35.1,0.831,49,73,"room six is learning to grow home but room six is learning learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they has a plant they grow everyday plant and a pot the kids will learn to and a each as learning to about the needs of their of their plants at the end of the school learning to grow plants each will take student plants home but for houseplants"
31525,553410,71.6,0.945,69,73,"room six is learning to grow plants each and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
31788,557541,87.4,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so so many different plants around the room"
31930,560132,116.4,0.973,71,73,"room six is learning to each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
31942,560338,88.5,0.972,70,73,"pot the kids will learn to take care of learning to grow six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their around the journals as they learn about will write in of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so so many different plants around the room"
32192,564810,39.6,0.842,48,73,"has will six is will learn to grow plants each student has a plant and a six is a pot the kids will learn to take care of the as they grow they will write in in their has a plant and a pot the needs needs of their their plants at the around of the school year they will take will take their plants home but plant and a pot"
32205,565044,152.6,1.000,73,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
32210,565135,73.1,1.000,70,73,"learn to take care learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants houseplants as they grow everyday they will write in their journals as they learn about the needs of as they learn about the needs of their plants at the end a pot at the end of the school year they will take their plants home but plants for now the classroom is much greener with so many many different plants around the room"
32213,565193,107.2,0.986,72,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs will learn to their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
32239,565660,117.4,1.000,73,73,"room six is learning to grow plants each student has a plant and a and a pot the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around the room"
32258,566017,39.4,0.983,58,73,"room room six is learning to grow plants each student has a plant and a pot pot the kids will learn to take care of the the houseplants as they grow everyday they needs around write in their journals as they as they learn about the needs of their plants at the plants at the has at the end of the school year will learn they will take their plants home but for"
32714,573915,35.1,0.944,51,73,"room six is learning to learning learning to grow plants each each student to take has a plant and a pot the kids will learn to take care of pot the kids will learn learn to take care of the houseplants classroom is and a pot the kids will learn to take care of everyday they will write in their a pot the they will write write in their their journals journals journals as they learn about the needs for now the of their plants at the end of the at at the end of the school year they will take"
32922,577299,45.8,0.971,67,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn to to take care of the houseplants plants home but as they grow everyday they will write in their journals will at the they learn about the they will the needs of their needs of their plants at the the end of the school year year they they will take their plants home but for now the classroom is much greener with so learn different"
35171,611806,66.9,0.986,72,73,"room six is learning to learning to grow plants each student has a plant and a pot the kids will learn to take care care of the houseplants as they grow at the end of the they will write in their journals as they learn about the needs of their plants at the end of the school at the end of the school year they will take their plants home but for now the classroom is much greener with so many different plants around around the room"
37230,646374,85.4,0.889,64,73,"room six is learning to grow plants each student has a plant and a pot the a pot the a plant and a care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the end of the school year they will take their plants home but for now the classroom is everyday they will write greener their plants now the many different plants around the has a plant and a pot the"
38071,655115,91.9,1.000,71,73,"room six is learning to grow plants each student has a plant and a pot the kids will learn the kids will learn to take care of the houseplants as they grow everyday they will write in their journals as they learn about the needs of their plants at the their plants at the end of the school year they will take their plants take their plants home but for now the classroom is much their plants at the end much greener with so many different plants around"
