session,response,value
54329,818771,"720:room:0	0:six:1	0:is:2	0:learning:3	0:to:4	0:grow:5	0:plants:6	44:each:7	0:student:8	0:has:9	0:a:10	0:plant:11	16:and:12	0:a:13	0:pot:14	105:the:15	0:kids:16	0:will:17	0:learn:18	0:to:19	0:take:20	0:care:21	0:of:22	0:the:23	0:houseplants:24	0:as:25	0:they:26	0:grow:27	83:everyday:28	0:they:29	0:will:30	0:write:31	0:in:32	0:their:33	0:journals:34	0:as:35	0:they:36	0:learn:37	0:about:38	0:the:39	0:needs:40	0:of:41	0:their:42	0:plants:43	93:at:44	0:the:45	0:end:46	0:of:47	0:the:48	0:school:49	0:year:50	0:they:51	0:will:52	0:take:53	0:their:54	0:plants:55	0:home:56	59:but:57	0:for:58	0:now:59	3:the:60	0:classroom:61	0:is:62	0:much:63	0:greener:64	0:with:65	0:so:66	0:many:67	0:different:68	0:plants:69	0:around:70	0:the:71	0:room:72"
54339,818810,"589:room:0	0:six:1	0:is:2	0:learning:3	0:to:4	0:grow:5	0:plants:6	73:each:7	0:student:8	0:has:9	0:a:10	0:plant:11	4:and:12	0:a:13	0:pot:14	88:the:15	0:kids:16	0:will:17	0:learn:18	0:to:19	0:take:20	0:care:21	0:of:22	0:the:23	0:houseplants:24	0:as:25	0:they:26	0:grow:27	74:everyday:28	0:they:29	0:will:30	0:write:31	0:in:32	0:their:33	0:journals:34	0:as:35	0:they:36	0:learn:37	0:about:38	0:the:39	0:needs:40	0:of:41	0:their:42	0:plants:43	59:at:44	0:the:45	0:end:46	0:of:47	0:the:48	0:school:49	0:year:50	25:they:51	0:will:52	0:take:53	0:their:54	0:plants:55	0:home:56	60:but:57	0:for:58	0:now:59	3:the:60	0:classroom:61	0:is:62	0:much:63	0:greener:64	0:with:65	0:so:66	0:many:67	0:different:68	0:plants:69	0:around:70	0:the:71	0:room:72"
54340,818813,"136:room:0	0:six:1	3:is:2	0:learning:3	0:to:4	0:grow:5	0:plants:6	56:each:7	0:student:8	0:has:9	0:a:10	0:plant:11	8:and:12	0:a:13	0:pot:14	77:the:15	0:kids:16	0:will:17	0:learn:18	0:to:19	0:take:20	0:care:21	0:of:22	0:the:23	0:houseplants:24	17:as:25	0:they:26	0:grow:27	73:everyday:28	14:they:29	0:will:30	0:write:31	3:in:32	0:their:33	0:journals:34	19:as:35	0:they:36	0:learn:37	0:about:38	0:the:39	0:needs:40	0:of:41	0:their:42	0:plants:43	79:at:44	0:the:45	0:end:46	0:of:47	0:the:48	0:school:49	0:year:50	39:they:51	0:will:52	0:take:53	0:their:54	0:plants:55	0:home:56	47:but:57	0:for:58	0:now:59	22:the:60	0:classroom:61	0:is:62	0:much:63	0:greener:64	0:with:65	0:so:66	0:many:67	0:different:68	0:plants:69	0:around:70	4:the:71	0:room:72"
54342,818819,"2085:room:0	0:six:1	10:is:2	0:learning:3	0:to:4	0:grow:5	0:plants:6	73:each:7	0:student:8	3:has:9	0:a:10	0:plant:11	6:and:12	0:a:13	0:pot:14	94:the:15	0:kids:16	0:will:17	0:learn:18	0:to:19	0:take:20	0:care:21	0:of:22	0:the:23	0:houseplants:24	0:as:25	0:they:26	0:grow:27	84:everyday:28	10:they:29	0:will:30	0:write:31	0:in:32	0:their:33	0:journals:34	19:as:35	0:they:36	0:learn:37	0:about:38	0:the:39	0:needs:40	0:of:41	0:their:42	0:plants:43	75:at:44	0:the:45	0:end:46	0:of:47	0:the:48	0:school:49	0:year:50	43:they:51	0:will:52	0:take:53	0:their:54	0:plants:55	0:home:56	68:but:57	0:for:58	0:now:59	15:the:60	0:classroom:61	4:is:62	0:much:63	0:greener:64	9:with:65	0:so:66	0:many:67	0:different:68	0:plants:69	0:around:70	0:the:71	0:room:72"
54344,818825,"87:room:0	0:six:1	3:is:2	0:learning:3	0:to:4	0:grow:5	0:plants:6	81:each:7	0:student:8	7:has:9	0:a:10	0:plant:11	13:and:12	0:a:13	0:pot:14	87:the:15	0:kids:16	12:will:17	0:learn:18	0:to:19	0:take:20	0:care:21	0:of:22	0:the:23	0:houseplants:24	0:as:25	0:they:26	0:grow:27	63:everyday:28	22:they:29	0:will:30	0:write:31	0:in:32	0:their:33	0:journals:34	21:as:35	0:they:36	0:learn:37	0:about:38	0:the:39	0:needs:40	0:of:41	0:their:42	0:plants:43	80:at:44	0:the:45	0:end:46	0:of:47	0:the:48	0:school:49	0:year:50	50:they:51	0:will:52	0:take:53	0:their:54	0:plants:55	0:home:56	55:but:57	0:for:58	0:now:59	18:the:60	0:classroom:61	3:is:62	4:much:63	0:greener:64	7:with:65	0:so:66	0:many:67	0:different:68	0:plants:69	0:around:70	0:the:71	0:room:72"
54345,818828,"250:room:0	0:six:1	0:is:2	0:learning:3	0:to:4	0:grow:5	0:plants:6	40:each:7	0:student:8	0:has:9	0:a:10	0:plant:11	4:and:12	0:a:13	0:pot:14	72:the:15	0:kids:16	0:will:17	0:learn:18	0:to:19	0:take:20	0:care:21	0:of:22	0:the:23	0:houseplants:24	4:as:25	0:they:26	0:grow:27	68:everyday:28	3:they:29	0:will:30	0:write:31	0:in:32	0:their:33	0:journals:34	10:as:35	5:they:36	0:learn:37	3:about:38	0:the:39	0:needs:40	0:of:41	0:their:42	0:plants:43	114:at:44	0:the:45	0:end:46	0:of:47	0:the:48	0:school:49	0:year:50	9:they:51	0:will:52	0:take:53	0:their:54	0:plants:55	0:home:56	46:but:57	0:for:58	0:now:59	7:the:60	0:classroom:61	0:is:62	0:much:63	0:greener:64	4:with:65	0:so:66	0:many:67	0:different:68	0:plants:69	13:around:70	0:the:71	0:room:72"
54346,818831,"486:room:0	0:six:1	0:is:2	0:learning:3	0:to:4	0:grow:5	0:plants:6	35:each:7	0:student:8	0:has:9	0:a:10	0:plant:11	3:and:12	0:a:13	0:pot:14	45:the:15	0:kids:16	0:will:17	0:learn:18	0:to:19	0:take:20	0:care:21	0:of:22	0:the:23	0:houseplants:24	0:as:25	0:they:26	0:grow:27	44:everyday:28	3:they:29	0:will:30	0:write:31	0:in:32	0:their:33	0:journals:34	0:as:35	0:they:36	0:learn:37	0:about:38	0:the:39	0:needs:40	0:of:41	0:their:42	0:plants:43	42:at:44	0:the:45	0:end:46	0:of:47	0:the:48	0:school:49	0:year:50	3:they:51	0:will:52	0:take:53	0:their:54	0:plants:55	0:home:56	36:but:57	0:for:58	0:now:59	0:the:60	0:classroom:61	0:is:62	0:much:63	0:greener:64	0:with:65	3:so:66	0:many:67	0:different:68	0:plants:69	0:around:70	0:the:71	0:room:72"
54348,818838,"1509:room:0	0:six:1	0:is:2	0:learning:3	0:to:4	0:grow:5	0:plants:6	9:each:7	0:student:8	0:has:9	0:a:10	0:plant:11	0:and:12	0:a:13	0:pot:14	7:the:15	0:kids:16	0:will:17	0:learn:18	0:to:19	0:take:20	0:care:21	0:of:22	0:the:23	0:houseplants:24	0:as:25	0:they:26	0:grow:27	28:everyday:28	0:they:29	0:will:30	0:write:31	0:in:32	0:their:33	0:journals:34	0:as:35	0:they:36	0:learn:37	0:about:38	0:the:39	0:needs:40	0:of:41	0:their:42	0:plants:43	36:at:44	0:the:45	0:end:46	0:of:47	0:the:48	0:school:49	0:year:50	9:they:51	0:will:52	0:take:53	0:their:54	0:plants:55	0:home:56	18:but:57	0:for:58	0:now:59	3:the:60	0:classroom:61	0:is:62	0:much:63	0:greener:64	0:with:65	0:so:66	0:many:67	0:different:68	0:plants:69	0:around:70	0:the:71	0:room:72"
54350,818859,"0:room:0	1727:six:1	9:is:2	0:learning:3	0:to:4	0:grow:5	0:plants:6	43:each:7	0:student:8	3:has:9	0:a:10	0:plant:11	6:and:12	0:a:13	0:pot:14	112:the:15	0:kids:16	14:will:17	0:learn:18	0:to:19	0:take:20	0:care:21	0:of:22	0:the:23	0:houseplants:24	0:as:25	0:they:26	0:grow:27	58:everyday:28	5:they:29	0:will:30	0:write:31	0:in:32	0:their:33	0:journals:34	9:as:35	0:they:36	0:learn:37	0:about:38	0:the:39	0:needs:40	0:of:41	0:their:42	0:plants:43	61:at:44	0:the:45	0:end:46	0:of:47	0:the:48	0:school:49	0:year:50	28:they:51	0:will:52	0:take:53	0:their:54	0:plants:55	0:home:56	33:but:57	0:for:58	0:now:59	24:the:60	0:classroom:61	0:is:62	0:much:63	0:greener:64	24:with:65	9:so:66	0:many:67	0:different:68	0:plants:69	0:around:70	0:the:71	0:room:72"
54360,818954,"271:room:0	0:six:1	0:is:2	0:learning:3	0:to:4	0:grow:5	0:plants:6	33:each:7	0:student:8	0:has:9	0:a:10	0:plant:11	3:and:12	0:a:13	0:pot:14	70:the:15	16:kids:16	0:will:17	0:learn:18	0:to:19	0:take:20	0:care:21	0:of:22	0:the:23	0:houseplants:24	0:as:25	0:they:26	0:grow:27	63:everyday:28	3:they:29	0:will:30	0:write:31	0:in:32	0:their:33	0:journals:34	0:as:35	0:they:36	0:learn:37	0:about:38	0:the:39	0:needs:40	0:of:41	0:their:42	0:plants:43	56:at:44	0:the:45	0:end:46	0:of:47	0:the:48	0:school:49	0:year:50	28:they:51	0:will:52	0:take:53	0:their:54	0:plants:55	0:home:56	54:but:57	0:for:58	0:now:59	9:the:60	0:classroom:61	0:is:62	0:much:63	0:greener:64	24:with:65	27:so:66	0:many:67	0:different:68	0:plants:69	0:around:70	0:the:71	0:room:72"
