session,response,value
54329,818771,"141	142	169	171	145	154	245	147	159	288	160	140	172"
54339,818810,"143	143	188	186	150	155	270	186	189	265	155	147	193"
54340,818813,"152	161	197	184	143	143	217	171	190	248	171	150	168"
54342,818819,"146	159	196	199	159	159	273	190	214	279	164	148	185"
54344,818825,"147	152	170	181	163	162	246	180	215	280	171	143	166"
54345,818828,"155	167	199	180	143	148	206	145	169	275	167	142	162"
54346,818831,"182	181	239	250	198	199	294	221	229	341	224	201	229"
54348,818838,"178	175	235	247	189	198	300	236	249	308	213	198	222"
54350,818859,"28	156	154	153	153	157	270	186	201	287	182	160	166"
54360,818954,"168	167	174	176	169	185	324	214	215	294	167	148	155"
54361,818957,"166	168	200	198	180	192	313	199	207	296	178	153	178"
54365,819003,"182	186	265	247	166	183	324	228	233	308	202	179	151"
54366,819006,"160	169	216	192	152	159	233	208	227	287	173	157	187"
54367,819009,"135	132	183	189	142	143	244	179	189	245	146	132	167"
54370,819034,"182	188	202	185	167	175	263	172	187	280	165	158	200"
