session,response,sframe,nframes,word
30908,544687,0,92,<eps>
30908,544687,92,40,sam
30908,544687,132,29,and
30908,544687,161,60,jo
30908,544687,221,34,<eps>
30908,544687,255,40,went
30908,544687,295,36,for
30908,544687,331,41,<eps>
30908,544687,372,11,a
30908,544687,383,48,hike
30908,544687,431,27,<eps>
30908,544687,458,37,they
30908,544687,495,26,<eps>
30908,544687,521,32,took
30908,544687,553,18,a
30908,544687,571,71,path
30908,544687,642,45,<eps>
30908,544687,687,79,through
30908,544687,766,11,the
30908,544687,777,47,woods
30908,544687,824,49,<eps>
30908,544687,873,12,<backoff1>
30908,544687,885,16,their
30908,544687,901,51,heads
30908,544687,952,151,<eps>
30908,544687,1103,12,<backoff1>
30908,544687,1115,52,<eps>
30908,544687,1167,107,through
30908,544687,1274,22,the
30908,544687,1296,6,<backoff1>
30908,544687,1302,67,<eps>
30908,544687,1369,22,they
30908,544687,1391,16,took
30908,544687,1407,56,<eps>
30908,544687,1463,4,a
30908,544687,1467,12,<eps>
30908,544687,1479,30,path
30908,544687,1509,35,<eps>
30908,544687,1544,198,through
30908,544687,1742,7,<backoff3>
30908,544687,1749,44,their
30908,544687,1793,77,<eps>
30908,544687,1870,32,mother
30908,544687,1902,8,<backoff1>
30908,544687,1910,34,heard
30908,544687,1944,11,a
30908,544687,1955,37,noise
30908,544687,1992,38,coming
30908,544687,2030,66,<eps>
30908,544687,2096,35,from
30908,544687,2131,9,the
30908,544687,2140,44,tree
30908,544687,2184,12,<eps>
30908,544687,2196,50,above
30908,544687,2246,35,<eps>
30908,544687,2281,16,their
30908,544687,2297,41,heads
30908,544687,2338,24,jo
30908,544687,2362,7,<backoff1>
30908,544687,2369,36,what
30908,544687,2405,66,<eps>
30908,544687,2471,23,the
30908,544687,2494,17,<backoff1>
30908,544687,2511,31,and
30908,544687,2542,21,jo
30908,544687,2563,23,went
30908,544687,2586,4,<eps>
30908,544687,2590,6,for
30908,544687,2596,65,a
30908,544687,2661,4,<eps>
30908,544687,2665,61,hike
30908,544687,2726,27,<backoff1>
30908,544687,2753,41,<eps>
30908,544687,2794,36,up
30908,544687,2830,85,<eps>
30908,544687,2915,16,to
30908,544687,2931,33,see
30908,544687,2964,48,what
30908,544687,3012,37,<eps>
30908,544687,3049,10,the
30908,544687,3059,42,noise
30908,544687,3101,53,<eps>
30908,544687,3154,21,was
30908,544687,3175,87,<eps>
30908,544687,3262,97,and
30908,544687,3359,39,<eps>
30908,544687,3398,26,found
30908,544687,3424,26,two
30908,544687,3450,57,baby
30908,544687,3507,58,squirrels
30908,544687,3565,21,<eps>
30908,544687,3586,11,the
30908,544687,3597,44,babies
30908,544687,3641,15,were
30908,544687,3656,44,alone
30908,544687,3700,49,<eps>
30908,544687,3749,10,but
30908,544687,3759,30,their
30908,544687,3789,5,<eps>
30908,544687,3794,15,mother
30908,544687,3809,10,<eps>
30908,544687,3819,38,must
30908,544687,3857,18,be
30908,544687,3875,32,somewhere
30908,544687,3907,55,near
30908,544687,3962,33,<eps>
30908,544687,3995,41,the
30908,544687,4036,3,<eps>
30908,544687,4039,55,children
30908,544687,4094,5,<eps>
30908,544687,4099,35,watched
30908,544687,4134,15,and
30908,544687,4149,50,waited
30908,544687,4199,48,<eps>
30908,544687,4247,32,sure
30908,544687,4279,72,enough
30908,544687,4351,19,the
30908,544687,4370,34,mother
30908,544687,4404,31,soon
30908,544687,4435,57,returned
30908,544687,4492,46,<eps>
30908,544687,4538,24,with
30908,544687,4562,3,<eps>
30908,544687,4565,25,a
30908,544687,4590,94,mouthful
30908,544687,4684,18,of
30908,544687,4702,72,nuts
30908,544687,4774,37,<eps>
30908,544687,4811,21,the
30908,544687,4832,58,<eps>
30908,544687,4890,67,noises
30908,544687,4957,3,<backoff1>
30908,544687,4960,30,<eps>
30908,544687,4990,111,babies
30908,544687,5101,12,<backoff1>
30908,544687,5113,57,stopped
30908,544687,5170,32,<eps>
30908,544687,5202,10,as
30908,544687,5212,14,the
30908,544687,5226,36,baby
30908,544687,5262,47,squirrels
30908,544687,5309,32,began
30908,544687,5341,15,to
30908,544687,5356,3,<eps>
30908,544687,5359,35,eat
30908,544687,5394,58,<eps>
30908,544687,5452,62,sam
30908,544687,5514,33,<eps>
30908,544687,5547,58,and
30908,544687,5605,3,<eps>
30908,544687,5608,21,jo
30908,544687,5629,60,smiled
30908,544687,5689,65,knowing
30908,544687,5754,9,<eps>
30908,544687,5763,10,the
30908,544687,5773,44,squirrels
30908,544687,5817,15,were
30908,544687,5832,37,safe
30908,544687,5869,10,<backoff1>
30908,544687,5879,53,<eps>
30908,544687,5932,44,safe
