session,response,WCPM,Accuracy,words
30908,544687,84.7,0.966,"sam and jo went for a hike they took a path through the woods their heads through the they took a path through their mother heard a noise coming from the tree above their heads jo what the and jo went for a hike up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises babies stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe safe with their mother"
30915,544806,47.1,0.861,"sam and jo went for a what took a path through the jo went for a hike knowing the coming from the tree see eat sam and their heads jo climbed up to see what the noise was the noise was the noise was and found two baby squirrels the babies were alone baby but their mother heard a noise be eat sam knowing the squirrels near the children watched and waited sure enough the mother soon their heads soon returned with a mouthful of nuts the noises stopped a path the baby baby squirrels began to eat sam and"
31525,553401,62.6,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were babies were alone but their mother must be somewhere near the children watched hike and waited sure enough the mother soon returned somewhere near the soon returned with a mouthful of nuts the knowing the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
31788,557533,72.8,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was was and found two baby squirrels the the babies were alone but their mother must be somewhere near the children watched and waited watched and waited sure enough the mother soon returned with a mouthful of of nuts nuts the noises above their noises stopped as the baby squirrels began to eat sam and jo smiled knowing knowing the squirrels were safe with their mother"
31901,559573,50.9,0.938,"sam and jo went for a hike they took a path through the woods suddenly the woods suddenly sam heard a noise coming noise coming from the tree above their heads jo climbed up to above their heads jo jo climbed up to up to see what the noise was and found two baby squirrels the babies were somewhere be squirrels were but their mother must be somewhere near must be somewhere near the children watched sam and jo went for a hike they took somewhere near the children watched mother must be returned with a mouthful of nuts a mouthful of nuts the noises stopped went for a hike they took a path as the baby squirrels began to eat sam and jo smiled"
31930,560124,73.1,0.899,"sam and jo went for a went for a hike they took a path through the woods suddenly sam heard a noise sam heard a noise coming from the tree above their baby heads jo climbed up to see what the noise was and found but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises see what the the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
31942,560330,73.7,0.909,"sam and jo went for a hike they took a took a path through the woods suddenly sam heard a noise coming from the tree above the tree above their heads heads jo climbed up to see what the noise was and suddenly sam heard a nuts the were safe alone but their mother must be somewhere near the children watched and watched sure enough the mother soon returned with a a noise and jo went of nuts the noises stopped as the baby squirrels began to eat"
31998,561348,84.8,0.989,"sam and sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their the woods suddenly jo climbed up to see what the noise was and found two and found two baby two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
32192,564802,31.6,0.872,"sam and jo went for a hike they took a took a path through the woods for a hike suddenly sam heard a noise coming from the tree above their heard a took a path up to see what the noise went for a hike they took a two baby squirrels of nuts the babies were alone but with their mother"
32205,565035,79.3,0.854,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
32210,565127,43.0,0.697,"sam and jo went near the children watched sam and jo went for was and sam and jo went for a hike they took a path what the noise sam heard a noise coming from the from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone a noise for a hike sure enough the mother climbed up to see knowing the went for a hike they took a path a hike they took a path watched and the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
32213,565185,88.6,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their with their mother"
