session,response,value
30908,544687,"125	110	33	37	60	62	95	103	175	154	121	112	78	91	131	122"
30915,544806,"56				47	46	46	63	53	40	49	54	54	43	44	"
31525,553401,"111	109	99	112	106	98	105	58	50	43	54	42	31	53	50	47"
31788,557533,"108	97	102	118	96	64	65	70	76	78	69	75	36	37	109	72"
31901,559573,"96	60	48	44	39	56	79	55	41	55			46	60	65	"
31930,560124,"148	154	87	72	74	95				93	72	81	97	69	67	73"
31942,560330,"115	117	106	97	71	74			46	72	75	67	47	61		"
31998,561348,"87	135	132	112	69	78	63	56	85	75	64	75	82	84	125	127"
32192,564802,"51	31	34	56				28								"
32205,565035,"137	89	89	121					79	74	60	56	71	68	75	63"
32210,565127,"35			44	46	46	52	65							62	134"
32213,565185,"180	116	75	73	81	77	82	79	90	98	78	86	72	76	112	94"
32239,565652,"134	113	125	124	106	108	117	121	113	92	84	71	69	105	72	63"
32258,566007,"29															"
32438,569207,"72	67	62	52	42	56	78			38	23					"
32674,573193,"70	99	108	99	68	46	52	84	78	67	70	26	27	104	71	50"
32714,573907,"32	39	35	51	40	49	55	33	29	29						"
32807,575320,"	85	122	83	68	114	148									"
32922,577291,"34	28	30	38	31	26	25	32								"
33652,588202,"62	19	19	51	19	26	197	74	75	76						"
35171,611797,"126	85	71	88	86	69	75	72	62	59	67	63	49	60	83	55"
37230,646366,"75				49	63	118	88	96	98	73				84	119"
38071,655107,"145	131	129	157	157	114	101	119	133	87	75	69	63	105	178	158"
40760,679527,"221	163	133	142	117	116	56	32	43	42	36	61	81			45"
40865,680973,"33			14	30	38	41	36								"
40887,681363,"91	75	58	52	56	94	113	64	52	65	42	29	38	72	92	61"
40964,682698,"131	110	111	150	142	112	88	69	81	99	95	93	90	116	135	109"
41091,684830,"84	72	85	134	76	77	78	67	72	56	60	60	73	108	90	101"
41105,685076,"			142	143	156	127	110	142	140	82	76	112	124	157	145"
41120,685369,"117	104	106	88	74	51	55	76	71	51	40	52				"
41664,693669,"72	60	28	32	55	35	43	57	42	28						"
42279,701448,"117	98	117	136	87	72	76	72	75	47	40	50	58	69	103	57"
42307,701799,"70	42	48	76	80	83	45	44	82	51	32	23	25			"
42972,708875,"43	48	49	69		25	43	21	26	49						"
44086,718446,"125	100	121	144	115	49	56	134	110	119			78	113	179	155"
44169,719354,"106	116			112	73	59	81	95	106	56	44	53	72	137	113"
44867,725913,"160	128	144	178	147	138	120	95	101	104	67	60	54	63	101	68"
45071,727926,"191	167	153	153				62	40	38	92	118	80	98	166	"
46117,738009,"131	95	96	112			63	110				114	114	134	214	204"
46828,744640,"245	189	177	209	184	211	234	190	198	176	161	183	143	142	200	189"
46836,744730,"133	117	105	93	73	82	100	88				95	95	107	130	98"
46990,746491,"122	87	123	88	90	136	115	75	82	80				23	97	93"
47002,746639,"			79	72	78	86	114	85	82	100	103	77	62	78	100"
47041,747114,"119	171	182	184	170	75	68	119	153	127	124	152	146	110	110	60"
47043,747136,"134	152	134	74	76	121	113	136	178	163	145	128	129	154	178	142"
47054,747303,"178	132	119	150	130	120	154	177	210	152	138	163	143	151	185	177"
47092,747752,"158	141	147	180	205	65	63	131	139	149	138			103	107	131"
47152,748431,"223	179	148	188	200	134	105	110	141	158	152	169	152	150	159	152"
47361,750388,"201	147	159	160	138	160	160	139	160	178	143	152	148	145	164	158"
47363,750425,"168	141	117	54	53	111	113	106	124	136	73	62	88	105	137	108"
47378,750595,"200	153	124	78	72	141	148	104	112	94	94	106	103	126	125	138"
47388,750666,"165	157	137	169	179	117	109	133	126	109	115	82	76	109	128	141"
47421,751001,"197	180	182	188	160	203	237	173	181	200	163	127	117	141	201	233"
47464,751440,"195	187	197	250	194	139	154	220	245	175	160	195	99	101	224	174"
47502,751928,"233	198	169	191	189	160	148	122	99	108	137	137	140	155	168	150"
47582,752991,"194	150	149	233	191	154	169	199	258	185	162	203	120	86	119	191"
47767,754873,"	75	90			31	84	86	81	55	52	63	71	90	100	75"
47824,755427,"197	163	148	195	183	190	205	161	176	171	153	138	85	98	214	214"
47894,756104,"137	137	121	137	123	117	139	153	171	176	160	147	112	135	180	120"
47912,756273,"57			72	33	36	85	68	50	41	35	37	70	66	55	"
48049,757533,"211	183	156	200	197	187	218	206	223	161	121	148	182	195	203	188"
48155,758448,"73	68	80	103	71	69	83	73	81	37	33	60	42	49	70	56"
48268,759434,"114			17												"
48359,760144,"200	173	179	247	168	126	138	145	112	89	112	102	91	155	201	172"
48410,760695,"101	89	101	120	120	89	82	57	65	117	128	121	94	116	204	139"
48418,760770,"110			101	49	50	65				55	47	45	47	79	43"
48502,761579,"159	124	106	135	132	134	99	67	88	113	99	81	79	112	152	150"
48539,761909,"100	40	35	32	23	45	81	48	46	37						"
48821,764254,"94	107	114	92	69	85	96	69	72	73	50	48	54	73	99	97"
48927,765393,"104	124	89	89	85	72	81	103	122	102	108	98	92	119	119	104"
48966,765729,"114	120	100	95	107	110	131	80	51	63	92	100	64	67	145	150"
48972,765847,"141	103	104	123	147	157	169	106	109	123	101	97	81	88	115	128"
48978,765932,"155	139	163	179	149	147	149	124	121		29	122	51	53	92	88"
49169,767971,"137	86	64	83	69	65	93	68	52	49	48	31	30	58	79	77"
49197,768328,"215	184	180	132	105	137	155	82	88	154	126	130	104	98	123	106"
49373,770428,"126	100	115	131	108	138	97	74	93	88	90	100	97	100	86	90"
49541,772048,"62	37	18	25	49	59	42	24								"
49581,772453,"166	118	106	137	152	98	83	102	130	106	88	92	61	56	93	137"
49599,772599,"110	83	77	76	71	71	79	47	45	85	58	53	71	79	103	87"
49607,772661,"78	84	81				18	65								"
49661,773095,"97	96	99	137	109	95	97	71	73	96	70	64	71	96	104	99"
49698,773421,"194	208	184	187	174	197	163	124	137	78	79	108	75	76	123	181"
49703,773470,"132	122	120	132	115	104	96	96	98	79	82	85	86	121	147	132"
49751,773901,"114	101	100	131	120	109	124	113	127	131	95	97	89	105	124	118"
49841,774697,"76	98	127	164	120	84	102	135	131	155	131	143	67	59	124	132"
49998,776208,"89	73	106	130	114	114	96	76	93	108	89	112	98	98	163	190"
50020,776443,"106	96	105	84	83	110	92	84	101	93	84	79	68	92	125	73"
50026,776496,"201	71	70	173	140	153	180	154	141	105	101	120	122	148	182	162"
50030,776544,"127	162	119	129	168	161	130	111	130	100	75	97	119	115	162	135"
50031,776562,"136	137	131	152	124	113	105	92	88	77	62	69	106	113	123	129"
50061,776900,"89	75	76	92	126	96	85	88	102	100	93	101	100	105	97	94"
50103,777291,"219	143	84	77	107	154	170	112	115	142	116	133	139	151	127	111"
50118,777458,"237	221	194	165	129	172	137	113	86	90	180	156	135	164	220	209"
50140,777699,"	47	102	115	87	62					60	26	26			"
50143,777727,"140	115	123	114	90	31	33	108	114	118	89	93	99	115	156	133"
50193,778276,"185	136	147	192	208	186	185	157	100	103	138	168	186	137	159	224"
50212,778441,"146	123	88	98	131	117	133	121	104	123	132	108	114	155	160	129"
50232,778642,"172	178	144	166	166	135	103	112	173	183	133	108	132	181	214	226"
50645,782562,"148	115	90	97	107	118	102	59	58	70	60	70	76	72	69	74"
50666,782748,"120	106	141	110	68	34	43	110	100	118	75	82	52	46	91	69"
50687,782963,"184	126	120	175	182	183	181	163	199	169	126	128	111	123	141	110"
50918,784996,"207	159	150			158	175	153	169	155	143	149	141	144	120	79"
50941,785256,"149	125	113	84	80	93	118	99	92	108	50	42	73	129	150	145"
51042,786358,"205	123	107	90	81	127	130	93	80	109	167	150	150	134	143	192"
51192,787877,"34	40	41	29	18	26										"
51264,788614,"135	87	79	75	56	53	66	70	59	44	40	52	67	82	89	59"
51375,789795,"101															"
51727,793373,"132	149	139	169	124	136	143	121	131	120	102	114	119	128	184	150"
52113,797690,"130	132	117	90	80	87	86	97	119	83				101	74	71"
52117,797763,"120	94	92	115	101	89	86	71	75	75	75	75	50	58	95	92"
52324,800004,"154	122	119	103	71	83	117	88	80	81	75	86	112	143	155	71"
52490,801652,"148	117	116	115	110	133	129	112	113	114	48	45	84	124	130	112"
52743,804168,"64	41	41			19	24	26	24							"
52746,804223,"66	54	47	54	45	53	39	24	34	44	36					"
52812,805147,"75	77	35	32			23	59	59	65	59	55				"
52897,806001,"71	62	52													"
53212,808896,"121	108	117	91	65	78	70	65	71	71	69	38	34	60	115	102"
53264,809365,"189	185	197	157	132	134	143	58	62	226	138			112	145	119"
53536,811923,"171	152	153	146	112	111	118	112	105	88	94	83	89	93	99	94"
53710,813750,"109	157	141	170	133				120	117	105	130	140	126	75	75"
