session,response,sframe,nframes,word
54329,818769,0,121,<eps>
54329,818769,121,47,sam
54329,818769,168,19,and
54329,818769,187,34,jo
54329,818769,221,23,went
54329,818769,244,24,for
54329,818769,268,4,a
54329,818769,272,57,hike
54329,818769,329,68,<eps>
54329,818769,397,15,they
54329,818769,412,22,took
54329,818769,434,4,a
54329,818769,438,37,path
54329,818769,475,22,through
54329,818769,497,12,the
54329,818769,509,63,woods
54329,818769,572,75,<eps>
54329,818769,647,66,suddenly
54329,818769,713,38,sam
54329,818769,751,17,heard
54329,818769,768,6,a
54329,818769,774,51,noise
54329,818769,825,32,coming
54329,818769,857,17,from
54329,818769,874,8,the
54329,818769,882,50,tree
54329,818769,932,32,above
54329,818769,964,15,their
54329,818769,979,62,heads
54329,818769,1041,77,<eps>
54329,818769,1118,25,jo
54329,818769,1143,48,climbed
54329,818769,1191,18,up
54329,818769,1209,12,to
54329,818769,1221,27,see
54329,818769,1248,21,what
54329,818769,1269,7,the
54329,818769,1276,41,noise
54329,818769,1317,34,was
54329,818769,1351,15,and
54329,818769,1366,34,found
54329,818769,1400,32,two
54329,818769,1432,32,baby
54329,818769,1464,79,squirrels
54329,818769,1543,68,<eps>
54329,818769,1611,8,the
54329,818769,1619,41,babies
54329,818769,1660,15,were
54329,818769,1675,44,alone
54329,818769,1719,14,but
54329,818769,1733,13,their
54329,818769,1746,42,mother
54329,818769,1788,4,<eps>
54329,818769,1792,29,must
54329,818769,1821,16,be
54329,818769,1837,50,somewhere
54329,818769,1887,55,near
54329,818769,1942,63,<eps>
54329,818769,2005,12,the
54329,818769,2017,49,children
54329,818769,2066,55,watched
54329,818769,2121,20,and
54329,818769,2141,59,waited
54329,818769,2200,64,<eps>
54329,818769,2264,38,sure
54329,818769,2302,40,enough
54329,818769,2342,9,the
54329,818769,2351,38,mother
54329,818769,2389,49,soon
54329,818769,2438,60,returned
54329,818769,2498,17,with
54329,818769,2515,4,a
54329,818769,2519,60,mouthful
54329,818769,2579,13,of
54329,818769,2592,60,nuts
54329,818769,2652,60,<eps>
54329,818769,2712,11,the
54329,818769,2723,53,noises
54329,818769,2776,59,stopped
54329,818769,2835,16,as
54329,818769,2851,8,the
54329,818769,2859,36,baby
54329,818769,2895,51,squirrels
54329,818769,2946,39,began
54329,818769,2985,14,to
54329,818769,2999,6,<eps>
54329,818769,3005,40,eat
54329,818769,3045,79,<eps>
54329,818769,3124,39,sam
54329,818769,3163,13,and
54329,818769,3176,23,jo
54329,818769,3199,84,smiled
54329,818769,3283,6,<eps>
54329,818769,3289,43,knowing
54329,818769,3332,8,the
54329,818769,3340,50,squirrels
54329,818769,3390,15,were
54329,818769,3405,67,safe
54329,818769,3472,3,<eps>
54329,818769,3475,22,with
54329,818769,3497,14,their
54329,818769,3511,43,mother
54329,818769,3554,317,<eps>
54338,818805,0,71,<eps>
54338,818805,71,46,sam
54338,818805,117,21,and
54338,818805,138,28,jo
54338,818805,166,26,went
54338,818805,192,23,for
54338,818805,215,4,a
54338,818805,219,41,hike
54338,818805,260,58,<eps>
54338,818805,318,16,they
54338,818805,334,23,took
54338,818805,357,6,a
54338,818805,363,43,path
54338,818805,406,19,through
54338,818805,425,8,the
54338,818805,433,53,woods
54338,818805,486,34,<eps>
54338,818805,520,74,suddenly
54338,818805,594,3,<eps>
54338,818805,597,39,sam
54338,818805,636,35,heard
54338,818805,671,6,a
54338,818805,677,37,noise
54338,818805,714,32,coming
54338,818805,746,27,from
54338,818805,773,13,the
54338,818805,786,42,tree
54338,818805,828,33,above
54338,818805,861,14,their
54338,818805,875,55,heads
54338,818805,930,51,<eps>
54338,818805,981,29,jo
54338,818805,1010,37,climbed
54338,818805,1047,18,up
54338,818805,1065,12,to
54338,818805,1077,25,see
54338,818805,1102,32,what
54338,818805,1134,6,the
54338,818805,1140,29,noise
54338,818805,1169,49,was
54338,818805,1218,19,<eps>
54338,818805,1237,19,and
