session,response,value
54329,818769,"121:sam:0	0:and:1	0:jo:2	0:went:3	0:for:4	0:a:5	0:hike:6	68:they:7	0:took:8	0:a:9	0:path:10	0:through:11	0:the:12	0:woods:13	75:suddenly:14	0:sam:15	0:heard:16	0:a:17	0:noise:18	0:coming:19	0:from:20	0:the:21	0:tree:22	0:above:23	0:their:24	0:heads:25	77:jo:26	0:climbed:27	0:up:28	0:to:29	0:see:30	0:what:31	0:the:32	0:noise:33	0:was:34	0:and:35	0:found:36	0:two:37	0:baby:38	0:squirrels:39	68:the:40	0:babies:41	0:were:42	0:alone:43	0:but:44	0:their:45	0:mother:46	4:must:47	0:be:48	0:somewhere:49	0:near:50	63:the:51	0:children:52	0:watched:53	0:and:54	0:waited:55	64:sure:56	0:enough:57	0:the:58	0:mother:59	0:soon:60	0:returned:61	0:with:62	0:a:63	0:mouthful:64	0:of:65	0:nuts:66	60:the:67	0:noises:68	0:stopped:69	0:as:70	0:the:71	0:baby:72	0:squirrels:73	0:began:74	0:to:75	6:eat:76	79:sam:77	0:and:78	0:jo:79	0:smiled:80	6:knowing:81	0:the:82	0:squirrels:83	0:were:84	0:safe:85	3:with:86	0:their:87	0:mother:88"
54338,818805,"71:sam:0	0:and:1	0:jo:2	0:went:3	0:for:4	0:a:5	0:hike:6	58:they:7	0:took:8	0:a:9	0:path:10	0:through:11	0:the:12	0:woods:13	34:suddenly:14	3:sam:15	0:heard:16	0:a:17	0:noise:18	0:coming:19	0:from:20	0:the:21	0:tree:22	0:above:23	0:their:24	0:heads:25	51:jo:26	0:climbed:27	0:up:28	0:to:29	0:see:30	0:what:31	0:the:32	0:noise:33	0:was:34	19:and:35	0:found:36	0:two:37	0:baby:38	0:squirrels:39	55:the:40	0:babies:41	0:were:42	0:alone:43	26:but:44	0:their:45	0:mother:46	0:must:47	0:be:48	0:somewhere:49	0:near:50	55:the:51	0:children:52	0:watched:53	5:and:54	0:waited:55	75:sure:56	0:enough:57	3:the:58	0:mother:59	0:soon:60	0:returned:61	3:with:62	0:a:63	0:mouthful:64	0:of:65	3:nuts:66	74:the:67	0:noises:68	0:stopped:69	6:as:70	0:the:71	0:baby:72	0:squirrels:73	0:began:74	0:to:75	0:eat:76	59:sam:77	0:and:78	0:jo:79	0:smiled:80	30:knowing:81	0:the:82	0:squirrels:83	0:were:84	0:safe:85	5:with:86	0:their:87	0:mother:88"
54339,818808,"1507:sam:0	0:and:1	0:jo:2	0:went:3	0:for:4	0:a:5	0:hike:6	40:they:7	0:took:8	0:a:9	0:path:10	0:through:11	0:the:12	0:woods:13	29:suddenly:14	0:sam:15	0:heard:16	0:a:17	0:noise:18	0:coming:19	0:from:20	0:the:21	0:tree:22	0:above:23	0:their:24	0:heads:25	60:jo:26	0:climbed:27	0:up:28	0:to:29	0:see:30	0:what:31	0:the:32	0:noise:33	0:was:34	0:and:35	0:found:36	0:two:37	0:baby:38	0:squirrels:39	56:the:40	0:babies:41	0:were:42	0:alone:43	35:but:44	0:their:45	0:mother:46	0:must:47	0:be:48	0:somewhere:49	0:near:50	54:the:51	0:children:52	0:watched:53	0:and:54	0:waited:55	80:sure:56	0:enough:57	11:the:58	0:mother:59	3:soon:60	0:returned:61	0:with:62	0:a:63	0:mouthful:64	0:of:65	0:nuts:66	73:the:67	0:noises:68	0:stopped:69	0:as:70	0:the:71	0:baby:72	0:squirrels:73	0:began:74	0:to:75	0:eat:76	106:sam:77	0:and:78	0:jo:79	0:smiled:80	5:knowing:81	0:the:82	0:squirrels:83	0:were:84	0:safe:85	0:with:86	0:their:87	0:mother:88"
54340,818811,"100:sam:0	0:and:1	0:jo:2	0:went:3	0:for:4	0:a:5	0:hike:6	47:they:7	0:took:8	0:a:9	0:path:10	0:through:11	0:the:12	0:woods:13	49:suddenly:14	7:sam:15	0:heard:16	0:a:17	0:noise:18	3:coming:19	0:from:20	0:the:21	0:tree:22	3:above:23	0:their:24	0:heads:25	63:jo:26	0:climbed:27	0:up:28	0:to:29	0:see:30	0:what:31	0:the:32	0:noise:33	0:was:34	14:and:35	0:found:36	0:two:37	0:baby:38	0:squirrels:39	66:the:40	0:babies:41	0:were:42	0:alone:43	22:but:44	0:their:45	0:mother:46	0:must:47	0:be:48	0:somewhere:49	0:near:50	62:the:51	0:children:52	3:watched:53	0:and:54	0:waited:55	77:sure:56	0:enough:57	7:the:58	3:mother:59	0:soon:60	0:returned:61	0:with:62	0:a:63	0:mouthful:64	3:of:65	0:nuts:66	57:the:67	0:noises:68	0:stopped:69	6:as:70	0:the:71	0:baby:72	0:squirrels:73	0:began:74	0:to:75	0:eat:76	67:sam:77	0:and:78	0:jo:79	0:smiled:80	20:knowing:81	0:the:82	0:squirrels:83	0:were:84	0:safe:85	3:with:86	0:their:87	0:mother:88"
54342,818817,"1664:sam:0	0:and:1	0:jo:2	0:went:3	0:for:4	0:a:5	0:hike:6	59:they:7	0:took:8	0:a:9	0:path:10	0:through:11	0:the:12	0:woods:13	57:suddenly:14	29:sam:15	0:heard:16	0:a:17	0:noise:18	0:coming:19	0:from:20	0:the:21	0:tree:22	0:above:23	0:their:24	0:heads:25	75:jo:26	0:climbed:27	0:up:28	0:to:29	0:see:30	0:what:31	0:the:32	0:noise:33	0:was:34	18:and:35	0:found:36	0:two:37	0:baby:38	0:squirrels:39	92:the:40	0:babies:41	0:were:42	0:alone:43	29:but:44	0:their:45	0:mother:46	0:must:47	0:be:48	0:somewhere:49	0:near:50	60:the:51	0:children:52	0:watched:53	3:and:54	0:waited:55	90:sure:56	0:enough:57	36:the:58	0:mother:59	0:soon:60	0:returned:61	7:with:62	0:a:63	0:mouthful:64	0:of:65	0:nuts:66	89:the:67	0:noises:68	0:stopped:69	27:as:70	0:the:71	0:baby:72	0:squirrels:73	0:began:74	0:to:75	3:eat:76	82:sam:77	0:and:78	0:jo:79	0:smiled:80	42:knowing:81	0:the:82	0:squirrels:83	3:were:84	0:safe:85	0:with:86	0:their:87	0:mother:88"
54344,818823,"75:sam:0	0:and:1	0:jo:2	0:went:3	0:for:4	0:a:5	0:hike:6	52:they:7	0:took:8	0:a:9	0:path:10	0:through:11	0:the:12	0:woods:13	57:suddenly:14	33:sam:15	0:heard:16	0:a:17	0:noise:18	0:coming:19	0:from:20	0:the:21	0:tree:22	0:above:23	0:their:24	0:heads:25	66:jo:26	0:climbed:27	0:up:28	4:to:29	0:see:30	0:what:31	0:the:32	0:noise:33	0:was:34	33:and:35	0:found:36	0:two:37	0:baby:38	0:squirrels:39	71:the:40	0:babies:41	0:were:42	0:alone:43	33:but:44	0:their:45	0:mother:46	0:must:47	0:be:48	0:somewhere:49	0:near:50	49:the:51	0:children:52	0:watched:53	5:and:54	0:waited:55	98:sure:56	0:enough:57	38:the:58	0:mother:59	0:soon:60	0:returned:61	14:with:62	0:a:63	0:mouthful:64	0:of:65	0:nuts:66	70:the:67	0:noises:68	0:stopped:69	24:as:70	0:the:71	0:baby:72	0:squirrels:73	0:began:74	0:to:75	3:eat:76	85:sam:77	0:and:78	0:jo:79	0:smiled:80	32:knowing:81	0:the:82	0:squirrels:83	0:were:84	0:safe:85	0:with:86	0:their:87	0:mother:88"
54345,818826,"340:sam:0	0:and:1	0:jo:2	0:went:3	0:for:4	0:a:5	0:hike:6	39:they:7	0:took:8	0:a:9	0:path:10	0:through:11	0:the:12	0:woods:13	56:suddenly:14	25:sam:15	0:heard:16	0:a:17	0:noise:18	0:coming:19	0:from:20	0:the:21	0:tree:22	3:above:23	0:their:24	0:heads:25	78:jo:26	0:climbed:27	0:up:28	0:to:29	0:see:30	0:what:31	0:the:32	0:noise:33	0:was:34	9:and:35	0:found:36	0:two:37	3:baby:38	0:squirrels:39	91:the:40	0:babies:41	0:were:42	0:alone:43	32:but:44	0:their:45	0:mother:46	0:must:47	0:be:48	0:somewhere:49	0:near:50	51:the:51	0:children:52	0:watched:53	15:and:54	0:waited:55	84:sure:56	0:enough:57	29:the:58	0:mother:59	0:soon:60	0:returned:61	0:with:62	0:a:63	0:mouthful:64	0:of:65	0:nuts:66	82:the:67	0:noises:68	0:stopped:69	0:as:70	0:the:71	0:baby:72	0:squirrels:73	0:began:74	0:to:75	7:eat:76	82:sam:77	0:and:78	0:jo:79	0:smiled:80	26:knowing:81	45:the:82	0:squirrels:83	0:were:84	0:safe:85	8:with:86	0:their:87	0:mother:88"
54346,818829,"837:sam:0	0:and:1	0:jo:2	0:went:3	0:for:4	0:a:5	0:hike:6	38:they:7	0:took:8	0:a:9	0:path:10	0:through:11	0:the:12	0:woods:13	28:suddenly:14	0:sam:15	0:heard:16	0:a:17	0:noise:18	0:coming:19	0:from:20	0:the:21	0:tree:22	0:above:23	0:their:24	0:heads:25	42:jo:26	0:climbed:27	0:up:28	0:to:29	0:see:30	0:what:31	0:the:32	0:noise:33	0:was:34	0:and:35	0:found:36	0:two:37	0:baby:38	0:squirrels:39	39:the:40	0:babies:41	0:were:42	0:alone:43	0:but:44	0:their:45	0:mother:46	0:must:47	0:be:48	0:somewhere:49	0:near:50	42:the:51	0:children:52	0:watched:53	0:and:54	0:waited:55	51:sure:56	0:enough:57	0:the:58	0:mother:59	0:soon:60	0:returned:61	0:with:62	0:a:63	0:mouthful:64	0:of:65	0:nuts:66	32:the:67	0:noises:68	0:stopped:69	0:as:70	0:the:71	0:baby:72	0:squirrels:73	0:began:74	0:to:75	0:eat:76	44:sam:77	0:and:78	0:jo:79	0:smiled:80	3:knowing:81	0:the:82	0:squirrels:83	0:were:84	0:safe:85	0:with:86	0:their:87	0:mother:88"
54348,818836,"1827:sam:0	0:and:1	0:jo:2	0:went:3	0:for:4	0:a:5	0:hike:6	28:they:7	0:took:8	0:a:9	0:path:10	0:through:11	0:the:12	0:woods:13	26:suddenly:14	0:sam:15	0:heard:16	0:a:17	0:noise:18	0:coming:19	0:from:20	0:the:21	0:tree:22	0:above:23	0:their:24	0:heads:25	48:jo:26	0:climbed:27	0:up:28	0:to:29	0:see:30	0:what:31	0:the:32	0:noise:33	0:was:34	0:and:35	0:found:36	0:two:37	0:baby:38	0:squirrels:39	39:the:40	0:babies:41	0:were:42	0:alone:43	23:but:44	0:their:45	0:mother:46	0:must:47	0:be:48	0:somewhere:49	0:near:50	51:the:51	0:children:52	0:watched:53	0:and:54	0:waited:55	38:sure:56	0:enough:57	4:the:58	0:mother:59	0:soon:60	0:returned:61	0:with:62	0:a:63	0:mouthful:64	0:of:65	0:nuts:66	40:the:67	0:noises:68	0:stopped:69	0:as:70	0:the:71	0:baby:72	0:squirrels:73	0:began:74	0:to:75	0:eat:76	36:sam:77	0:and:78	0:jo:79	0:smiled:80	0:knowing:81	0:the:82	0:squirrels:83	0:were:84	0:safe:85	0:with:86	0:their:87	0:mother:88"
54350,818857,"1036:sam:0	0:and:1	0:jo:2	3:went:3	0:for:4	0:a:5	0:hike:6	59:they:7	0:took:8	0:a:9	0:path:10	0:through:11	0:the:12	0:woods:13	44:suddenly:14	4:sam:15	3:heard:16	0:a:17	0:noise:18	0:coming:19	0:from:20	0:the:21	0:tree:22	0:above:23	0:their:24	0:heads:25	119:jo:26	0:climbed:27	0:up:28	0:to:29	0:see:30	0:what:31	0:the:32	0:noise:33	0:was:34	7:and:35	0:found:36	0:two:37	3:baby:38	0:squirrels:39	83:the:40	0:babies:41	0:were:42	0:alone:43	20:but:44	0:their:45	0:mother:46	9:must:47	0:be:48	0:somewhere:49	0:near:50	78:the:51	0:children:52	0:watched:53	5:and:54	0:waited:55	51:sure:56	0:enough:57	25:the:58	0:mother:59	0:soon:60	0:returned:61	47:with:62	0:a:63	0:mouthful:64	0:of:65	0:nuts:66	45:the:67	0:noises:68	0:stopped:69	12:as:70	0:the:71	0:baby:72	0:squirrels:73	0:began:74	0:to:75	0:eat:76	99:sam:77	0:and:78	0:jo:79	0:smiled:80	58:knowing:81	8:the:82	0:squirrels:83	0:were:84	0:safe:85	0:with:86	0:their:87	0:mother:88"
