Form	Type	Item	PASSAGE Text	Rec String
Moby:V1_Grade1Fall	3026	1401	"Jeff the duck is lost.  $Where is his pond? $$ He walks to a rock.  $""This is not my pond."" $$He walks to a tree.  $""This is not my pond."" $$He walks to a tub.   $""But I can swim here.""#1#1.35#1#7.52"	jeff the duck is lost where is his pond he walks to a rock this is not my pond he walks to a tree this is not my pond he walks to a tub but i can swim here
Moby:V1_Grade1Fall	3026	1603	Sounds are all around us.  Sounds can be loud. Sounds can be soft.  Our ears catch the sounds. $$In the city we can hear the loud sound of trucks.  In the city we can hear the soft sound of bikes. $$In the park we can hear the loud sound of dogs barking.  In the park we can hear the soft sound of birds singing.  We can also hear the ice cream truck!#1#1.35#1#0.535	sounds are all around us sounds can be loud sounds can be soft our ears catch the sounds in the city we can hear the loud sound of trucks in the city we can hear the soft sound of bikes in the park we can hear the loud sound of dogs barking in the park we can hear the soft sound of birds singing we can also hear the ice cream truck
Moby:V1_Grade1Fall	3026	1903	"A rooster was out in the yard. He wanted some corn to eat. $$On the ground, he saw something yellow and bright. It was hard and round. The rooster ran to get it. He did not want to share it. $$He pecked at it. It wasn't corn. It was a small piece of gold! $$""I wish it were corn,"" said the rooster, ""so I could eat it. This yellow rock is not as tasty as corn.""#1#1.35#1#7.52"	a rooster was out in the yard he wanted some corn to eat on the ground he saw something yellow and bright it was hard and round the rooster ran to get it he did not want to share it he pecked at it it wasn't corn it was a small piece of gold i wish it were corn said the rooster so i could eat it this yellow rock is not as tasty as corn
Moby:V1_Grade1Spring	3026	1505	"Rocky barks at trucks.  $$Every day Rocky barks at the mail truck.  Here comes the garbage truck, and Rocky barks.  When Rocky hears a fire truck, he barks.  $$Why does he bark so much?  $$When he barks, the trucks go away.  $Woof!  Woof!  Woof!  $$It works!  The trucks go away.  Good job, Rocky!  Now he can rest.#1#1.35#1#0.535"	rocky barks at trucks every day rocky barks at the mail truck here comes the garbage truck and rocky barks when rocky hears a fire truck he barks why does he bark so much when he barks the trucks go away woof woof woof it works the trucks go away good job rocky now he can rest 
Moby:V1_Grade1Spring	3026	1804	"I pushed the clay.  I looked around the classroom.  Soon it would be my time to share.  $$I turned back to my clay and began to push again.  With a small ball of clay, I made a head.  A bigger ball turned into a body.  I rolled some clay on the desk to make legs.  $$Then I put my bug together and I was ready to show the class.#1#1.35#1#7.52"	i pushed the clay i looked around the classroom soon it would be my time to share i turned back to my clay and began to push again with a small ball of clay i made a head a bigger ball turned into a body i rolled some clay on the desk to make legs then i put my bug together and i was ready to show the class
Moby:V1_Grade1Spring	3026	1807	"The tide goes out. Little pools of water are left behind. These are called tide pools. We can see what it's like under the sea. $$In the pools, you can find plants and small animals. Some animals swim. Others hide under rocks and plants. There is a lot of life in the pool. $$When the tide comes back in, the sea covers the pools, and some of the animals can swim away.#1#1.35#1#0.535"	the tide goes out little pools of water are left behind these are called tide pools we can see what it's like under the sea in the pools you can find plants and small animals some animals swim others hide under rocks and plants there is a lot of life in the pool when the tide comes back in the sea covers the pools and some of the animals can swim away
Moby:V1_Grade1Winter	3026	1502	"A cat takes a nap.  A dog can nap and so can you.  But does a fish nap?  $$A fish does not have a bed.  It cannot shut its eyes.  $$When a fish takes a nap, it keeps its eyes open.  $$A fish swims when it sleeps!  $$Some fish hide when they sleep.  A fish naps then it looks for food.#1#1.35#1#7.52"	a cat takes a nap a dog can nap and so can you but does a fish nap a fish does not have a bed it cannot shut its eyes when a fish takes a nap it keeps its eyes open a fish swims when it sleeps some fish hide when they sleep after a fish naps it looks for food
Moby:V1_Grade1Winter	3026	1703	"Summer is here!  Pat and Danny want to walk to the beach.  $$""Don't forget to pack a snack!"" calls Mom.  Danny packs some snacks.  $$""Don't forget to pack your hats!"" Pat packs the hats.  $$""Don't forget to pack your umbrella!"" ""An umbrella?  But it is sunny,"" says Danny.  $$Mom opens the door.  ""Oh, no!"" says Pat.  ""It is raining!"" ""Let's walk in the rain with our umbrellas!""#1#1.35#1#7.52"	summer is here pat and danny want to walk to the beach don't forget to pack a snack calls mom danny packs some snacks don't forget to pack your hats pat packs the hats don't forget to pack your umbrella an umbrella but it is sunny says danny mom opens the door oh no says pat it is raining let's walk in the rain with our umbrellas
Moby:V1_Grade1Winter	3026	2001	It is a windy day. Jeff wants to fly his new kite. It is red and yellow and has a long tail. $$His father gave him the kite for his birthday. He goes out to the field. He runs fast and lets go of the kite. It starts to fly. $$He lets out more string and the kite flies very high. Jeff stops running and watches the kite dance high in the sky.#1#1.35#1#0.535	it is a windy day jeff wants to fly his new kite it is red and yellow and has a long tail his father gave him the kite for his birthday he goes out to the field he runs fast and lets go of the kite it starts to fly he lets out more string and the kite flies very high jeff stops running and watches the kite dance high in the sky
Moby:V1_Grade2Fall	3026	350	"Do you see a face on the moon? Lots of people see something. The man on the moon is what we see in America. In Japan, people see a rabbit on the moon. People in other cultures see a goddess, or a boy picking up sticks.$$The shape on the moon is made out of shadows. The moon is covered in rocks. The shadows made by those moon rocks can look like a face, or a rabbit, or a boy.#1#1.35#1#7.52"	do you see a face on the moon lots of people see something the man on the moon is what we see in america in japan people see a rabbit on the moon people in other cultures see a goddess or a boy picking up sticks the shapes on the moon are made out of shadows the moon is covered in rocks the shadows made by those moon rocks can look like a face or a rabbit or a boy
