Session,Response,Type,Item,WCPM,Accuracy,Prosody,Retell,SAQ1,SAQ2
13107,261315,3026,2803,81.4,0.975,3.6,1.4815,0,0
13107,261319,3026,2902,70.1,1,3.4,1.955,0,0
13107,261323,3026,3106,72,0.487,3.2,1.641,0,2
13111,261389,3026,2803,74.4,0.884,3.4,2.6215,0,2
13111,261393,3026,2902,71.3,0.966,3.1,2.445,0,0
13111,261397,3026,3106,76.1,0.966,3.4,1.923,0,1
13112,261408,3026,2803,70.4,0.975,3.4,2.0885,0,0
13112,261413,3026,2902,57.9,0.914,3.4,2.2365,1,2
13112,261418,3026,3106,47.4,0.607,3,1.9225,2,0
13113,261428,3026,2803,57.4,0.636,3.2,2.127,0,0
13113,261432,3026,2902,52,0.853,3,2.0385,0,0
13113,261436,3026,3106,63.6,0.735,3.1,1.157,0,2
13116,261486,3026,2803,67,0.868,2.9,2.3225,2,0
13116,261490,3026,2902,60.6,0.948,3.1,3.18,1,0
13116,261494,3026,3106,45.4,0.487,2.8,2.645,0,2
13956,288782,3026,1401,47.5,0.974,2.9,3.8915,0,2
13956,288786,3026,1603,32,0.278,2.2,1.668,2,0
13956,288790,3026,1903,38.9,0.724,2.5,2.314,0,2
13961,288889,3026,1401,38,0.923,2.9,3.0705,2,2
13961,288893,3026,1603,42.2,0.861,2.9,2.7165,0,2
13961,288897,3026,1903,45.8,0.895,2.8,3.2755,2,2
16375,316967,3026,1903,36.3,0.671,1.4,2.4215,2,2
16375,316971,3026,1603,31.4,0.653,1.2,3.0525,0,2
16375,316975,3026,1401,44.9,1,1.3,4,2,2
16412,317562,3026,2403,41.4,0.671,1.9,1.8395,2,0
16412,317566,3026,420,54.4,0.854,2,1.085,0,0
16412,317570,3026,2701,51.1,0.863,1.9,2.0705,0,0
16585,320316,3026,2403,43.4,0.81,2,0.2505,2,0
16585,320320,3026,420,45.6,0.697,1.6,1.3055,0,0
16585,320324,3026,2701,44.1,0.761,1.6,0,2,0
16795,323615,3026,2203,30,0.443,1.3,1.7525,2,2
16795,323619,3026,350,35.8,0.637,1.5,2.695,2,0
16795,323623,3026,2401,50.4,0.938,1.9,3.3185,2,2
16806,323779,3026,2203,34.9,0.591,1.4,1.948,0,0
16806,323783,3026,350,37.8,0.7,1.3,0.0285,2,0
16806,323787,3026,2401,34,0.63,1.5,0.9895,2,2
16817,323953,3026,2203,57.4,0.955,1.9,3.1665,2,2
16817,323957,3026,350,70.1,0.963,2,2.923,2,2
16817,323961,3026,2401,59.2,0.988,2.2,3.125,2,2
16836,324257,3026,2403,45.7,0.81,1.9,1.1745,2,0
16836,324261,3026,420,41.2,0.64,2.3,1.272,1,0
16836,324265,3026,2701,28.4,0.453,2.2,1.22,0,0
16970,326396,3026,2203,34.4,0.557,1.9,0,2,0
16970,326400,3026,350,62.8,1,1.9,3.108,2,2
16970,326404,3026,2401,44,0.802,1.9,3.202,2,2
17230,330578,3026,2203,24.8,0.398,1.4,2.794,0,0
17230,330582,3026,350,31.7,0.512,1.2,2.757,2,0
17230,330586,3026,2401,33.5,0.543,1.5,3.362,2,0
17624,336751,3026,2403,54.4,0.911,2.1,1.6675,2,0
17624,336755,3026,420,53.9,0.685,2,0,0,
17624,336759,3026,2701,33.7,0.564,1.6,1.4615,0,0
17627,336799,3026,1703,24.8,0.463,1.4,2.3735,2,0
17627,336803,3026,1502,22.5,0.508,1.1,2.7145,2,0
17627,336807,3026,2001,17.9,0.356,1.3,2.8145,0,2
17630,336847,3026,2403,44.3,0.81,2.2,2.1365,2,0
17630,336851,3026,420,58.5,0.888,2.1,1.8615,0,0
17630,336855,3026,2701,41.9,0.718,2,1.4045,0,2
17674,337550,3026,2403,48.2,0.772,1.7,2.4035,0,0
17674,337554,3026,420,48.9,0.831,1.5,1.533,0,2
17674,337558,3026,2701,47.6,0.812,1.7,1.0855,2,0
17687,337758,3026,1903,28.3,0.553,1.3,2.2285,0,2
17687,337762,3026,1603,31.8,0.639,1.4,2.5025,0,0
17687,337766,3026,1401,41.8,0.923,1.4,2.7805,0,2
17786,339244,3026,2403,35.5,0.418,1.6,1.5545,0,2
17786,339248,3026,420,57.5,0.753,2.4,1.4705,0,0
17786,339252,3026,2701,49.5,0.863,1.9,1.224,2,0
17793,339351,3026,1903,26.8,0.526,1.2,2.501,0,1
17793,339355,3026,1603,44.5,0.889,1.5,3.2815,2,2
17793,339359,3026,1401,59,1,1.8,4,2,2
17822,339795,3026,1903,52.2,0.632,1.7,1.4115,2,0
17822,339799,3026,1603,87.7,0.889,2.1,2.041,2,0
17822,339803,3026,1401,46.3,0.59,1.4,0.413,2,2
19777,352790,3026,1903,51.4,0.539,1.8,1.6045,0,0
19777,352794,3026,1603,50.2,0.681,1.5,3.079,0,0
19777,352798,3026,1401,72.8,0.513,1.6,0.524,0,2
19791,353015,3026,2203,26.1,0.443,1.4,2.0395,0,0
19791,353019,3026,350,37.4,0.713,1.5,3.324,2,2
19791,353023,3026,2401,30.7,0.568,1.4,2.308,2,0
19982,355862,3026,2203,31.2,0.466,1.4,1.109,2,0
19982,355866,3026,350,37.8,0.575,1.4,1.9315,2,2
19982,355870,3026,2401,43.6,0.556,1.7,2.402,2,0
20030,356627,3026,2403,44,0.494,1.7,1.9595,1,0
20030,356631,3026,420,38,0.472,1.6,1.538,0,2
20030,356635,3026,2701,34,0.513,1.6,0,2,0
20059,357091,3026,2203,38.9,0.659,1.6,1.56,0,0
20059,357095,3026,350,53.8,0.738,1.8,1.9485,2,0
20059,357099,3026,2401,52.2,0.778,2.3,2.244,0,2
20183,358775,3026,2203,56.3,0.818,2.2,3.202,2,0
20183,358779,3026,350,81.5,0.988,2.3,3.5675,2,0
20183,358783,3026,2401,57.3,0.815,2.6,3.669,0,2
20217,359252,3026,2203,39,0.625,1.8,1.3975,2,0
20217,359256,3026,350,50.3,0.912,1.7,0.707,2,2
20217,359260,3026,2401,42.4,0.741,1.7,2.127,0,0
20221,359316,3026,2403,55.3,0.684,1.8,1.8825,2,2
20221,359320,3026,420,49.5,0.831,1.7,1.632,1,2
20221,359324,3026,2701,43.8,0.761,1.8,1.8065,0,0
20244,359670,3026,2203,61.3,0.932,1.9,2.8065,0,2
20244,359674,3026,350,56.4,0.988,1.6,2.405,2,0
20244,359678,3026,2401,45.2,0.716,1.6,3.2005,2,2
20523,363947,3026,1903,17.6,0.303,1.2,1.6395,2,1
20523,363951,3026,1603,30.3,0.486,1.3,2.208,0,0
20523,363955,3026,1401,44.2,0.949,1.5,3.1625,2,0
20626,365351,3026,1903,19.1,0.342,1.4,0.8795,0,2
20626,365355,3026,1603,27,0.556,1.3,2.4155,0,0
20626,365359,3026,1401,49.2,0.769,1.5,0.723,2,0
20932,369303,3026,2403,58.3,0.911,2.1,1.257,0,2
20932,369307,3026,420,59.1,0.64,2.3,0.7935,2,0
20932,369311,3026,2701,60.6,0.932,2.3,1.2805,2,2
21004,369942,3026,1903,20.2,0.329,1.3,3.3075,2,1
21004,369946,3026,1603,36.3,0.681,1.4,3.722,2,0
21004,369950,3026,1401,42.4,1,1.4,4,2,2
22001,379402,3026,2203,57.5,0.693,2.6,2.27,2,0
22001,379406,3026,350,62,0.875,2.3,1.949,0,2
22001,379410,3026,2401,43.4,0.741,1.9,2.44,2,2
22532,389370,3026,2403,37.7,0.658,1.5,2.0375,2,2
22532,389374,3026,420,34.5,0.449,1.3,2.062,2,0
22532,389378,3026,2701,44.6,0.701,1.7,2.6235,0,2
22681,392247,3026,2403,47.6,0.759,1.8,2.8905,2,0
22681,392251,3026,420,47.2,0.798,1.9,2.283,1,0
22681,392255,3026,2701,61.2,0.872,2.1,3.0935,2,0
22799,394290,3026,1903,37.8,0.434,1.5,2.0255,2,0
22799,394294,3026,1603,33.2,0.347,1.4,2.493,1,0
22799,394298,3026,1401,78.5,0.59,1.7,2.438,2,2
23102,399267,3026,310,62.6,0.253,1.9,1.623,2,0
23102,399271,3026,2102,44.1,0.627,1.6,1.9925,0,2
23102,399276,3026,2302,47.7,0.854,1.7,1.9095,0,0
23115,399485,3026,2403,78.8,0.873,2.3,1.949,0,0
23115,399489,3026,420,52.3,0.685,1.6,1.344,1,0
23115,399493,3026,2701,57,0.897,1.9,1.316,2,2
23134,399779,3026,2403,51.7,0.861,2.1,4,0,2
23134,399783,3026,420,55.5,0.787,2.2,1.9875,2,2
23134,399787,3026,2701,51,0.838,1.9,2.262,0,2
23145,399957,3026,1903,57,1,2.2,3.4885,2,1
23145,399961,3026,1603,45.8,0.25,1.9,3.025,0,0
23145,399965,3026,1401,51.2,0.949,2.2,0,0,2
24021,421380,3026,2101,80.3,0.986,2.5,2.2745,2,2
24021,421384,3026,2504,86.6,0.987,2.9,2.838,2,0
24021,421388,3026,410,90.1,1,2.6,2.784,2,2
24070,422200,3026,2101,98.7,1,3.1,3.0335,2,2
24070,422204,3026,2504,111.2,1,3.7,3.05,2,0
24070,422208,3026,410,93.4,1,2.9,1.3525,2,0
24075,422277,3026,2101,76.6,1,3,1.044,0,2
24075,422281,3026,2504,109.1,1,3.4,2.78,2,0
24075,422285,3026,410,78.5,0.943,2.7,2.2745,0,2
24174,423919,3026,3106,41.3,0.376,1.5,1.0505,0,0
24174,423923,3026,2902,85.8,0.819,2.5,0.988,1,0
24174,423927,3026,2803,66.9,0.653,2.2,2.231,2,0
24188,424185,3026,2101,61.6,0.986,1.9,2.485,2,2
24188,424189,3026,2504,60.3,0.96,2.1,2.8595,2,2
24188,424193,3026,410,75,0.986,2.3,2.7875,2,2
24191,424239,3026,3106,63.6,0.966,2.3,1.8565,2,1
24191,424243,3026,2902,71.7,0.966,2.2,1.449,2,0
24191,424247,3026,2803,80.9,0.992,2.6,2.568,1,0
24221,424752,3026,1703,43.3,0.701,1.8,2.512,0,2
24221,424756,3026,1502,33.5,0.443,1.2,1.6005,2,0
24221,424760,3026,2001,45.3,0.767,1.7,1.8185,2,2
24238,425051,3026,310,33.6,0.563,1.5,1.0525,2,0
24238,425055,3026,2102,41,0.8,1.6,0.585,0,2
24238,425059,3026,2302,51.9,0.902,1.6,2.1485,2,2
24249,425259,3026,310,41.5,0.517,1.6,1.653,2,0
24249,425263,3026,2102,42.5,0.693,1.5,1.706,2,0
24249,425267,3026,2302,41.5,0.622,1.6,1.1515,2,0
24259,425433,3026,2101,84.6,0.986,2.8,4,2,2
24259,425437,3026,2504,73.1,0.96,2.4,4,2,0
24259,425441,3026,410,90,1,2.8,4,2,2
24296,426120,3026,1703,22.6,0.418,1.2,2.411,0,0
24296,426125,3026,1502,39,0.902,1.3,1.9365,2,2
24296,426129,3026,2001,49.7,1,1.6,2.156,2,2
24392,428035,3026,310,38.3,0.632,1.4,1.846,2,0
24392,428039,3026,2102,27.8,0.547,1.3,1.906,0,0
24392,428043,3026,2302,34.1,0.585,1.3,1.5405,2,0
24416,428458,3026,310,35.5,0.586,1.8,1.6425,2,0
24416,428462,3026,2102,42.1,0.8,1.6,1.2645,2,0
24416,428466,3026,2302,37.8,0.646,1.6,1.638,2,0
