Response,WCPM,Acc,Comp,Exp,level,WCPM_response,Comp_response,Exp_response,undetermined,1_or_2,2_unanimous,2_or_3,3_unanimous,best_pitch_slope_score_lower_constituents_with_pauses,best_pitch_slope_score_lower_constituents_no_pauses,best_pitch_slope_score_middle_constituents_with_pauses,best_pitch_slope_score_middle_constituents_no_pauses,best_pitch_slope_score_higher_constituents_with_pauses,best_pitch_slope_score_higher_constituents_no_pauses,best_duration_score_lower_constituents_with_pauses,best_duration_score_lower_constituents_no_pauses,best_duration_score_middle_constituents_with_pauses,best_duration_score_middle_constituents_no_pauses,best_duration_score_higher_constituents_with_pauses,best_duration_score_higher_constituents_no_pauses
544687,99.0,0.989,6.5,2.8,12,77.8,7.5,2.9,0,0,0,1,0,0.5790669596080571,0.2519624667718696,0.631845009012144,0.5910627103604568,0.6307606274234393,0.46238036460243376,0.1956118896732048,0.3950644991199565,0.17081924310014293,0.34450879070348084,0.16618829680596223,0.3597947223266782
544687,99.0,0.989,6.5,2.8,12,77.8,7.5,2.9,0,0,0,1,0,0.5790669596080571,0.2519624667718696,0.631845009012144,0.5910627103604568,0.6307606274234393,0.46238036460243376,0.1956118896732048,0.3950644991199565,0.17081924310014293,0.34450879070348084,0.16618829680596223,0.3597947223266782
544687,99.0,0.989,6.5,2.8,12,77.8,7.5,2.9,0,0,0,1,0,0.5790669596080571,0.2519624667718696,0.631845009012144,0.5910627103604568,0.6307606274234393,0.46238036460243376,0.1956118896732048,0.3950644991199565,0.17081924310014293,0.34450879070348084,0.16618829680596223,0.3597947223266782
544687,99.0,0.989,6.5,2.8,12,77.8,7.5,2.9,0,0,0,1,0,0.5790669596080571,0.2519624667718696,0.631845009012144,0.5910627103604568,0.6307606274234393,0.46238036460243376,0.1956118896732048,0.3950644991199565,0.17081924310014293,0.34450879070348084,0.16618829680596223,0.3597947223266782
544687,99.0,0.989,6.5,2.8,12,77.8,7.5,2.9,0,0,0,1,0,0.5790669596080571,0.2519624667718696,0.631845009012144,0.5910627103604568,0.6307606274234393,0.46238036460243376,0.1956118896732048,0.3950644991199565,0.17081924310014293,0.34450879070348084,0.16618829680596223,0.3597947223266782
544687,99.0,0.989,6.5,2.8,12,77.8,7.5,2.9,0,0,0,1,0,0.5790669596080571,0.2519624667718696,0.631845009012144,0.5910627103604568,0.6307606274234393,0.46238036460243376,0.1956118896732048,0.3950644991199565,0.17081924310014293,0.34450879070348084,0.16618829680596223,0.3597947223266782
544691,99.0,0.989,6.5,2.8,12,99.4,5.7,2.8,0,0,0,0,1,0.341738941063661,0.0,0.3919050555451028,0.5024784228452853,0.37309348893503463,0.3984086098498819,0.5258937493393792,0.5592268105091874,0.5572849813859364,0.5768647198613578,0.5115273682808954,0.6467630553037385
544691,99.0,0.989,6.5,2.8,12,99.4,5.7,2.8,0,0,0,0,1,0.341738941063661,0.0,0.3919050555451028,0.5024784228452853,0.37309348893503463,0.3984086098498819,0.5258937493393792,0.5592268105091874,0.5572849813859364,0.5768647198613578,0.5115273682808954,0.6467630553037385
544691,99.0,0.989,6.5,2.8,12,99.4,5.7,2.8,0,0,0,0,1,0.341738941063661,0.0,0.3919050555451028,0.5024784228452853,0.37309348893503463,0.3984086098498819,0.5258937493393792,0.5592268105091874,0.5572849813859364,0.5768647198613578,0.5115273682808954,0.6467630553037385
544695,99.0,0.989,6.5,2.8,12,126.1,6.3,3.0,0,0,0,0,1,0.0,0.0,0.4497604549354586,0.410549771800796,0.4654650322704476,0.662280666532499,0.23686242523844683,0.44477652871604795,0.20482945902541266,0.42047827717283076,0.20487071949166813,0.544280477030975
544695,99.0,0.989,6.5,2.8,12,126.1,6.3,3.0,0,0,0,0,1,0.0,0.0,0.4497604549354586,0.410549771800796,0.4654650322704476,0.662280666532499,0.23686242523844683,0.44477652871604795,0.20482945902541266,0.42047827717283076,0.20487071949166813,0.544280477030975
544695,99.0,0.989,6.5,2.8,12,126.1,6.3,3.0,0,0,0,0,1,0.0,0.0,0.4497604549354586,0.410549771800796,0.4654650322704476,0.662280666532499,0.23686242523844683,0.44477652871604795,0.20482945902541266,0.42047827717283076,0.20487071949166813,0.544280477030975
544806,45.0,0.813,3.8,1.6,7,47.1,1.5,1.5,0,0,1,0,0,0.29174262512694116,0.0,0.3257843039661991,0.0,0.3046574336479932,0.0,0.16370841925111196,0.0,0.13752626991918537,0.0,0.14783071786570845,0.0
544806,45.0,0.813,3.8,1.6,7,47.1,1.5,1.5,0,0,1,0,0,0.29174262512694116,0.0,0.3257843039661991,0.0,0.3046574336479932,0.0,0.16370841925111196,0.0,0.13752626991918537,0.0,0.14783071786570845,0.0
544806,45.0,0.813,3.8,1.6,7,47.1,1.5,1.5,0,0,1,0,0,0.29174262512694116,0.0,0.3257843039661991,0.0,0.3046574336479932,0.0,0.16370841925111196,0.0,0.13752626991918537,0.0,0.14783071786570845,0.0
544806,45.0,0.813,3.8,1.6,7,47.1,1.5,1.5,0,0,1,0,0,0.29174262512694116,0.0,0.3257843039661991,0.0,0.3046574336479932,0.0,0.16370841925111196,0.0,0.13752626991918537,0.0,0.14783071786570845,0.0
544806,45.0,0.813,3.8,1.6,7,47.1,1.5,1.5,0,0,1,0,0,0.29174262512694116,0.0,0.3257843039661991,0.0,0.3046574336479932,0.0,0.16370841925111196,0.0,0.13752626991918537,0.0,0.14783071786570845,0.0
544810,45.0,0.813,3.8,1.6,7,55.3,5.5,1.8,0,0,1,0,0,0.44091608136224125,0.0,0.4560215336365359,0.0,0.4177372773731045,0.0,0.9208071652428218,0.0,0.924489548147034,0.0,0.913720298896503,0.0
544810,45.0,0.813,3.8,1.6,7,55.3,5.5,1.8,0,0,1,0,0,0.44091608136224125,0.0,0.4560215336365359,0.0,0.4177372773731045,0.0,0.9208071652428218,0.0,0.924489548147034,0.0,0.913720298896503,0.0
553406,63.0,1.0,3.1,2.2,9,55.5,4.0,1.7,0,0,0,0,1,0.3297292801386573,0.0,0.33998830000536295,0.4438872002558595,0.3233698397403144,0.48561379861658077,0.3158569518125812,0.7236873705421982,0.3877781288701278,0.5674213871938674,0.34632097885531776,0.6373107174369874
553406,63.0,1.0,3.1,2.2,9,55.5,4.0,1.7,0,0,0,0,1,0.3297292801386573,0.0,0.33998830000536295,0.4438872002558595,0.3233698397403144,0.48561379861658077,0.3158569518125812,0.7236873705421982,0.3877781288701278,0.5674213871938674,0.34632097885531776,0.6373107174369874
553406,63.0,1.0,3.1,2.2,9,55.5,4.0,1.7,0,0,0,0,1,0.3297292801386573,0.0,0.33998830000536295,0.4438872002558595,0.3233698397403144,0.48561379861658077,0.3158569518125812,0.7236873705421982,0.3877781288701278,0.5674213871938674,0.34632097885531776,0.6373107174369874
553410,63.0,1.0,3.1,2.2,9,71.6,3.6,1.9,0,0,0,0,1,0.0,0.0,0.48888203764711835,0.3153404693494166,0.40253667584989683,0.37049607700838244,0.4395653192463724,0.0,0.4757042568505305,0.5617732308499446,0.3887639251185347,0.3954947755124963
553410,63.0,1.0,3.1,2.2,9,71.6,3.6,1.9,0,0,0,0,1,0.0,0.0,0.48888203764711835,0.3153404693494166,0.40253667584989683,0.37049607700838244,0.4395653192463724,0.0,0.4757042568505305,0.5617732308499446,0.3887639251185347,0.3954947755124963
553410,63.0,1.0,3.1,2.2,9,71.6,3.6,1.9,0,0,0,0,1,0.0,0.0,0.48888203764711835,0.3153404693494166,0.40253667584989683,0.37049607700838244,0.4395653192463724,0.0,0.4757042568505305,0.5617732308499446,0.3887639251185347,0.3954947755124963
557533,76.0,1.0,6.0,2.9,10,71.9,6.0,2.5,0,0,0,1,0,0.1605197053724456,0.0,0.1422365046281255,0.2264980997389866,0.12687130193064855,0.1829186114457719,0.4899412621292238,0.4957444017231894,0.4925057823760209,0.5020773907951013,0.5050627861423785,0.4238724686607806
557533,76.0,1.0,6.0,2.9,10,71.9,6.0,2.5,0,0,0,1,0,0.1605197053724456,0.0,0.1422365046281255,0.2264980997389866,0.12687130193064855,0.1829186114457719,0.4899412621292238,0.4957444017231894,0.4925057823760209,0.5020773907951013,0.5050627861423785,0.4238724686607806
557533,76.0,1.0,6.0,2.9,10,71.9,6.0,2.5,0,0,0,1,0,0.1605197053724456,0.0,0.1422365046281255,0.2264980997389866,0.12687130193064855,0.1829186114457719,0.4899412621292238,0.4957444017231894,0.4925057823760209,0.5020773907951013,0.5050627861423785,0.4238724686607806
557533,76.0,1.0,6.0,2.9,10,71.9,6.0,2.5,0,0,0,1,0,0.1605197053724456,0.0,0.1422365046281255,0.2264980997389866,0.12687130193064855,0.1829186114457719,0.4899412621292238,0.4957444017231894,0.4925057823760209,0.5020773907951013,0.5050627861423785,0.4238724686607806
557533,76.0,1.0,6.0,2.9,10,71.9,6.0,2.5,0,0,0,1,0,0.1605197053724456,0.0,0.1422365046281255,0.2264980997389866,0.12687130193064855,0.1829186114457719,0.4899412621292238,0.4957444017231894,0.4925057823760209,0.5020773907951013,0.5050627861423785,0.4238724686607806
