Session,catB,catC,catE,catF,catG,catH,catJ,catK,catL,catM,catN,catO,catP,catQ
41664,0.9,0.8,1.0,0.5714285714285714,0.5,0.8,0.25,0.5,0.0,0.5,0.3333333333333333,2.0741666666666667,1.0,0.2258953168044078
47152,1.0,1.0,1.0,0.9428571428571428,1.0,0.8,0.9,1.0,1.0,1.0,0.6666666666666666,3.7475,1.0,0.14110824742268027
32210,0.9,0.7250000000000001,0.5,0.5714285714285714,0.8,0.8,0.65,0.8,0.5,0.8,0.75,2.1109999999999998,1.0,0.8804347826086957
48359,1.0,1.0,1.0,0.8857142857142858,0.8,1.0,0.75,1.0,1.0,1.0,0.8333333333333334,1.713,1.0,0.04185692541856925
52812,0.9,0.8500000000000001,0.8,0.8857142857142858,0.8,1.0,0.8,0.5,0.0,0.5,0.0,2.4193333333333333,1.0,0.6318181818181817
40865,0.65,0.8,1.0,0.2857142857142857,0.5,0.8,0.25,0.0,0.0,0.0,0.25,2.060833333333333,1.0,0.24444444444444444
44867,1.0,1.0,0.8,0.9428571428571428,0.8,1.0,1.0,1.0,0.8,0.8,0.5,0.8384999999999999,1.0,0.5176093916755603
52746,0.9,0.7749999999999999,0.8,0.6571428571428571,0.8,1.0,0.25,0.8,0.0,0.8,0.08333333333333333,2.549166666666667,1.0,0.1402298850574713
51192,0.9,0.8,1.0,0.7142857142857143,0.8,1.0,0.0,0.8,0.0,0.5,0.4166666666666667,2.4495000000000005,1.0,0.6419354838709678
48268,0.0,0.125,0.0,0.2857142857142857,0.0,0.0,0.0,0.5,0.0,0.5,0.4166666666666667,1.2234999999999998,0.8,0.968847352024922
49169,0.9,0.8500000000000001,1.0,0.6571428571428571,0.8,1.0,0.8,0.8,0.5,0.8,0.75,2.971833333333333,1.0,0.21775544388609705
49607,0.5,0.5,0.8,0.5714285714285714,0.0,0.5,0.0,0.5,0.0,0.5,0.4166666666666667,1.3305,1.0,0.6634844868735084
31930,1.0,1.0,0.8,0.5142857142857143,0.8,1.0,0.9,1.0,0.8,0.8,0.3333333333333333,2.6966666666666668,1.0,0.6060606060606061
40964,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,2.1283333333333334,1.0,0.06856023506366309
41105,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.5,1.3215,1.0,0.18823529411764708
48418,1.0,0.8500000000000001,0.5,0.5714285714285714,0.0,0.8,0.8,1.0,0.8,1.0,0.9166666666666666,1.9946666666666664,1.0,0.32508250825082513
38071,0.9,1.0,0.5,0.5142857142857143,0.5,0.8,1.0,1.0,1.0,1.0,0.6666666666666666,3.0215,1.0,0.5110294117647058
46836,1.0,0.95,0.8,0.7999999999999999,1.0,1.0,0.9,0.8,0.8,0.8,0.5,1.2028333333333334,1.0,0.3100616016427105
50031,1.0,1.0,1.0,0.8571428571428571,0.8,0.8,0.9,1.0,0.8,1.0,0.75,3.464833333333333,1.0,0.22166998011928427
30915,0.65,0.25,0.0,0.0,0.0,0.5,0.25,0.8,0.5,1.0,0.5,1.8305,1.0,0.44607843137254893
42279,1.0,1.0,1.0,0.7999999999999999,0.8,1.0,0.8,0.8,0.8,0.8,0.4166666666666667,2.216,1.0,0.4828080229226362
48155,0.9,0.7250000000000001,1.0,0.7142857142857143,0.5,0.8,0.5,0.8,0.5,0.8,0.75,2.2640000000000002,1.0,0.19343696027633844
