Session,gyorB,gyorC,gyorE,gyorF,gyorG,gyorH,gyorJ,gyorK,gyorL,gyorM,gyorN,gyorO,gyorP,gyorQ
41664,3,2,3,1,1,2,0,1,0,1,0,2,3,3
47152,3,3,3,3,3,2,3,3,3,3,3,3,3,3
32210,3,2,1,1,2,2,2,2,1,2,3,2,3,0
48359,3,3,3,3,2,3,2,3,3,3,3,1,3,3
52812,3,3,2,3,2,3,2,1,0,1,0,2,3,1
40865,2,2,3,0,1,2,0,0,0,0,0,2,3,2
44867,3,3,2,3,2,3,3,3,2,2,1,0,3,2
52746,3,2,2,2,2,3,0,2,0,2,0,3,3,3
51192,3,2,3,2,2,3,0,2,0,1,0,2,3,1
48268,0,0,0,0,0,0,0,1,0,1,0,1,3,0
49169,3,3,3,2,2,3,2,2,1,2,3,3,3,3
49607,1,1,2,1,0,1,0,1,0,1,0,1,3,0
31930,3,3,2,1,2,3,3,3,2,2,0,3,3,0
40964,3,3,3,3,2,3,3,3,3,3,0,2,3,3
41105,3,3,3,3,3,3,3,3,3,3,1,1,3,3
48418,3,3,1,1,0,2,2,3,2,3,3,2,3,2
38071,3,3,1,1,1,2,3,3,3,3,3,3,3,2
46836,3,3,2,2,3,3,3,2,2,2,1,1,3,2
50031,3,3,3,3,2,2,3,3,2,3,3,3,3,3
30915,2,0,0,0,0,1,0,2,1,3,1,2,3,2
42279,3,3,3,2,2,3,2,2,2,2,0,2,3,1
48155,3,2,3,2,1,2,1,2,1,2,3,2,3,2
30908,3,3,3,2,2,3,3,3,2,2,3,3,3,1
50941,3,3,3,3,3,3,3,3,3,2,3,3,3,3
47041,3,3,3,3,3,3,2,3,3,3,2,3,3,3
35171,3,3,2,3,2,3,2,3,2,2,2,3,3,2
31788,3,3,3,3,3,3,3,3,2,3,2,3,3,2
41120,3,3,1,3,3,3,3,3,3,3,1,3,3,3
44169,2,3,3,2,2,3,3,3,2,3,2,3,3,3
46117,3,3,3,3,3,3,3,3,3,3,2,3,3,3
47002,3,3,3,3,3,3,3,3,2,3,1,2,3,3
47361,3,3,3,3,3,3,3,3,3,3,3,3,3,3
47421,3,3,3,3,3,3,2,3,3,3,2,3,3,3
47502,3,3,3,3,3,3,2,3,3,3,3,3,3,3
47824,3,3,3,3,3,3,2,3,3,3,2,3,3,3
48410,3,3,3,3,2,2,3,3,3,3,3,3,3,3
48821,3,3,3,2,2,2,3,3,2,2,3,3,3,3
49373,3,3,3,3,3,3,3,3,3,3,3,2,3,3
50212,3,3,3,2,2,2,3,3,3,2,3,3,3,2
50232,3,3,3,3,3,3,3,3,3,3,2,3,3,2
50666,3,3,3,3,3,3,2,3,3,1,3,0,3,1
52324,3,3,3,3,2,3,3,3,2,3,3,3,3,2
31942,3,3,3,1,1,2,3,2,2,3,2,3,3,3
32192,3,2,2,1,1,2,0,2,0,1,1,3,3,3
40760,3,2,1,1,1,2,1,3,2,2,2,2,3,2
44086,3,3,3,2,2,3,3,3,3,3,3,1,3,1
