token	ngram_1_1	ngram_1_0	ngram_2_0	word_len	cmu_len	dolch_0a	dolch_0b	dolch_1	dolch_2	dolch_3
_START_	2.89174061585493	0.0	0.0	0	0	1	1	1	1	1
Sam	0.08594705249092477	2.89174061585493	2.89174061585493	3	3	0	0	0	0	0
and	0.00024780758592676133	0.5059877411633666	0.08594705249092477	3	3	1	1	1	1	1
Jo	0.001364227892765734	0.19143639634349285	0.00024780758592676133	2	2	0	0	0	0	0
went	0.0	0.007794779787020876	0.001364227892765734	4	4	0	1	1	1	1
for	0.5991085391549295	1.831273743473652	0.0	3	3	1	1	1	1	1
a	0.020795398032667528	455.6137557569929	0.5991085391549295	1	1	1	1	1	1	1
hike	0.02218676037062493	0.14828944676791686	0.020795398032667528	4	3	0	0	0	0	0
.	0.14138794884786013	0.14138794884786013	0.02218676037062493	1	0	1	1	1	1	1
_START_	516.7512070806506	0.0	0.0	0	0	1	1	1	1	1
They	2.143456042603486	516.7512070806506	516.7512070806506	4	2	0	0	0	0	0
took	0.4891215144384585	7.3720450994888305	2.143456042603486	4	3	0	0	0	0	0
a	0.013348832254503477	20.357887240338567	0.4891215144384585	1	1	1	1	1	1	1
path	0.19570319115804535	3.1154608700350135	0.013348832254503477	4	3	0	0	0	0	0
through	0.43893107782837065	0.6757898315317619	0.19570319115804535	7	3	0	0	0	0	0
the	0.8939807871609475	231.0486749488742	0.43893107782837065	3	2	1	1	1	1	1
woods	1.7494754226719742	9.2612583799922	0.8939807871609475	5	4	0	0	0	0	0
.	2.9559334267724195	2.9559334267724195	1.7494754226719742	1	0	1	1	1	1	1
_START_	8.989785363772425	0.0	0.0	0	0	1	1	1	1	1
Suddenly	2.1965678035672163	8.989785363772425	8.989785363772425	8	7	0	0	0	0	0
,	0.0007839821885942196	8.072470439133138	2.1965678035672163	1	0	1	1	1	1	1
Sam	0.0020700200624650857	3.814525009652309	0.0007839821885942196	3	3	0	0	0	0	0
heard	0.0012393160345863525	0.009989889471206936	0.0020700200624650857	5	3	0	0	0	0	0
a	0.15446689616283038	5.52156406542292	0.0012393160345863525	1	1	1	1	1	1	1
noise	0.005325763288482979	1.5596672865127241	0.15446689616283038	5	3	0	0	0	0	0
coming	0.033968334433050355	0.042727048303808274	0.005325763288482979	6	5	0	0	0	0	0
from	3.261899220238648	8.778669771587731	0.033968334433050355	4	4	0	0	1	1	1
