	token	constituent_of_ADJP	constituent_of_ADVP	constituent_of_NP	constituent_of_PP	constituent_of_S_like	constituent_of_VP	parent_depth	pos_tag	pos_,	pos_.	pos_CC	pos_CD	pos_DT	pos_IN	pos_JJ	pos_MD	pos_NN	pos_NNP	pos_NNS	pos_PRP	pos_PRP$	pos_RB	pos_RP	pos_TO	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_WP
0	Sam	0	0	1	0	0	0	1	NNP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	and	0	0	1	0	0	0	1	CC	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Jo	0	0	1	0	0	0	1	NNP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3	went	0	0	0	0	0	1	1	VBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4	for	0	0	0	1	0	1	2	IN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	a	0	0	1	1	0	1	3	DT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	hike	0	0	1	1	0	1	3	NN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
7	.	0	0	0	0	0	0	0	.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	They	0	0	0	0	0	0	0	PRP	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
9	took	0	0	0	0	0	1	1	VBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
10	a	0	0	1	0	0	1	2	DT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	path	0	0	1	0	0	1	2	NN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
12	through	0	0	1	1	0	1	3	IN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	the	0	0	1	1	0	1	3	DT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	woods	0	0	1	1	0	1	3	NNS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15	.	0	0	0	0	0	0	0	.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	Suddenly	0	0	0	0	0	0	0	RB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
