	depth_sister_0	depth_sister_1	depth_sister_2	depth_sister_3	depth_sister_4	depth_sister_5	depth_sister_6	depth_sister_7
Sam	0	0	0	0	0	0	0	0
and	1	1	0	0	0	0	0	0
Jo	1	1	0	0	0	0	0	0
went	1	0	0	0	0	0	0	0
for	1	1	0	0	0	0	0	0
a	1	1	1	0	0	0	0	0
hike	1	1	1	1	0	0	0	0
.	1	0	0	0	0	0	0	0
They	0	0	0	0	0	0	0	0
took	1	0	0	0	0	0	0	0
a	1	1	0	0	0	0	0	0
path	1	1	1	1	0	0	0	0
through	1	1	1	0	0	0	0	0
the	1	1	1	1	0	0	0	0
woods	1	1	1	1	1	0	0	0
.	1	0	0	0	0	0	0	0
Suddenly	0	0	0	0	0	0	0	0
,	1	0	0	0	0	0	0	0
Sam	1	0	0	0	0	0	0	0
heard	1	0	0	0	0	0	0	0
a	1	1	0	0	0	0	0	0
noise	1	1	1	1	0	0	0	0
coming	1	1	1	0	0	0	0	0
from	1	1	1	1	0	0	0	0
the	1	1	1	1	1	0	0	0
tree	1	1	1	1	1	1	1	0
above	1	1	1	1	1	1	0	0
their	1	1	1	1	1	1	1	0
heads	1	1	1	1	1	1	1	1
.	1	0	0	0	0	0	0	0
Jo	0	0	0	0	0	0	0	0
climbed	1	0	0	0	0	0	0	0
up	1	1	1	0	0	0	0	0
to	1	1	1	0	0	0	0	0
see	1	1	1	1	0	0	0	0
what	1	1	1	1	1	0	0	0
the	1	1	1	1	1	1	0	0
noise	1	1	1	1	1	1	1	1
was	1	1	1	1	1	1	1	0
and	1	1	0	0	0	0	0	0
found	1	1	0	0	0	0	0	0
two	1	1	1	0	0	0	0	0
baby	1	1	1	1	0	0	0	0
squirrels	1	1	1	1	0	0	0	0
.	1	0	0	0	0	0	0	0
The	0	0	0	0	0	0	0	0
babies	1	1	1	0	0	0	0	0
were	1	1	0	0	0	0	0	0
alone	1	1	1	0	0	0	0	0
,	1	0	0	0	0	0	0	0
but	1	0	0	0	0	0	0	0
their	1	0	0	0	0	0	0	0
mother	1	1	1	0	0	0	0	0
must	1	1	0	0	0	0	0	0
be	1	1	1	0	0	0	0	0
somewhere	1	1	1	1	0	0	0	0
near	1	1	1	1	1	0	0	0
.	1	0	0	0	0	0	0	0
The	0	0	0	0	0	0	0	0
children	1	1	0	0	0	0	0	0
watched	1	0	0	0	0	0	0	0
and	1	1	0	0	0	0	0	0
waited	1	1	0	0	0	0	0	0
.	1	0	0	0	0	0	0	0
Sure	0	0	0	0	0	0	0	0
enough	1	1	0	0	0	0	0	0
,	1	0	0	0	0	0	0	0
the	1	0	0	0	0	0	0	0
mother	1	1	0	0	0	0	0	0
soon	1	0	0	0	0	0	0	0
returned	1	0	0	0	0	0	0	0
with	1	1	0	0	0	0	0	0
a	1	1	1	0	0	0	0	0
mouthful	1	1	1	1	1	0	0	0
of	1	1	1	1	0	0	0	0
nuts	1	1	1	1	1	0	0	0
.	1	0	0	0	0	0	0	0
The	0	0	0	0	0	0	0	0
noises	1	1	0	0	0	0	0	0
stopped	1	0	0	0	0	0	0	0
as	1	1	0	0	0	0	0	0
the	1	1	1	0	0	0	0	0
baby	1	1	1	1	1	0	0	0
squirrels	1	1	1	1	1	0	0	0
began	1	1	1	1	0	0	0	0
to	1	1	1	1	1	0	0	0
eat	1	1	1	1	1	1	0	0
.	1	0	0	0	0	0	0	0
Sam	0	0	0	0	0	0	0	0
and	1	1	0	0	0	0	0	0
Jo	1	1	0	0	0	0	0	0
smiled	1	0	0	0	0	0	0	0
,	1	1	0	0	0	0	0	0
knowing	1	1	0	0	0	0	0	0
the	1	1	1	0	0	0	0	0
squirrels	1	1	1	1	1	0	0	0
were	1	1	1	1	0	0	0	0
safe	1	1	1	1	1	0	0	0
with	1	1	1	1	1	1	0	0
their	1	1	1	1	1	1	1	0
mother	1	1	1	1	1	1	1	1
.	1	0	0	0	0	0	0	0
