	n_constituents_initial	n_constituents_middle	n_constituents_final
Sam	0.4	0.0	0.0
and	0.0	0.4	0.0
Jo	0.0	0.2	0.2
went	0.2	0.2	0.0
for	0.2	0.4	0.0
a	0.2	0.6000000000000001	0.0
hike	0.0	0.2	0.6000000000000001
.	0.0	0.0	0.2
They	0.16666666666666666	0.0	0.0
took	0.16666666666666666	0.16666666666666666	0.0
a	0.3333333333333333	0.3333333333333333	0.0
path	0.0	0.5	0.16666666666666666
through	0.16666666666666666	0.5	0.0
the	0.16666666666666666	0.6666666666666666	0.0
woods	0.0	0.16666666666666666	0.6666666666666666
.	0.0	0.0	0.16666666666666666
Suddenly	0.1	0.0	0.0
,	0.0	0.1	0.0
Sam	0.0	0.1	0.0
heard	0.1	0.1	0.0
a	0.2	0.2	0.0
noise	0.0	0.30000000000000004	0.1
coming	0.1	0.30000000000000004	0.0
from	0.1	0.4	0.0
the	0.2	0.5	0.0
tree	0.0	0.6	0.1
above	0.1	0.6	0.0
their	0.1	0.7	0.0
heads	0.0	0.1	0.7
.	0.0	0.0	0.1
Jo	0.1	0.0	0.0
climbed	0.2	0.1	0.0
up	0.0	0.30000000000000004	0.0
to	0.1	0.30000000000000004	0.0
see	0.1	0.4	0.0
what	0.1	0.5	0.0
the	0.2	0.6	0.0
noise	0.0	0.7	0.1
was	0.0	0.2	0.5
and	0.0	0.2	0.0
found	0.1	0.2	0.0
two	0.1	0.30000000000000004	0.0
baby	0.0	0.4	0.0
squirrels	0.0	0.1	0.30000000000000004
.	0.0	0.0	0.1
The	0.3333333333333333	0.0	0.0
babies	0.0	0.2222222222222222	0.1111111111111111
were	0.1111111111111111	0.2222222222222222	0.0
alone	0.0	0.1111111111111111	0.2222222222222222
,	0.0	0.1111111111111111	0.0
but	0.0	0.1111111111111111	0.0
their	0.2222222222222222	0.1111111111111111	0.0
mother	0.0	0.2222222222222222	0.1111111111111111
must	0.1111111111111111	0.2222222222222222	0.0
be	0.1111111111111111	0.3333333333333333	0.0
somewhere	0.1111111111111111	0.4444444444444444	0.0
near	0.0	0.1111111111111111	0.4444444444444444
.	0.0	0.0	0.1111111111111111
The	0.6666666666666666	0.0	0.0
children	0.0	0.3333333333333333	0.3333333333333333
watched	0.3333333333333333	0.3333333333333333	0.0
and	0.0	0.6666666666666666	0.0
waited	0.0	0.3333333333333333	0.3333333333333333
.	0.0	0.0	0.3333333333333333
Sure	0.25	0.0	0.0
enough	0.0	0.125	0.125
,	0.0	0.125	0.0
the	0.125	0.125	0.0
mother	0.0	0.125	0.125
soon	0.0	0.125	0.0
returned	0.125	0.125	0.0
with	0.125	0.25	0.0
a	0.25	0.375	0.0
mouthful	0.0	0.5	0.125
of	0.125	0.5	0.0
nuts	0.0	0.125	0.5
.	0.0	0.0	0.125
The	0.25	0.0	0.0
noises	0.0	0.125	0.125
stopped	0.125	0.125	0.0
as	0.125	0.25	0.0
the	0.25	0.375	0.0
baby	0.0	0.625	0.0
squirrels	0.0	0.5	0.125
began	0.125	0.5	0.0
to	0.125	0.625	0.0
eat	0.0	0.125	0.625
.	0.0	0.0	0.125
Sam	0.2	0.0	0.0
and	0.0	0.2	0.0
Jo	0.0	0.1	0.1
smiled	0.1	0.1	0.0
,	0.0	0.2	0.0
knowing	0.1	0.2	0.0
the	0.2	0.30000000000000004	0.0
squirrels	0.0	0.4	0.1
were	0.1	0.4	0.0
safe	0.1	0.5	0.0
with	0.1	0.6	0.0
their	0.1	0.7	0.0
mother	0.0	0.1	0.7
.	0.0	0.0	0.1
