	token	matches_expected	sframe	nframes	pitch_mean	pitch_start	pitch_end	pitch_high	pitch_low	pitch_slope
<pause>	<pause>	1	0	152	0.9879487652880075	-8.416656497869894	3.1833435021301284	17.98334350213011	-8.416656497869894	0.07631578947368436
sam	sam	1	152	19	82.68860666002483	12.883343502130117	98.18334350213013	99.7833435021301	12.883343502130117	4.489473684210527
<pause>	<pause>	1	171	27	88.33519535398197	98.18334350213013	80.2833435021301	98.18334350213013	80.2833435021301	-0.6629629629629642
and	and	1	198	18	77.26667683546346	78.68334350213013	77.18334350213013	78.68334350213013	77.18334350213013	-0.08333333333333333
<pause>	<pause>	1	216	8	77.18334350213013	77.18334350213013	77.18334350213013	77.18334350213013	77.18334350213013	0.0
jo		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	1	224	171	77.18334350213028	77.18334350213013	77.18334350213013	77.18334350213013	77.18334350213013	0.0
went	went	0	395	216	27.59697986576648	-1.5166564978698887	14.183343502130128	91.5833435021301	-6.216656497869877	0.3568181818181822
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
for	for	1	611	31	-87.64891456238598	4.383343502130117	-119.41665649786988	4.383343502130117	-119.41665649786988	-3.9935483870967743
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	642	23	-117.74709128047856	-120.01665649786989	-110.31665649786989	-110.31665649786989	-121.71665649786988	0.4217391304347827
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
hike	hike	1	665	38	-108.37981439260672	-107.81665649786987	-67.31665649786987	-67.31665649786987	-118.81665649786989	1.0657894736842106
<pause>	<pause>	1	703	9	-17.727767608980997	-58.71665649786988	28.283343502130094	28.283343502130094	-58.71665649786988	9.666666666666664
they	they	1	712	22	31.174252593039206	41.783343502130094	-5.016656497869889	77.18334350213013	-5.016656497869889	-2.1272727272727265
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
took	took	1	734	43	-90.73293556763734	-12.916656497869894	-100.61665649786988	-12.916656497869894	-113.41665649786988	-2.03953488372093
<pause>	<pause>	1	777	43	-71.6980518467071	-99.21665649786988	-38.11665649786988	-38.11665649786988	-99.21665649786988	1.4209302325581394
a	a	1	820	18	-5.438878720092101	-36.11665649786988	11.683343502130128	11.683343502130128	-36.11665649786988	2.6555555555555563
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
path	path	1	838	46	24.272473936912714	12.883343502130117	39.083343502130106	40.38334350213012	9.183343502130128	0.5695652173913041
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
through	through	1	884	26	20.99488196366858	39.083343502130106	7.983343502130111	39.083343502130106	7.983343502130111	-1.196153846153846
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
the	the	1	910	20	3.0683435021301206	6.783343502130123	-11.816656497869872	40.38334350213012	-12.916656497869894	-0.9299999999999997
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
woods	woods	1	930	41	-8.619095522260123	-11.816656497869872	-21.716656497869877	6.783343502130123	-21.716656497869877	-0.24146341463414647
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
suddenly	suddenly	1	971	115	-100.72535215004385	-24.81665649786987	-93.61665649786988	-24.81665649786987	-124.01665649786989	-0.5982608695652175
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
sam	sam	1	1086	59	-2.806487006344455	-88.61665649786988	11.683343502130128	41.783343502130094	-88.61665649786988	1.7000000000000002
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
heard	heard	1	1145	42	10.897629216415831	14.183343502130128	63.38334350213012	63.38334350213012	-1.5166564978698887	1.1714285714285713
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
a	a	1	1187	25	49.159343502130106	67.88334350213012	-7.316656497869872	75.5833435021301	-7.316656497869872	-3.0079999999999996
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
noise	noise	1	1212	43	11.399622571897563	-6.216656497869877	37.68334350213013	37.68334350213013	-6.216656497869877	1.0209302325581397
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
coming	coming	1	1255	39	17.08590760469422	37.68334350213013	24.383343502130117	37.68334350213013	0.7833435021301227	-0.3410256410256413
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
from	from	1	1294	44	13.640161683948303	25.68334350213013	9.183343502130128	29.583343502130106	-3.8166564978698716	-0.375
<pause>	<pause>	1	1338	88	-27.133701952415322	7.983343502130111	-47.71665649786988	7.983343502130111	-47.71665649786988	-0.6329545454545453
the	the	1	1426	10	-27.566656497869882	-47.71665649786988	-7.316656497869872	-3.8166564978698716	-49.61665649786988	4.040000000000001
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
tree	tree	1	1436	37	9.17253269131931	-11.816656497869872	-3.8166564978698716	30.98334350213014	-11.816656497869872	0.21621621621621623
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
above	above	1	1473	75	5.783343502130122	-5.016656497869889	57.48334350213014	72.48334350213014	-16.216656497869877	0.8333333333333337
<pause>	<pause>	1	1548	6	42.56667683546343	53.083343502130106	32.283343502130094	53.083343502130106	32.283343502130094	-3.4666666666666686
their	their	1	1554	69	-31.531149251493066	28.283343502130094	-104.61665649786988	28.283343502130094	-117.11665649786988	-1.926086956521739
<pause>	<pause>	1	1623	9	-94.26110094231434	-102.61665649786988	-85.61665649786988	-85.61665649786988	-102.61665649786988	1.8888888888888888
heads		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
jo		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
climbed		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
up		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
to		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
see		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
what		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	1	1632	26	-38.308964190177576	-82.61665649786988	9.183343502130128	9.183343502130128	-82.61665649786988	3.530769230769231
the	the	1	1658	26	15.244881963668579	12.883343502130117	4.383343502130117	29.583343502130106	3.1833435021301284	-0.3269230769230769
<pause>	<pause>	1	1684	66	14.354555623342227	4.383343502130117	17.98334350213011	17.98334350213011	4.383343502130117	0.20606060606060597
noise		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
<pause>	<pause>	0	1750	105	8.016676835463443	10.483343502130111	5.583343502130106	10.483343502130111	5.583343502130106	-1.6333333333333353
was	was	0	1855	464	-105.33420035751905	-109.71665649786988	-73.9166564978699	-73.9166564978699	-162.0166564978699	0.6280701754385962
<pause>	<pause>	1	2319	193	4.631011895912477	-73.11665649786988	43.18334350213013	43.18334350213013	-73.11665649786988	0.6025906735751296
and	and	1	2512	11	27.992434411221037	43.18334350213013	14.183343502130128	43.18334350213013	14.183343502130128	-2.6363636363636362
<pause>		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
found	found	1	2523	12	11.583343502130118	12.883343502130117	10.483343502130111	12.883343502130117	10.483343502130111	-0.20000000000000048
<pause>	<pause>	0	2535	150	76.17245241302109	88.2833435021301	64.88334350213012	88.2833435021301	64.88334350213012	-0.23168316831683144
two	two	0	2685	116	71.85834350213013	51.68334350213013	67.88334350213012	88.2833435021301	51.68334350213013	1.0124999999999993
<pause>	<pause>	1	2801	22	67.88334350213016	67.88334350213012	67.88334350213012	67.88334350213012	67.88334350213012	0.0
baby	baby	1	2823	29	17.259205571095634	67.88334350213012	11.683343502130128	74.0833435021301	-3.8166564978698716	-1.9379310344827583
<pause>	<pause>	1	2852	8	20.858343502130122	14.183343502130128	26.98334350213014	26.98334350213014	14.183343502130128	1.6000000000000014
squirrels	squirrels	0	2860	177	-104.2775260630873	3.1833435021301284	-102.61665649786988	3.1833435021301284	-150.9166564978699	-1.1500000000000001
<pause>	<pause>	1	3037	4	-102.61665649786988	-102.61665649786988	-102.61665649786988	-102.61665649786988	-102.61665649786988	0.0
the	the	1	3041	46	-91.81883041091336	-102.61665649786988	-82.61665649786988	-69.01665649786989	-119.41665649786988	0.43478260869565216
<pause>	<pause>	1	3087	54	-83.28702686824025	-82.61665649786988	-88.61665649786988	-82.61665649786988	-88.61665649786988	-0.1111111111111111
