Response,WCPM,Acc,Comp,Exp,level,WCPM_response,Comp_response,Exp_response,undetermined,1_or_2,2_unanimous,2_or_3,3_unanimous
544687,99.0,0.9890000000000001,6.5,2.8,12,77.8,7.5,2.9,0,0,0,1,0
544687,99.0,0.9890000000000001,6.5,2.8,12,77.8,7.5,2.9,0,0,0,1,0
544687,99.0,0.9890000000000001,6.5,2.8,12,77.8,7.5,2.9,0,0,0,1,0
544687,99.0,0.9890000000000001,6.5,2.8,12,77.8,7.5,2.9,0,0,0,1,0
544687,99.0,0.9890000000000001,6.5,2.8,12,77.8,7.5,2.9,0,0,0,1,0
544687,99.0,0.9890000000000001,6.5,2.8,12,77.8,7.5,2.9,0,0,0,1,0
544691,99.0,0.9890000000000001,6.5,2.8,12,99.4,5.7,2.8,0,0,0,0,1
544691,99.0,0.9890000000000001,6.5,2.8,12,99.4,5.7,2.8,0,0,0,0,1
544691,99.0,0.9890000000000001,6.5,2.8,12,99.4,5.7,2.8,0,0,0,0,1
544695,99.0,0.9890000000000001,6.5,2.8,12,126.1,6.3,3.0,0,0,0,0,1
544695,99.0,0.9890000000000001,6.5,2.8,12,126.1,6.3,3.0,0,0,0,0,1
544695,99.0,0.9890000000000001,6.5,2.8,12,126.1,6.3,3.0,0,0,0,0,1
544806,45.0,0.813,3.8,1.6,7,47.1,1.5,1.5,0,0,1,0,0
544806,45.0,0.813,3.8,1.6,7,47.1,1.5,1.5,0,0,1,0,0
544806,45.0,0.813,3.8,1.6,7,47.1,1.5,1.5,0,0,1,0,0
544806,45.0,0.813,3.8,1.6,7,47.1,1.5,1.5,0,0,1,0,0
544806,45.0,0.813,3.8,1.6,7,47.1,1.5,1.5,0,0,1,0,0
544810,45.0,0.813,3.8,1.6,7,55.3,5.5,1.8,0,0,1,0,0
544810,45.0,0.813,3.8,1.6,7,55.3,5.5,1.8,0,0,1,0,0
553406,63.0,1.0,3.1,2.2,9,55.5,4.0,1.7,0,0,0,0,1
553406,63.0,1.0,3.1,2.2,9,55.5,4.0,1.7,0,0,0,0,1
553406,63.0,1.0,3.1,2.2,9,55.5,4.0,1.7,0,0,0,0,1
553410,63.0,1.0,3.1,2.2,9,71.6,3.6,1.9,0,0,0,0,1
553410,63.0,1.0,3.1,2.2,9,71.6,3.6,1.9,0,0,0,0,1
553410,63.0,1.0,3.1,2.2,9,71.6,3.6,1.9,0,0,0,0,1
557533,76.0,1.0,6.0,2.9,10,71.9,6.0,2.5,0,0,0,1,0
557533,76.0,1.0,6.0,2.9,10,71.9,6.0,2.5,0,0,0,1,0
557533,76.0,1.0,6.0,2.9,10,71.9,6.0,2.5,0,0,0,1,0
557533,76.0,1.0,6.0,2.9,10,71.9,6.0,2.5,0,0,0,1,0
557533,76.0,1.0,6.0,2.9,10,71.9,6.0,2.5,0,0,0,1,0
557537,76.0,1.0,6.0,2.9,10,68.9,6.3,2.5,0,0,0,0,1
557537,76.0,1.0,6.0,2.9,10,68.9,6.3,2.5,0,0,0,0,1
557537,76.0,1.0,6.0,2.9,10,68.9,6.3,2.5,0,0,0,0,1
557537,76.0,1.0,6.0,2.9,10,68.9,6.3,2.5,0,0,0,0,1
557541,76.0,1.0,6.0,2.9,10,87.4,5.4,3.0,0,0,0,0,1
557541,76.0,1.0,6.0,2.9,10,87.4,5.4,3.0,0,0,0,0,1
557541,76.0,1.0,6.0,2.9,10,87.4,5.4,3.0,0,0,0,0,1
560124,71.0,0.905,4.0,2.5,9,69.4,3.2,2.5,0,0,0,1,0
560124,71.0,0.905,4.0,2.5,9,69.4,3.2,2.5,0,0,0,1,0
560124,71.0,0.905,4.0,2.5,9,69.4,3.2,2.5,0,0,0,1,0
560124,71.0,0.905,4.0,2.5,9,69.4,3.2,2.5,0,0,0,1,0
560128,71.0,0.905,4.0,2.5,9,64.3,4.6,2.1,0,0,0,0,1
560128,71.0,0.905,4.0,2.5,9,64.3,4.6,2.1,0,0,0,0,1
560128,71.0,0.905,4.0,2.5,9,64.3,4.6,2.1,0,0,0,0,1
560132,71.0,0.905,4.0,2.5,9,116.4,4.4,3.1,0,0,0,0,1
560132,71.0,0.905,4.0,2.5,9,116.4,4.4,3.1,0,0,0,0,1
560330,83.0,0.9670000000000001,5.4,2.4,11,75.8,5.0,2.2,0,0,0,1,0
560330,83.0,0.9670000000000001,5.4,2.4,11,75.8,5.0,2.2,0,0,0,1,0
560330,83.0,0.9670000000000001,5.4,2.4,11,75.8,5.0,2.2,0,0,0,1,0
560330,83.0,0.9670000000000001,5.4,2.4,11,75.8,5.0,2.2,0,0,0,1,0
560330,83.0,0.9670000000000001,5.4,2.4,11,75.8,5.0,2.2,0,0,0,1,0
560334,83.0,0.9670000000000001,5.4,2.4,11,88.1,6.0,2.3,0,0,0,0,1
560334,83.0,0.9670000000000001,5.4,2.4,11,88.1,6.0,2.3,0,0,0,0,1
560334,83.0,0.9670000000000001,5.4,2.4,11,88.1,6.0,2.3,0,0,0,0,1
560338,83.0,0.9670000000000001,5.4,2.4,11,88.5,5.1,2.2,0,0,0,0,1
560338,83.0,0.9670000000000001,5.4,2.4,11,88.5,5.1,2.2,0,0,0,0,1
560338,83.0,0.9670000000000001,5.4,2.4,11,88.5,5.1,2.2,0,0,0,0,1
564802,33.0,0.8270000000000001,5.1,1.4,6,32.4,5.2,1.4,0,0,0,1,0
