form,item,perfmat_idx,token,punct,pause_min,pause_max,pause_1q,pause_3q,pause_med,pause_mean,pause_sstd,f0ratio_before_min,f0ratio_before_max,f0ratio_before_1q,f0ratio_before_3q,f0ratio_before_med,f0ratio_before_mean,f0ratio_before_sstd,f0ratio_after_min,f0ratio_after_max,f0ratio_after_1q,f0ratio_after_3q,f0ratio_after_med,f0ratio_after_mean,f0ratio_after_sstd
Grade1Fall,1401,9,lost,.,12,69,33.0,57.0,36.0,40.0,18.186533479473212,-0.40612580924859154,1.7231988330117043,0.5585669612855285,1.155320394932919,0.9233410425884429,0.8169610223280653,0.6115614515218386,-13.269959506734429,4.279262864226979,0.20706873575921564,1.3126130872338007,0.334466811752898,-0.9793527664583096,5.13450863373812
Grade1Fall,1401,17,pond,?,15,69,24.0,63.0,36.0,41.333333333333336,20.112185361118765,-0.6360403170966132,5.726771546307942,-0.20784914460106166,0.8735321939553073,0.7710902770084631,1.0665426886898226,1.9550110823234745,-1.7556585422462416,15.236834703562097,0.5065326340149923,1.0145833433473377,0.8198505511980788,1.961138680346278,5.088677380870478
Grade1Fall,1401,27,rock,.,30,66,36.0,54.0,48.0,47.666666666666664,12.31868499475492,-5.904098583095161,1.932680059936201,-0.05978726245755717,0.958601114867566,0.7331923729355141,-0.0023238022412125727,2.295050066306063,-4.943300161654816,26.385837306409744,-0.4225597204849057,0.8443857764900191,-0.31360297939462584,2.4736911581007863,9.138470761289485
Grade1Fall,1401,37,pond,.,27,81,33.0,63.0,45.0,50.666666666666664,20.20519735117675,-3.2410535310358988,0.7985708265144061,-0.13465991600919347,0.48819891411130967,0.15949078729851482,-0.17250268502869542,1.2070288825702387,-5.57113856720936,82.64913144012073,-0.9466488938894034,1.4739323046836512,0.49889647049513186,8.943352303368398,27.761143811810708
Grade1Fall,1401,47,tree,.,39,93,51.0,69.0,63.0,63.0,19.267848867997692,-1.4696553976836422,1.203026691585244,0.12103117789266693,0.9846872233797819,0.5809696556537598,0.30317309582269836,0.9389395765157947,-10.735663469457915,19.522188380984236,-0.5136120860373158,1.2609281781277175,0.6346767226742416,0.9800187017677724,7.970377714350096
Grade1Fall,1401,57,pond,.,15,87,33.0,69.0,48.0,50.666666666666664,24.06761309311748,-0.4214001412155062,1.1097148199747084,0.3342595847098075,0.8670816280260164,0.8123344269419924,0.5892096703784415,0.4856525590694287,-4.269475151161515,24.743052398358415,-0.6945503742181097,2.217223466824778,1.2811408848567138,2.895895635286776,8.60387203755566
Grade1Fall,1401,67,tub,.,27,75,36.0,57.0,36.0,46.0,17.874562931719478,-4.943854298628651,1.5155436860084877,-1.565659464208224,1.1407368252038121,1.0211202086999553,-0.2751675616580534,2.3178940594740456,-3.0425188923550808,3.3790950954198333,-0.5012909038655405,0.6469946822425539,0.00011944406798730469,0.11287398734792425,1.7050011132554195
Grade1Fall,1603,9,us,.,9,45,15.0,42.0,24.0,27.0,14.309088021254185,-1.7920526127776617,2.4639409849682776,-1.3218762112548967,0.06278916218921897,-0.8252095258677792,-0.33698186477801345,1.304932515703359,-0.8058763563220441,4.170545029379707,0.259869454832602,1.820176597282411,0.6605367568815537,1.1457269675050317,1.4807878755445616
Grade1Fall,1603,17,loud,.,12,45,27.0,33.0,30.0,30.0,9.12414379544733,-1.732867563671582,1.4039454479109632,-0.7982417108523594,0.843561655283284,0.42853631771865663,0.07721314200555941,1.1252096520796835,-5.295978329857202,3.404515355416743,0.41231455365621544,1.0737956018631043,0.7944437074988562,0.38379867398201184,2.321371493567626
Grade1Fall,1603,25,soft,.,24,84,36.0,54.0,42.0,46.333333333333336,18.3166590840142,-43.03160477158755,1.7660996354799474,-0.8457268251577059,1.132867970976941,0.15678076985728306,-4.698090786155707,14.461573748829517,-12.78212017275567,3.1172033744983114,-6.877360298115516,0.3611831047475009,-0.6429201216154043,-2.7390684875061964,5.25183246330613
Grade1Fall,1603,35,sounds,.,36,102,57.0,75.0,69.0,66.33333333333333,19.0,-4.693972927690677,3.8098007194400583,-0.30483859522147844,0.8516652360399892,0.600040535909635,-0.16330899660186038,2.592300248590309,0.07752051917189512,4.439313944368561,0.33850195882023204,1.088823494623833,0.7475642794734852,1.1248158507175834,1.346246907443661
