form,item,perfmat_idx,token,punct,pause_min,pause_max,pause_1q,pause_3q,pause_med,pause_mean,pause_sstd,f0ratio_before_min,f0ratio_before_max,f0ratio_before_1q,f0ratio_before_3q,f0ratio_before_med,f0ratio_before_mean,f0ratio_before_sstd,f0ratio_after_min,f0ratio_after_max,f0ratio_after_1q,f0ratio_after_3q,f0ratio_after_med,f0ratio_after_mean,f0ratio_after_sstd
Grade1Fall,1401,9,lost,.,12,69,33.0,57.0,36.0,40.0,18.186533479473212,0.8348341112012987,1.1695466622037196,1.0170590782582307,1.096691337769985,1.0805312481961247,1.0491703082399861,0.09754057296953973,0.7967910773481658,1.3581971949361773,0.944478712200993,1.0662284232179586,0.9826273990734613,1.0182089475050218,0.16156171916615839
Grade1Fall,1401,17,pond,?,15,69,24.0,63.0,36.0,41.333333333333336,20.112185361118765,0.8175974025974024,1.1023709934601251,0.9329220482216363,1.038681659255015,0.9697431513214144,0.9720421940826043,0.08391652451284629,0.9804750197601625,1.5754035377574966,1.0140867304299381,1.2338858676706406,1.03684583559973,1.156577287170141,0.21835760366300214
Grade1Fall,1401,27,rock,.,30,66,36.0,54.0,48.0,47.666666666666664,12.31868499475492,0.9312893545848092,1.2134585289514865,1.0151875145585838,1.1378567715424412,1.1021110150169038,1.0790614741515276,0.0865122164113808,0.6783364796064302,1.7397036057537254,0.9515718785918016,1.277008070042938,1.0300141548949937,1.126263889996758,0.31285077548221546
Grade1Fall,1401,37,pond,.,27,81,33.0,63.0,45.0,50.666666666666664,20.20519735117675,1.0423158027255848,1.7830133798720182,1.088407923697725,1.2153950033760972,1.1476132930513592,1.204563876060193,0.22566956635302973,1.028662688072623,1.6212541449403992,1.0800062095123015,1.3112981060697915,1.1756702092450266,1.252017237438122,0.221980179607461
Grade1Fall,1401,47,tree,.,39,93,51.0,69.0,63.0,63.0,19.267848867997692,0.8955021030802218,1.1253661284265868,0.9608013355592656,1.0420437405731522,1.0074812967581046,1.0113970730898256,0.07190744522559876,0.8254368365999626,1.7567988963014758,1.0814069316113077,1.4446855484169867,1.1531121017005121,1.240970275201102,0.2849564387234443
Grade1Fall,1401,57,pond,.,15,87,33.0,69.0,48.0,50.666666666666664,24.06761309311748,0.9568358167959902,1.214827548440246,1.0280226890654671,1.0809289232934556,1.0735101479074087,1.0650506429790974,0.07164026570804002,0.8796884107554679,1.5846921264095835,1.049771012931035,1.2160622024111027,1.061753123591301,1.1538134877990427,0.20613886770866313
Grade1Fall,1401,67,tub,.,27,75,36.0,57.0,36.0,46.0,17.874562931719478,0.8094003465334103,1.0971398345109005,0.9878491312953595,1.0420049627791563,1.0301926080166581,1.0053580257162438,0.08206270979505867,0.7456523465417293,1.8617349816046478,0.9856820234869017,1.101469729414055,1.069154894161752,1.0970778290357586,0.3189287997526548
Grade1Fall,1603,9,us,.,9,45,15.0,42.0,24.0,27.0,14.309088021254185,0.8322052787518007,1.33259759966892,1.1266174022256625,1.1764343587728703,1.1296275910657083,1.1297032004186547,0.13682507995648577,0.7639953600968328,1.1863545870325534,0.917748776615341,1.0432006116900772,1.0117428831078892,0.9931572317180404,0.12628821037313295
Grade1Fall,1603,17,loud,.,12,45,27.0,33.0,30.0,30.0,9.12414379544733,0.887683105905949,1.1743409063297292,0.9887995224480822,1.0993704895984455,1.033328789769292,1.041191317984779,0.0958750709861984,0.9268591426071738,1.0857761923003253,0.9947818363495062,1.0385959637716562,1.0166145340801631,1.0155735798843226,0.048710184431980004
Grade1Fall,1603,25,soft,.,24,84,36.0,54.0,42.0,46.333333333333336,18.3166590840142,0.8809655937846836,1.1011987982270874,0.9676175930471463,1.0271219366407651,1.0234064310873763,0.99708113330763,0.06986892569635893,0.7070124406317275,1.7195107813586825,0.8754685971307813,1.0291401171397314,0.9085709682616399,1.0092060514103816,0.3134035462649428
Grade1Fall,1603,35,sounds,.,36,102,57.0,75.0,69.0,66.33333333333333,19.0,0.8214769968151864,1.538533658353647,1.005265795021602,1.1544857717335257,1.0075502499744924,1.0751168074283928,0.20798165029012639,0.9046554118248922,1.160989844753122,1.0143906510851421,1.100245056134952,1.0504856441455865,1.044101313040552,0.08084396240452302
Grade1Fall,1603,57,trucks,.,15,72,45.0,66.0,51.0,51.333333333333336,17.585505395068974,0.8835920584241623,1.158538821468105,0.9445944359666625,1.0708580980683509,1.0102730327711813,1.0091897368263572,0.09292450826335509,0.9610103626943006,1.1239996124406555,1.0173215181407793,1.1061142587346555,1.0292111650485438,1.049928068369906,0.06043333261693447
Grade1Fall,1603,79,bikes,.,30,105,60.0,81.0,63.0,67.0,23.430749027719962,0.8162120380990374,1.0269741643555683,0.8402577338507587,0.9566375364128176,0.8883988919667588,0.9006320698813828,0.07118546825929309,0.9693744306103855,1.452517913008376,0.9997190517998242,1.0532763298528323,1.050783360345759,1.0753166587489738,0.14550151369548558
Grade1Fall,1603,103,barking,.,39,96,57.0,75.0,57.0,64.33333333333333,19.792675412889487,0.549624809473561,1.2634092265711603,0.8695259820018549,0.9888627308946036,0.9070943861813696,0.9259696203896838,0.19867784374071906,0.9287721774443164,1.0977888669018325,0.9663846838824577,1.0435423400129284,1.0247091033538673,1.0137298573174396,0.05668330869686832
Grade1Fall,1603,127,singing,.,24,87,48.0,69.0,57.0,56.333333333333336,19.078784028338912,0.7741454278507698,1.1718822979915926,0.862497205732595,1.1202402291982656,1.0151986440425411,0.985151805184566,0.14956809466660936,0.9146210292324976,1.690652571624265,0.9217348568620222,1.040682294992247,0.9872366288492707,1.0701293945387353,0.24780436643770495
Grade1Fall,1903,13,yard,.,18,42,21.0,33.0,24.0,27.666666666666668,9.578622030334008,0.996600166784271,1.1002617092320186,1.016492962286451,1.0803696566222842,1.0555823293172693,1.0535395142944677,0.038622428291895175,0.9427861059262718,1.659733814370075,1.0580375368564299,1.4431986987666139,1.2489445037896127,1.2575323812581485,0.265884494361908
Grade1Fall,1903,25,eat,.,30,81,57.0,78.0,63.0,63.666666666666664,16.484841521834536,0.97776387044038,1.6485445205479454,0.9787150104483227,1.279795260998103,1.2410078613182827,1.2171649744865205,0.23169973927480883,0.8561660413893255,1.4834382586511956,0.9329743676033426,1.0067832430037156,0.9533571821684096,1.0192454994066318,0.1892496728245997
Grade1Fall,1903,31,ground,",",0,33,0.0,6.0,3.0,6.333333333333333,10.758717395675008,0.8561660413893255,1.4834382586511956,0.9329743676033426,1.0067832430037156,0.9533571821684096,1.0192454994066318,0.1892496728245997,0.963246132663805,1.394818320936688,1.0164064099462111,1.1700668969437278,1.102053515868077,1.1304545997086013,0.14652124616836937
Grade1Fall,1903,43,bright,.,18,84,42.0,57.0,51.0,51.333333333333336,18.275666882497067,0.8000014152178374,1.076020122973728,0.8951018948873792,1.0282010321946424,1.0013030404276648,0.9569038330404793,0.10611323579667165,0.8401072796934862,1.1740481226864095,0.9491140366948468,1.0786387661113344,1.0184684905938401,1.0075682035874862,0.10906135323294287
Grade1Fall,1903,53,round,.,15,78,33.0,51.0,42.0,43.0,19.03286631067428,0.7981597030250376,1.2707405536935867,0.9446187355127492,1.1129500580720086,1.0877927320555558,1.052798938852738,0.15308141379420936,0.673728419461722,1.1276009005878003,0.7736584159528787,0.954889059984601,0.8628645774832451,0.8702683722697435,0.13409676939655293
Grade1Fall,1903,65,it,.,21,66,30.0,45.0,36.0,38.666666666666664,13.028814220795383,0.8222493788484391,1.997488068324541,0.867952067937778,1.2736982643524706,1.0102848821334303,1.1366608778888865,0.37652401427800564,0.9973952000943183,1.326837171259595,1.059305906370022,1.2466348923689312,1.1761438822104182,1.1493864705028327,0.1185689378525063
Grade1Fall,1903,79,it,.,18,84,45.0,72.0,54.0,55.333333333333336,21.059439688652688,0.7747364390666265,1.060205987512674,0.8838257026844768,1.005351469864423,0.9429670561599421,0.9450149108793767,0.09296788306251505,0.6892938628158842,1.0480121535242353,0.8047553623580114,0.9579551768846083,0.8407050935438517,0.8776040322009817,0.11276422306802747
Grade1Fall,1903,87,it,.,6,63,21.0,42.0,27.0,29.333333333333332,18.172781845386247,0.7321401600966624,1.676996833216045,0.9375448010322158,1.5320934380743034,1.4086233325015545,1.2548695390663056,0.36113643185189165,0.7366214639836687,1.3679214655638863,0.8172017083099806,1.3047291039592495,1.047513530072501,1.0712801135048682,0.25919441256961284
Grade1Fall,1903,93,corn,.,6,57,15.0,39.0,30.0,30.333333333333332,18.520259177452136,0.7366214639836687,1.3679214655638863,0.8172017083099806,1.3047291039592495,1.047513530072501,1.0712801135048682,0.25919441256961284,0.8636868951085533,1.2505184360932682,0.944600230083405,1.1408998275591782,1.0986699961038502,1.053011473906758,0.1336134678843415
Grade1Fall,1903,107,gold,!,42,111,51.0,78.0,57.0,66.33333333333333,23.73815494093844,0.8004241346285403,1.2158170188020936,0.9104705986089001,1.0304625338812625,1.0192126110266464,1.0017865002366424,0.13356446441033923,0.5721072734328726,1.444083882898915,0.7374073740737407,0.890232154898372,0.8012360180463971,0.8463315298079807,0.2629421714775141
Grade1Fall,1903,117,corn,",",0,33,0.0,6.0,0.0,5.666666666666667,11.067971810589327,1.018431990827003,1.5918495579193028,1.0461618425754473,1.2363889718323873,1.095786113795426,1.166874359055441,0.1822374148903011,1.0464096278136839,1.3189478718316594,1.064313332580718,1.1011797123912854,1.0695544554455443,1.1067840449692627,0.08509951720706095
Grade1Fall,1903,123,rooster,",",3,33,12.0,33.0,12.0,17.333333333333332,12.165525060596439,1.0464096278136839,1.3189478718316594,1.064313332580718,1.1011797123912854,1.0695544554455443,1.1067840449692627,0.08509951720706095,0.7769975370868897,1.2179441045939785,1.006618737875157,1.102886331089515,1.0526842435948154,1.0486300581117503,0.1291375746065287
Grade1Fall,1903,133,it,.,6,87,45.0,60.0,54.0,52.333333333333336,23.911294402436685,0.7458366646214105,1.0858504958047293,0.8002244472110682,0.9782692246100629,0.9241022468434521,0.9022390889774289,0.11982926741658394,0.885819469248363,1.6747859181731688,0.933822539383331,1.214146748193441,0.9686018626958899,1.1255015890431375,0.26167464267865664
Grade1Spring,1505,7,trucks,.,18,69,33.0,45.0,42.0,41.0,17.168284713389397,0.450699820157948,2.19543755706338,1.0017362593572992,1.1246232862175816,1.064864745403112,1.111493521629674,0.4570757822293413,0.8094141257497318,1.619798219525014,1.0760603720151896,1.327607855403383,1.1625667766802201,1.1963398555327762,0.23348495835850233
Grade1Spring,1505,23,truck,.,24,78,27.0,51.0,42.0,44.0,20.291623887703025,0.788181439866833,1.5121731399271678,0.8437230749593133,1.0533314590947431,0.8624515128006204,0.9771016491277824,0.22840013819603872,0.8448880150453064,1.4193589381530642,0.8997722586005742,0.9976008735024241,0.9131935635472858,1.0202019855424111,0.21685767300695827
Grade1Spring,1505,33,truck,",",0,69,12.0,30.0,21.0,27.333333333333332,23.9269722280108,0.7948290241868226,1.1926757934746737,0.9118520261769204,1.0355589664875928,0.9540672021721909,0.9734446917540838,0.11291856220162234,0.9114339910436668,1.4470059278609464,1.0194183468129558,1.1696796514840007,1.0736073143986782,1.1181077504154446,0.16291163127585628
Grade1Spring,1505,39,barks,.,18,57,36.0,48.0,42.0,39.666666666666664,13.97318861248212,0.9114339910436668,1.4470059278609464,1.0194183468129558,1.1696796514840007,1.0736073143986782,1.1181077504154446,0.16291163127585628,0.6379032258064516,1.0977198697068404,0.8416045174934598,0.967224864794422,0.875539417607304,0.8843529585524599,0.14024565591022328
Grade1Spring,1505,51,truck,",",0,39,3.0,21.0,6.0,12.333333333333334,14.265342617687104,0.5873742980631391,1.6929161729174032,0.7628336755646815,0.9789598636095663,0.8023646602882404,0.945015512242039,0.3344394026811114,0.7872089047472349,1.784757713830321,1.254434394638534,1.5547468651734444,1.3951785319554582,1.3326630686638472,0.32204473205736633
Grade1Spring,1505,55,barks,.,33,96,39.0,60.0,42.0,50.666666666666664,20.26079958935481,0.5472098943819453,1.0923133794231694,0.6859119443139597,0.9291071537105696,0.8627915045928526,0.8177084330375233,0.17936305366190297,0.5580246506994243,1.6444764303706372,0.8077215912695891,1.1299322525486468,0.8292496349011336,0.9511227358467882,0.3169774515054717
Grade1Spring,1505,67,much,?,21,129,33.0,60.0,51.0,54.333333333333336,32.56915718897251,0.8019358566888183,1.4851279761742717,0.8480251675321598,1.0092080383006117,0.9003434912806059,1.0042053791108654,0.238884682194431,0.7785200119837086,1.0818386660657953,0.9413795228995868,1.0004383652859083,0.986029448716016,0.9645138875940754,0.08747264124037649
Grade1Spring,1505,73,barks,",",0,27,0.0,9.0,0.0,6.333333333333333,9.420721840708387,0.7785200119837086,1.0818386660657953,0.9413795228995868,1.0004383652859083,0.986029448716016,0.9645138875940754,0.08747264124037649,0.6516331051895492,1.4396374124433455,0.8928928928928928,1.3614391308219786,0.963145032163825,1.055996930552235,0.29838900896128695
Grade1Spring,1505,81,away,.,6,84,27.0,45.0,39.0,38.666666666666664,21.914607000811127,0.7447294788316203,1.6252036608669416,1.010307674355284,1.1147617830051992,1.0242719251691657,1.0877432803644806,0.23785017614411394,0.9362586313144879,1.2868797858560022,0.9668519037389867,1.0442022820538484,1.014505035858447,1.0331970711153098,0.10890324099856766
Grade1Spring,1505,83,woof,!,0,27,0.0,0.0,0.0,4.333333333333333,9.38083151964686,0.5777339389139622,1.648983134920635,0.869360393025229,1.2751585821815778,0.9963661204015615,1.0471151187414236,0.3236666047329196,0.7798188969399513,1.5153875684399243,0.9429217268734581,1.132686415872257,1.0121404064396937,1.0826788911674894,0.24313146350383566
Grade1Spring,1505,85,woof,!,0,33,0.0,0.0,0.0,4.666666666666667,11.034038245356955,0.4184590615663267,1.2777639770484563,0.5758938195770154,0.809901630701765,0.7095661688242569,0.7191750712592192,0.25216082475820983,0.690187955504411,1.4910934407444705,0.8853411166188366,1.202107146980718,1.0164901367406411,1.0694950275529453,0.2836692454922711
Grade1Spring,1505,87,woof,!,0,105,27.0,60.0,33.0,41.666666666666664,32.981055168080964,0.9362586313144879,1.2868797858560022,0.9668519037389867,1.0442022820538484,1.014505035858447,1.0331970711153098,0.10890324099856766,0.7036786143598124,1.215210673239411,0.8648114222571173,1.0515673426016123,0.932145033048162,0.9678787351826945,0.1776775180273256
Grade1Spring,1505,91,works,!,0,69,0.0,39.0,12.0,23.666666666666668,25.387004549572207,0.690187955504411,1.4910934407444705,0.8853411166188366,1.202107146980718,1.0164901367406411,1.0694950275529453,0.2836692454922711,0.7250870989548123,1.5337212385929329,0.8240701393393125,1.0323739392034488,0.9410180275715802,0.9951788219987456,0.2585716538105133
Grade1Spring,1505,99,away,.,15,90,33.0,60.0,39.0,47.0,22.94558781116753,0.7767508370535711,1.7016889911402626,0.9134947389927472,1.1509113299547695,0.9770847484387924,1.0741984954169728,0.27524173038692556,1.1567239002381253,2.0772551446696585,1.2456902334317144,1.7644922247314505,1.4854499999999995,1.52096596764087,0.337649854898754
Grade1Spring,1505,103,job,",",0,12,0.0,0.0,0.0,1.3333333333333333,4.0,0.47705079216106894,0.9681049894360473,0.664013673659125,0.8334192635917717,0.6874282337048297,0.7319818992763765,0.16290155904374873,0.7575910435763042,1.2504054839795578,0.8926458327730415,1.0154234060245166,0.9472803798107685,0.9764316587064304,0.15441465629468193
Grade1Spring,1505,105,rocky,!,3,84,12.0,51.0,27.0,32.333333333333336,27.156951228000537,1.1567239002381253,2.0772551446696585,1.2456902334317144,1.7644922247314505,1.4854499999999995,1.52096596764087,0.337649854898754,0.888213851761847,1.092726415999133,0.9242801380324714,1.0384583574559587,0.967968500585293,0.9789962146873893,0.0729024317055955
Grade1Spring,1804,7,clay,.,15,84,27.0,48.0,42.0,43.0,21.891779278989635,0.8667763249602723,2.44379679651218,0.97053982883476,1.2278617710583153,1.006819895994601,1.1905790633213156,0.48874165506365264,0.5419693343781107,1.2669812433643974,0.7392178298127449,0.9112324382839525,0.8067318428147381,0.8383096848291142,0.20806484665329067
Grade1Spring,1804,17,classroom,.,3,90,18.0,30.0,24.0,31.666666666666668,27.37699764400764,0.8094256567915037,1.1167560400459873,0.9385998365567961,1.0551559862167852,1.029927283814874,0.9965082170123699,0.10313937511188942,0.7725029023519797,1.4156473185300606,0.89996452790819,1.3337160543130995,1.1035920747072485,1.123497262502228,0.23493985581091312
Grade1Spring,1804,33,share,.,42,108,45.0,69.0,57.0,62.333333333333336,20.5,0.9568155452436196,1.147367908492103,1.021421370967742,1.1189286887939536,1.0507089595487384,1.0594071955400177,0.063654708832442,0.6897094286056334,0.9894702812543296,0.7609205737022884,0.9298601256841675,0.9059940566789881,0.8503265124594209,0.10640520200217202
Grade1Spring,1804,55,again,.,36,117,48.0,66.0,54.0,61.0,24.046829312822098,0.7294392335252206,1.2837636073499434,0.92632685736134,1.0976276171678472,0.9443862734672174,1.0079430094258268,0.17511101563656137,0.8819431177762919,1.0236331569664903,0.9934147124959847,1.0088947859845694,0.9990723822909346,0.9880425329866471,0.04300159485999792
Grade1Spring,1804,67,clay,",",0,27,6.0,9.0,6.0,9.333333333333334,8.276472678623424,0.9499972316040088,1.2040655680982655,0.9586448598130837,1.1070551819831362,1.0014763917658882,1.0349409286774305,0.09322697483417464,0.7947836177114375,1.385890141271661,0.9944228732792094,1.195616074393889,1.089035026351383,1.096641969601442,0.17836071556637642
Grade1Spring,1804,75,head,.,33,84,45.0,69.0,60.0,58.0,16.635804759614125,0.8325007346459008,1.0730577334283675,0.9344718813149981,1.0258931345138242,0.9978127326880118,0.9703498905074317,0.08473570570795548,0.6482947836354792,0.9138751736983708,0.7617782909930717,0.8800399161357957,0.8194790517816539,0.8095557316934932,0.08693483678734269
Grade1Spring,1804,89,body,.,18,75,39.0,60.0,48.0,49.333333333333336,17.30606829987678,0.8603649830447975,1.218947368421053,0.9282164990878882,1.0797006153296635,0.98956780923994,0.9994414655880656,0.11403414508535815,0.7233829851044687,1.1726279250861193,0.7954228464787351,1.042935528120713,0.9138633604993933,0.9214997060232812,0.15476081994887075
Grade1Spring,1804,109,legs,.,24,90,39.0,69.0,57.0,55.0,21.319005605327842,0.9646419458528019,1.534820824881677,1.061785760489888,1.199570631172176,1.1476064574325786,1.1657147691259626,0.16091869902775519,0.8390574635989776,1.2472321123737988,0.9045603772055444,1.1367888990863386,1.0603098876973738,1.0332960508966518,0.14682464975015316
Grade1Spring,1807,7,out,.,18,66,33.0,51.0,45.0,43.666666666666664,15.157506391224118,0.9685497872078905,1.4502080989876263,1.1221063657572734,1.291891639202487,1.1694814702615368,1.2055473492663424,0.1515720472752032,0.8224994420796813,1.2879836039998376,0.85915230385729,1.0727640213816483,1.0451409386068478,1.0141815205715752,0.15245931194364074
Grade1Spring,1807,21,behind,.,24,78,36.0,54.0,45.0,46.666666666666664,15.953056133543816,0.8582800910626421,1.3794639114762344,0.9726167270026922,1.0828479275983247,1.005622837370242,1.068087893012401,0.16303012397509095,0.8802774211952646,1.333264105226722,0.9639341018156631,1.293725597852611,1.0831333013282123,1.1017376096817604,0.17650888901073264
Grade1Spring,1807,31,pools,.,30,96,36.0,51.0,42.0,47.666666666666664,20.03746490951388,0.5992937090335357,1.4199098230160485,0.7757554556055303,0.9546104425191861,0.8609145385550819,0.9135381956309819,0.23940813651959342,0.6874519175682976,1.160886507549927,0.7628801055598868,1.0411839204465505,1.0274213620563883,0.9365007722119066,0.17395905283075241
Grade1Spring,1807,49,sea,.,30,90,60.0,75.0,63.0,66.0,17.298843892006193,0.8452832896095429,1.0446642973777738,0.9060780434466242,1.007071923828406,0.9569490044037068,0.9526642257273001,0.07304557016636708,0.7444642979863926,1.1923017227999377,0.8236447767597218,1.093070501860606,0.8871670923020794,0.9365662584376958,0.16415064999745188
Grade1Spring,1807,55,pools,",",0,15,0.0,9.0,3.0,4.666666666666667,5.431390245600108,0.7444642979863926,1.1923017227999377,0.8236447767597218,1.093070501860606,0.8871670923020794,0.9365662584376958,0.16415064999745188,0.757522669079568,1.1095265987804512,0.858974358974359,0.9840708737016671,0.9712683454897161,0.930321666473976,0.11206551912278631
Grade1Spring,1807,69,animals,.,24,93,48.0,60.0,51.0,54.333333333333336,19.235384061671343,0.8054142626355874,1.304865513106048,0.9631550024817414,1.091066821140532,0.9888169732778298,1.0302984718190995,0.15506386342038764,0.6690338035666755,1.3877151252273687,1.03513853733808,1.2397729472520747,1.1157050632215815,1.1008043331242285,0.21842689281717564
Grade1Spring,1807,75,swim,.,21,114,39.0,69.0,57.0,56.0,27.207535720825582,0.6690338035666755,1.3877151252273687,1.03513853733808,1.2397729472520747,1.1157050632215815,1.1008043331242285,0.21842689281717564,0.9634326316698826,1.3584114735530048,1.0409530736846746,1.2410339569727995,1.0961257332112067,1.1321763583391642,0.13463740870782615
Grade1Spring,1807,87,plants,.,33,123,42.0,60.0,51.0,57.333333333333336,26.893307717720408,0.6256270151589729,1.1050560096881625,0.8541393382888792,1.0129473116345982,0.9809651231590116,0.9290300416927223,0.14663330134623975,0.9810518090855814,1.2591310563628524,1.0283640051393887,1.1501636038010217,1.0607241768386502,1.0939946085954149,0.1039691510424875
Grade1Spring,1807,105,pool,.,42,126,51.0,81.0,72.0,74.33333333333333,27.3221521846285,0.7841800804828974,1.252377920549478,1.0134841807537982,1.0553647479049322,1.014967306906416,1.0296605700608303,0.1190654781671103,0.9461037571459141,1.1875205254515597,0.9805697690499239,1.0386242909876653,1.0030029408110015,1.025243426828178,0.07073927663926992
Grade1Spring,1807,117,in,",",0,42,6.0,15.0,9.0,15.0,16.224980739587952,0.7329026621913654,1.3651019253293324,0.9345725687880698,1.1492942206268528,1.0203096406237722,1.032493688808379,0.1853917813774841,0.6252541683611224,1.0410268808715564,0.7578748524203073,0.8501283745803138,0.7917787433616109,0.8075891843149344,0.11134819494293265
Grade1Spring,1807,127,pools,",",0,81,0.0,36.0,18.0,22.666666666666668,28.066884401372377,0.6869350398553703,1.1879199080622342,0.8585154531627577,1.0242174657244059,0.95836222918805,0.956393678630122,0.15085923397111742,0.6734232626745651,1.0080995850622407,0.8149587575239654,0.9069147018530536,0.8750168277644654,0.8610105721439001,0.10805654072176063
Grade1Winter,1502,9,nap,.,18,69,21.0,60.0,33.0,42.0,20.838665984174707,1.0120252296722887,2.0450865271049805,1.1001493428912785,1.227147665635206,1.1852091070563542,1.2595063919851173,0.3123140427826705,0.7140020726592993,1.258710339216865,0.9041506673980617,0.9493848600921897,0.92878503268465,0.9408215346150873,0.14092790594901208
Grade1Winter,1502,25,you,.,12,87,33.0,84.0,39.0,51.333333333333336,27.959792560031627,0.8289104874231003,1.1724493623405856,0.9105023126435294,0.9889903527505707,0.9656785722661293,0.9623166701275974,0.09470467258913125,0.8473361940118603,2.2233368532206974,0.9942160143311027,1.0983176892641529,1.0644951090415102,1.1547967581480683,0.41505568294142564
Grade1Winter,1502,35,nap,?,36,114,42.0,72.0,60.0,63.0,26.28212320190285,0.6397168141592919,1.3137314134192595,0.7336369434368399,0.964325018341893,0.8596252644303415,0.8713510426870865,0.21461011158726914,0.6102160877927372,0.9387951292458875,0.7284072342103779,0.8665509533858623,0.8166526980512464,0.7913970348217659,0.10884680984360456
Grade1Winter,1502,49,bed,.,6,54,30.0,39.0,36.0,34.666666666666664,13.592277219068187,0.9462223688551631,1.322169403630078,1.0245505756466324,1.1236738328456943,1.0896149119213432,1.0974345940353036,0.11383128539106865,0.9157676361225433,1.2566722880219998,1.0028137863242614,1.05204542428546,1.0273756648571584,1.0426581626901612,0.10217502153314839
Grade1Winter,1502,59,eyes,.,33,90,33.0,75.0,48.0,55.666666666666664,23.04886114323222,0.8013956258023203,1.3935476463834675,0.987493795055307,1.151590909090909,1.0636545379105073,1.0968813820321464,0.19172254320985013,0.9447522434646899,1.101203007518797,0.9802421924792865,1.0780778874535817,1.0160218835482606,1.0204327914802536,0.057270968821416315
Grade1Winter,1502,71,nap,",",0,33,9.0,15.0,9.0,11.666666666666666,10.0,0.8665815602836882,2.0762929251137776,1.037581969471538,1.1677241379310348,1.1302337398373983,1.1904671239997566,0.3494837678475443,0.8123113653768187,1.3527405991077117,0.8750933744722311,1.0184891964448615,0.9554768649669504,1.003673878503902,0.1807067004632263
Grade1Winter,1502,81,open,.,27,123,33.0,75.0,57.0,64.33333333333333,37.20215047547655,0.9254778570467088,1.1511613876319762,0.9656003971912901,1.116229375322371,1.0041972717733474,1.028360611916423,0.08444926517126927,0.5497238435950544,0.9186673881116177,0.7341742001840526,0.8144241077519835,0.7687889727600921,0.7655760116897454,0.1140797764646214
Grade1Winter,1502,93,sleeps,!,24,105,39.0,66.0,57.0,58.333333333333336,28.779332862316316,0.813805675396488,1.2149597405909573,0.922244560075686,1.044476389614916,0.9733450212655432,0.9915417177940553,0.11753815453441979,0.6588536304729607,1.1960391075457508,0.8013013174328192,1.083771677960262,0.9617057244618796,0.9541869238434908,0.19760173658444874
Grade1Winter,1502,105,sleep,.,18,69,30.0,60.0,48.0,44.0,19.557607215607945,0.8594964363740556,1.2170009271458548,1.0381576711785694,1.0993573900148292,1.0572373441872291,1.0552821933247063,0.09752169818398793,0.8762234222072226,1.3155120481927713,0.9402858448084579,1.1776496335151283,1.0035593090602912,1.0587544515444023,0.15679382992303015
Grade1Winter,1502,113,naps,",",0,18,6.0,12.0,9.0,9.0,4.9749371855331,0.6784186649384316,1.11505804175725,0.9168024701946995,1.042058016789959,0.9207197076187796,0.9539274533070383,0.13202045166798046,0.808279168395335,1.7632538965439346,1.0416209749775696,1.257649395655482,1.109706886612567,1.1653473381317807,0.27070440836115156
