form,item,perfmat_idx,token,punct,pause_min,pause_max,pause_1q,pause_3q,pause_med,pause_mean,pause_sstd,f0_before_max_med,f0_after_max_med,f0ratio_before_min,f0ratio_before_max,f0ratio_before_1q,f0ratio_before_3q,f0ratio_before_med,f0ratio_before_mean,f0ratio_before_sstd,f0ratio_after_min,f0ratio_after_max,f0ratio_after_1q,f0ratio_after_3q,f0ratio_after_med,f0ratio_after_mean,f0ratio_after_sstd
Grade1Fall,1401,9,lost,.,0,165,22.5,48.0,39.0,42.8,38.49341316566845,261.71999999999986,291.80333333333334,0.9379474086197487,1.2569115005217244,1.0267502366119379,1.0983124504983786,1.0501258435163223,1.0688634798408914,0.07491145901121557,0.7283722594585667,2.0032080836022748,0.9050265997365953,1.0721134908307637,0.9645438016834023,1.0312330753331953,0.29131598003931947
Grade1Fall,1401,17,pond,?,6,129,12.0,46.5,33.0,38.0,32.54228019054596,285.9277777777778,299.2589743589744,0.5311619933880248,1.0944656291498354,0.893454622554753,1.0136809742054094,0.9921179266973661,0.92845392044468,0.145256743953368,0.8182882647087185,1.1906310674827274,0.9494834064988775,1.0650065297848648,1.0075469108947122,1.0033514097218932,0.10276733565523641
Grade1Fall,1401,27,rock,.,0,141,34.5,63.0,42.0,49.4,33.995377837078294,275.8500000000001,307.85555555555555,0.9354016877127262,1.3314347947665097,1.0402339287251408,1.205601813271866,1.1237105806071324,1.133581697304089,0.117948305769533,0.723078686112016,1.7606264885157221,0.9828999579255033,1.1672043578580915,1.0879188717174864,1.0970118166509244,0.23736670115601274
Grade1Fall,1401,37,pond,.,0,162,21.0,48.0,33.0,41.4,39.67330876762647,238.3,284.14444444444445,0.882904190470519,1.3001055307718137,1.0033811556088792,1.0815863633432194,1.0516749018539464,1.0558833763282147,0.09332714197711592,0.8155933922546906,1.1143298514050317,0.9730300995646177,1.0699378775433224,1.0124681767739407,1.0141698850986431,0.07965260721227896
Grade1Fall,1401,47,tree,.,0,54,4.5,22.5,9.0,15.0,15.588457268119896,314.3875,286.42222222222216,0.913845038075668,1.220729583279577,0.984203259203259,1.1685042094257583,1.0710739787841623,1.0723859585068118,0.1049170189127034,0.0,1.47262845496478,0.962400987657088,1.0984499777860923,1.0122757038736174,0.9746335649528068,0.335619791382241
Grade1Fall,1401,57,pond,.,0,819,24.0,45.0,30.0,87.2,203.57245112525132,234.43636363636367,287.9583333333333,0.9214876033057852,1.6434427770882698,0.9880091746314625,1.1259000338923477,1.0309858511399814,1.0880232971806352,0.17378558339330508,0.8928284392519696,1.4081111412097056,0.9949638307275024,1.1073534037822954,1.0427693712601234,1.0808965101613857,0.1474689722276496
Grade1Fall,1401,67,tub,.,0,324,37.5,114.0,54.0,91.8,95.69012488235136,268.0,292.48,0.9224277429055583,2.189875173370319,1.0246263161671303,1.1473841731190995,1.0688845180778617,1.1573109008199738,0.3075446010789274,0.46556864024679645,1.2441045095759655,0.8827665153713066,1.0151936576948042,0.9421990327275511,0.9325821136665446,0.19039322851709822
Grade1Fall,1603,9,us,.,0,87,25.5,40.5,36.0,35.0,22.58317958127243,288.2515151515152,307.99374999999986,0.7708473724890913,1.260453036583479,1.025463788233285,1.120273938020092,1.0872706057070118,1.0573444725232646,0.11981827909631398,0.6103866515658336,1.1420832292400052,1.0206734905568644,1.0940265527314632,1.0668051586706495,1.0234521293390684,0.1382311879578091
Grade1Fall,1603,17,loud,.,0,42,1.5,28.5,9.0,14.6,15.207141179628168,279.02222222222235,299.1952380952381,0.0,1.3924012837503397,1.0985173447191146,1.1871187160071661,1.1522143767576423,1.0879236016281963,0.31171573691430793,0.7034905447881153,1.6110843502462002,1.0028038796335492,1.0976426885322819,1.0640126640841325,1.0659805601691537,0.1868778258440675
Grade1Fall,1603,25,soft,.,0,87,9.0,40.5,21.0,29.0,25.116869686669613,265.4633333333333,297.8901960784313,1.023275427418985,1.2081525523595267,1.0562218728956,1.1273560031213337,1.0922607012260703,1.0955131335891937,0.05423557699145368,0.44996328473197894,1.121312315350831,0.8041267740980105,0.9380678578535189,0.8630808825465369,0.857605533144533,0.1716508075651146
