item,token,not_sightword,not_decodable,not_decodable_at_grade_level
1401,jeff,1,,
1401,the,,,
1401,duck,,,
1401,is,,,
1401,lost,,,
1401,where,,,
1401,is,,,
1401,his,,,
1401,pond,1,,
1401,he,,,
1401,walks,,,
1401,to,,,
1401,a,,,
1401,rock,,,
1401,this,,,
1401,is,,,
1401,not,,,
1401,my,,,
1401,pond,1,,
1401,he,,,
1401,walks,,,
1401,to,,,
1401,a,,,
1401,tree,,,1
1401,this,,,
1401,is,,,
1401,not,,,
1401,my,,,
1401,pond,1,,
1401,he,,,
1401,walks,,,
1401,to,,,
1401,a,,,
1401,tub,1,,
1401,but,,,
1401,i,,,
1401,can,,,
1401,swim,,,
1401,here,,,
1603,sounds,,,1
1603,are,,,
1603,all,,,
1603,around,,,1
1603,us,,,
1603,sounds,,,1
1603,can,,,
1603,be,,,
1603,loud,1,,1
1603,sounds,,,1
1603,can,,,
1603,be,,,
1603,soft,1,,
1603,our,,,1
1603,ears,1,,1
1603,catch,1,,1
1603,the,,,
1603,sounds,,,1
1603,in,,,
1603,the,,,
1603,city,,,1
1603,we,,,
1603,can,,,
1603,hear,,,1
1603,the,,,
1603,loud,1,,1
1603,sound,,,1
1603,of,,,
1603,trucks,,,
1603,in,,,
1603,the,,,
1603,city,,,1
1603,we,,,
1603,can,,,
1603,hear,,,1
1603,the,,,
1603,soft,1,,
1603,sound,,,1
1603,of,,,
1603,bikes,,,1
1603,in,,,
1603,the,,,
1603,park,,,1
1603,we,,,
1603,can,,,
1603,hear,,,1
1603,the,,,
1603,loud,1,,1
1603,sound,,,1
1603,of,,,
1603,dogs,,,
1603,barking,,,1
1603,in,,,
1603,the,,,
1603,park,,,1
1603,we,,,
1603,can,,,
1603,hear,,,1
1603,the,,,
1603,soft,1,,
1603,sound,,,1
1603,of,,,
1603,birds,,,1
1603,singing,,,1
1603,we,,,
1603,can,,,
1603,also,1,,1
1603,hear,,,1
1603,the,,,
1603,ice,1,,1
1603,cream,1,,1
1603,truck,,,
1903,a,,,
1903,rooster,1,,1
1903,was,,1,
1903,out,,,
1903,in,,,
1903,the,,,
