item,token,not_sightword,not_decodable,not_decodable_at_grade_level,sightword
1401,jeff,1.0,,,
1401,the,,,,-1
1401,duck,,,,0
1401,is,,,,-1
1401,lost,,,,0
1401,where,,,,-1
1401,is,,,,-1
1401,his,,,,0
1401,pond,1.0,,,
1401,he,,,,-1
1401,walks,,,,0
1401,to,,,,-1
1401,a,,,,-1
1401,rock,,,,0
1401,this,,,,-1
1401,is,,,,-1
1401,not,,,,-1
1401,my,,,,-1
1401,pond,1.0,,,
1401,he,,,,-1
1401,walks,,,,0
1401,to,,,,-1
1401,a,,,,-1
1401,tree,,,1.0,0
1401,this,,,,-1
1401,is,,,,-1
1401,not,,,,-1
1401,my,,,,-1
1401,pond,1.0,,,
1401,he,,,,-1
1401,walks,,,,0
1401,to,,,,-1
1401,a,,,,-1
1401,tub,1.0,,,
1401,but,,,,-1
1401,i,,,,-1
1401,can,,,,-1
1401,swim,,,,0
1401,here,,,,-1
1603,sounds,,,1.0,1
1603,are,,,,-1
1603,all,,,,-1
1603,around,,,1.0,1
1603,us,,,,0
1603,sounds,,,1.0,1
1603,can,,,,-1
1603,be,,,,-1
1603,loud,1.0,,1.0,
1603,sounds,,,1.0,1
1603,can,,,,-1
1603,be,,,,-1
1603,soft,1.0,,,
1603,our,,,1.0,1
1603,ears,1.0,,1.0,
1603,catch,1.0,,1.0,
1603,the,,,,-1
1603,sounds,,,1.0,1
1603,in,,,,-1
1603,the,,,,-1
1603,city,,,1.0,0
1603,we,,,,-1
1603,can,,,,-1
1603,hear,,,1.0,1
1603,the,,,,-1
1603,loud,1.0,,1.0,
1603,sound,,,1.0,1
1603,of,,,,-1
1603,trucks,,,,0
1603,in,,,,-1
1603,the,,,,-1
1603,city,,,1.0,0
1603,we,,,,-1
1603,can,,,,-1
1603,hear,,,1.0,1
1603,the,,,,-1
1603,soft,1.0,,,
1603,sound,,,1.0,1
1603,of,,,,-1
1603,bikes,,,1.0,1
1603,in,,,,-1
1603,the,,,,-1
1603,park,,,1.0,0
1603,we,,,,-1
1603,can,,,,-1
1603,hear,,,1.0,1
1603,the,,,,-1
1603,loud,1.0,,1.0,
1603,sound,,,1.0,1
1603,of,,,,-1
1603,dogs,,,,-1
1603,barking,,,1.0,1
1603,in,,,,-1
1603,the,,,,-1
1603,park,,,1.0,0
1603,we,,,,-1
1603,can,,,,-1
1603,hear,,,1.0,1
1603,the,,,,-1
1603,soft,1.0,,,
1603,sound,,,1.0,1
1603,of,,,,-1
1603,birds,,,1.0,0
1603,singing,,,1.0,0
1603,we,,,,-1
1603,can,,,,-1
1603,also,1.0,,1.0,
1603,hear,,,1.0,1
1603,the,,,,-1
1603,ice,1.0,,1.0,
1603,cream,1.0,,1.0,
1603,truck,,,,0
1903,a,,,,-1
1903,rooster,1.0,,1.0,
1903,was,,1.0,,0
1903,out,,,,-1
1903,in,,,,-1
1903,the,,,,-1
1903,yard,1.0,,1.0,
1903,he,,,,-1
1903,wanted,,,,-1
1903,some,,1.0,,0
1903,corn,1.0,,1.0,
1903,to,,,,-1
1903,eat,,,1.0,0
1903,on,,,,-1
1903,the,,,,-1
