Session,WCPM,Acc,Comp,Exp,level
13956,39.0,0.925,4.6,2.5,6
13961,42.0,0.926,6.4,2.9,6
16375,36.0,0.916,6.9,1.3,5
17687,32.0,0.809,3.8,1.4,3
17793,45.0,0.982,6.7,1.5,6
17822,52.0,0.703,4.0,1.7,5
19777,51.0,0.66,2.4,1.6,5
20523,30.0,0.647,4.0,1.3,3
20626,27.0,0.601,2.7,1.4,2
21004,36.0,0.823,6.8,1.4,5
22799,38.0,0.674,4.7,1.5,3
23145,51.0,0.91,3.8,2.1,7
24881,47.0,1.0,6.1,1.8,6
25755,126.0,1.0,8.0,4.0,13
26929,60.0,0.926,4.9,1.9,7
27164,73.0,0.769,2.7,1.8,7
27606,85.0,1.0,6.7,2.8,10
27742,17.0,0.787,2.6,1.0,2
27754,15.0,0.6829999999999999,4.8,1.0,1
27849,39.0,0.723,4.4,1.4,4
27877,20.9,0.601,3.6,1.2,2
28074,65.0,0.902,3.2,1.8,8
29003,54.0,0.974,4.5,1.8,7
29043,165.0,0.952,6.7,4.0,17
29680,48.0,0.897,6.7,2.1,6
30464,66.0,0.956,3.5,2.7,8
30749,43.0,0.93,6.6,1.5,6
30850,69.0,0.987,6.4,2.2,8
30880,40.0,0.8740000000000001,3.2,2.0,5
31042,145.0,1.0,7.7,4.0,15
33303,26.0,0.745,5.5,1.3,2
33499,15.4,0.903,2.9,1.0,3
33655,96.0,0.982,4.5,2.6,11
34115,20.0,0.611,1.9,1.2,2
34475,102.0,1.0,6.9,3.0,11
34853,89.0,1.0,7.3,2.6,10
34893,58.0,0.7929999999999999,2.4,1.7,5
34913,46.0,0.974,4.9,1.4,6
35160,52.0,0.961,3.9,1.7,7
35168,82.0,0.957,7.0,2.2,9
35287,159.0,1.0,5.2,3.6,16
35337,82.0,0.97,5.4,2.2,9
35433,117.0,1.0,6.6,3.2,13
35637,44.0,0.787,3.9,1.7,4
35759,67.0,0.959,7.4,1.9,8
36099,54.0,0.8859999999999999,6.3,1.7,7
36251,43.0,0.8079999999999999,5.8,1.8,4
37247,18.0,0.664,5.6,1.1,2
37392,36.0,0.735,4.3,1.5,3
37537,112.0,0.991,6.7,3.0,12
37751,51.0,0.989,6.0,1.8,7
38419,64.0,0.965,5.0,1.9,8
38533,108.0,1.0,7.0,2.5,12
38551,32.0,0.8009999999999999,4.1,1.4,3
39640,95.0,1.0,4.4,2.6,11
39728,122.0,1.0,7.0,2.9,13
40477,38.0,0.862,4.3,1.5,5
40555,34.0,0.775,6.0,1.2,3
40753,18.0,0.604,1.7,1.1,2
41338,66.0,0.995,6.5,2.2,8
41532,67.0,0.943,7.0,2.2,8
41757,45.0,0.7440000000000001,4.1,1.7,4
42243,90.0,1.0,5.8,2.7,10
42290,131.0,0.954,5.2,2.9,14
45061,133.0,0.94,4.5,2.7,14
45222,18.0,0.737,4.1,1.2,2
45319,71.0,0.947,4.6,2.3,8
45325,108.0,0.996,6.2,3.1,12
45506,61.0,0.775,6.0,1.8,5
45509,54.0,0.8859999999999999,6.2,1.7,7
46132,57.0,1.0,4.1,1.7,7
46307,166.0,1.0,4.4,4.0,17
47190,37.0,0.931,4.8,1.3,5
47281,88.0,1.0,5.6,3.2,10
47316,51.0,0.969,5.8,1.7,7
47506,56.0,1.0,6.7,1.8,7
47881,48.0,0.995,7.3,2.0,6
48184,55.0,0.745,5.2,1.8,5
48600,72.0,0.964,7.7,2.1,8
48764,30.0,0.826,6.2,1.3,5
49022,76.0,1.0,5.6,2.3,9
49939,83.0,0.917,4.7,2.3,9
50192,117.0,1.0,4.9,3.0,13
50273,145.0,0.965,3.2,3.9,15
50305,114.0,1.0,4.7,3.1,12
50472,22.0,0.723,5.2,1.9,2
50615,111.0,1.0,4.6,3.3,12
50630,97.0,0.996,6.0,2.6,11
50856,55.0,1.0,7.0,2.0,7
51387,26.0,0.743,4.2,1.2,2
51561,40.0,0.982,5.1,1.4,6
51620,82.0,0.936,5.8,2.5,9
51669,100.0,0.925,5.1,1.9,11
51758,28.0,0.8170000000000001,4.3,1.3,3
51828,55.0,0.968,4.4,1.7,7
