Session,WCPM,Acc,Comp,Exp,level,B_new,C_new,E_new,F_new,G_new,H_new,J_new,K_new,L_new,M_new,N_new,O_new,P_new,Q_new,mlevel_numeric,form_numeric,mlevel_form_diff,text_is_above_level
13956.0,39.0,0.925,4.6,2.5,6.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,6,4,2,1
13961.0,42.0,0.9259999999999999,6.4,2.9,6.0,3.0,3.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,6,4,2,1
16375.0,36.0,0.9159999999999999,6.9,1.3,5.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,5,4,1,1
17687.0,32.0,0.809,3.8,1.4,3.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,2.0,3,4,-1,0
17793.0,45.0,0.982,6.7,1.5,6.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,0.0,6,4,2,1
17822.0,52.0,0.703,4.0,1.7,5.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,0.0,5,4,1,1
19777.0,51.0,0.66,2.4,1.6,5.0,3.0,3.0,3.0,2.0,0.0,3.0,1.0,3.0,2.0,3.0,0.0,1.0,3.0,2.0,5,4,1,1
20523.0,30.0,0.647,4.0,1.3,3.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,3,4,-1,0
20626.0,27.0,0.601,2.7,1.4,2.0,3.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,2,4,-2,0
21004.0,36.0,0.823,6.8,1.4,5.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,5,4,1,1
22799.0,38.0,0.674,4.7,1.5,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,0.0,3,4,-1,0
