Session,WCPM,Acc,Comp,Exp,level
30908,99.0,0.989,6.5,2.8,12
30915,45.0,0.813,3.8,1.6,7
31525,63.0,1.0,3.1,2.2,9
31788,76.0,1.0,6.0,2.9,10
31930,71.0,0.905,4.0,2.5,9
31942,83.0,0.967,5.4,2.4,11
32192,33.0,0.8270000000000001,5.1,1.4,6
32205,88.0,0.947,4.5,3.5,11
32210,41.0,0.7759999999999999,5.1,1.8,6
32213,101.0,1.0,6.7,3.2,12
32239,98.0,0.989,5.7,3.3,12
32258,26.0,0.7490000000000001,4.2,1.3,5
32714,33.0,0.8859999999999999,4.1,1.4,6
32922,41.0,0.936,1.8,1.4,6
35171,68.0,0.943,5.9,2.1,9
37230,44.0,0.677,2.3,1.7,7
38071,88.0,0.982,5.7,3.3,11
40760,89.0,0.934,4.8,2.5,11
40865,28.0,0.912,3.1,1.3,5
40887,56.0,0.948,4.2,2.0,8
40964,97.0,0.934,3.5,3.0,12
41091,79.0,0.983,5.9,2.4,10
41105,101.0,0.961,3.3,3.1,12
41120,76.0,0.936,4.9,2.6,10
41664,36.0,0.847,3.4,1.4,6
42279,63.0,0.924,3.9,2.2,9
42307,48.0,0.973,5.3,1.9,7
42972,33.0,0.759,3.5,1.5,6
44086,98.0,0.981,4.0,2.6,12
44169,66.0,0.909,5.3,2.4,9
44867,90.0,0.7190000000000001,2.6,2.1,8
45071,82.0,0.944,5.2,2.9,11
46117,81.0,0.7959999999999999,4.9,2.4,7
46836,84.0,0.792,3.2,2.4,8
46990,56.0,0.988,5.9,2.3,8
47002,91.0,0.996,4.2,3.2,11
47041,113.0,1.0,6.1,3.6,14
47043,108.0,0.945,2.7,3.4,13
47092,108.0,0.789,3.3,3.1,10
47152,155.0,1.0,6.5,4.0,18
47361,155.0,1.0,6.2,4.0,18
47363,124.0,1.0,3.6,3.9,15
47388,145.0,1.0,7.1,4.0,17
47421,180.0,1.0,6.0,4.0,20
47464,170.0,1.0,6.0,4.0,19
47502,154.0,1.0,6.4,4.0,18
47767,70.0,0.947,2.0,2.2,9
47824,171.0,1.0,5.8,4.0,19
47894,133.0,1.0,5.7,3.9,16
47912,52.0,0.943,4.8,1.8,8
48155,60.0,0.934,5.3,2.0,8
48268,40.0,0.685,2.8,1.5,6
48359,134.0,0.992,5.0,4.0,16
48410,102.0,0.992,7.7,2.9,13
48418,65.0,0.943,5.5,2.4,9
48539,45.0,0.99,6.2,1.7,7
48821,80.0,0.983,6.3,2.6,10
48927,99.0,0.98,6.4,2.9,12
48972,118.0,1.0,5.3,3.9,14
48978,95.0,0.919,5.5,3.3,12
49169,60.0,0.942,6.0,2.2,8
49197,126.0,1.0,6.0,3.9,15
49373,101.0,1.0,4.9,3.5,12
49541,33.0,0.83,4.1,1.4,6
49581,88.0,0.97,6.4,3.3,11
49599,72.0,0.972,6.6,2.7,10
49607,30.0,0.628,3.0,1.7,5
49661,96.0,0.958,6.3,3.4,12
49698,136.0,1.0,6.4,4.0,16
49703,107.0,1.0,6.8,3.4,13
49841,109.0,1.0,7.9,3.8,13
49998,151.0,1.0,6.9,4.0,17
50020,86.0,0.993,4.5,2.9,11
50030,121.0,1.0,5.5,3.8,14
50031,103.0,0.985,6.5,3.3,13
50061,90.0,0.981,7.0,2.8,11
50103,125.0,0.992,7.8,4.0,15
50118,168.0,1.0,6.0,4.0,19
50140,76.0,0.812,5.3,2.1,7
50193,161.0,1.0,7.4,4.0,18
50212,123.0,0.992,7.6,3.5,15
50232,152.0,1.0,4.9,4.0,18
50645,98.0,0.988,6.8,2.9,12
50666,75.0,0.95,4.0,2.8,10
50687,143.0,0.988,7.4,4.0,17
50918,143.0,0.979,6.7,4.0,17
50941,96.0,0.996,6.0,3.4,12
51042,84.0,0.982,7.0,3.4,11
51192,39.0,0.789,4.1,1.5,6
51264,64.0,0.996,5.9,2.5,9
51727,132.0,1.0,7.1,4.0,16
52113,92.0,1.0,5.1,2.8,12
52324,97.0,0.982,6.8,3.1,12
52490,102.0,0.996,6.6,3.3,13
52743,33.0,0.935,4.4,1.4,6
52746,43.0,0.866,2.9,1.5,7
52812,50.0,0.908,2.4,1.9,7
53212,72.0,0.993,4.5,2.6,10
53264,125.0,0.933,5.7,3.3,15
53536,109.0,0.991,6.7,2.8,13
